age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
15,female,2.467267357496503e-7,1.2521725686741414e-4,9.035905090738083e-4,2.88907861013802e-5,1237874,iscs,0,50,15,0,0,5,female_iscs,England
16,female,2.467267357496503e-7,1.2521725686741414e-4,9.035905090738083e-4,2.88907861013802e-5,1237874,iscs,0,50,15,0,0,5,female_iscs,England
17,female,2.467267357496503e-7,1.2521725686741414e-4,9.035905090738083e-4,2.88907861013802e-5,1237874,iscs,0,50,15,0,0,5,female_iscs,England
18,female,2.467267357496503e-7,1.2521725686741414e-4,9.035905090738083e-4,2.88907861013802e-5,1237874,iscs,0,50,15,0,0,5,female_iscs,England
19,female,2.467267357496503e-7,1.2521725686741414e-4,9.035905090738083e-4,2.88907861013802e-5,1237874,iscs,0,50,15,0,0,5,female_iscs,England
20,female,4.948257852700467e-7,1.57547286282855e-4,0.0011336512899219231,3.39918315778433e-5,1387453,iscs,0,50,20,0,1,5,female_iscs,England
21,female,4.948257852700467e-7,1.57547286282855e-4,0.0011336512899219231,3.39918315778433e-5,1387453,iscs,0,50,20,0,1,5,female_iscs,England
22,female,4.948257852700467e-7,1.57547286282855e-4,0.0011336512899219231,3.39918315778433e-5,1387453,iscs,0,50,20,0,1,5,female_iscs,England
23,female,4.948257852700467e-7,1.57547286282855e-4,0.0011336512899219231,3.39918315778433e-5,1387453,iscs,0,50,20,0,1,5,female_iscs,England
24,female,4.948257852700467e-7,1.57547286282855e-4,0.0011336512899219231,3.39918315778433e-5,1387453,iscs,0,50,20,0,1,5,female_iscs,England
25,female,8.748389744013203e-7,1.909214053386484e-4,0.0014050295595776174,4.7606205722142654e-5,1583607,iscs,0,50,25,0,1,5,female_iscs,England
26,female,8.748389744013203e-7,1.909214053386484e-4,0.0014050295595776174,4.7606205722142654e-5,1583607,iscs,0,50,25,0,1,5,female_iscs,England
27,female,8.748389744013203e-7,1.909214053386484e-4,0.0014050295595776174,4.7606205722142654e-5,1583607,iscs,0,50,25,0,1,5,female_iscs,England
28,female,8.748389744013203e-7,1.909214053386484e-4,0.0014050295595776174,4.7606205722142654e-5,1583607,iscs,0,50,25,0,1,5,female_iscs,England
29,female,8.748389744013203e-7,1.909214053386484e-4,0.0014050295595776174,4.7606205722142654e-5,1583607,iscs,0,50,25,0,1,5,female_iscs,England
30,female,1.3374688730175886e-6,2.347973142215243e-4,0.0017798701464660541,8.35902395522963e-5,1578359,iscs,0,50,30,0,2,5,female_iscs,England
31,female,1.3374688730175886e-6,2.347973142215243e-4,0.0017798701464660541,8.35902395522963e-5,1578359,iscs,0,50,30,0,2,5,female_iscs,England
32,female,1.3374688730175886e-6,2.347973142215243e-4,0.0017798701464660541,8.35902395522963e-5,1578359,iscs,0,50,30,0,2,5,female_iscs,England
33,female,1.3374688730175886e-6,2.347973142215243e-4,0.0017798701464660541,8.35902395522963e-5,1578359,iscs,0,50,30,0,2,5,female_iscs,England
34,female,1.3374688730175886e-6,2.347973142215243e-4,0.0017798701464660541,8.35902395522963e-5,1578359,iscs,0,50,30,0,2,5,female_iscs,England
35,female,1.8902860934613168e-6,3.1807044707766585e-4,0.002447836260562611,1.419188295757587e-4,1498204,iscs,0,50,35,0,3,5,female_iscs,England
36,female,1.8902860934613168e-6,3.1807044707766585e-4,0.002447836260562611,1.419188295757587e-4,1498204,iscs,0,50,35,0,3,5,female_iscs,England
37,female,1.8902860934613168e-6,3.1807044707766585e-4,0.002447836260562611,1.419188295757587e-4,1498204,iscs,0,50,35,0,3,5,female_iscs,England
38,female,1.8902860934613168e-6,3.1807044707766585e-4,0.002447836260562611,1.419188295757587e-4,1498204,iscs,0,50,35,0,3,5,female_iscs,England
39,female,1.8902860934613168e-6,3.1807044707766585e-4,0.002447836260562611,1.419188295757587e-4,1498204,iscs,0,50,35,0,3,5,female_iscs,England
40,female,3.542468477799792e-6,4.5003699583366836e-4,0.0035164642342404547,2.2906403795915103e-4,1408651,iscs,0,50,40,0,5,5,female_iscs,England
41,female,3.542468477799792e-6,4.5003699583366836e-4,0.0035164642342404547,2.2906403795915103e-4,1408651,iscs,0,50,40,0,5,5,female_iscs,England
42,female,3.542468477799792e-6,4.5003699583366836e-4,0.0035164642342404547,2.2906403795915103e-4,1408651,iscs,0,50,40,0,5,5,female_iscs,England
43,female,3.542468477799792e-6,4.5003699583366836e-4,0.0035164642342404547,2.2906403795915103e-4,1408651,iscs,0,50,40,0,5,5,female_iscs,England
44,female,3.542468477799792e-6,4.5003699583366836e-4,0.0035164642342404547,2.2906403795915103e-4,1408651,iscs,0,50,40,0,5,5,female_iscs,England
45,female,7.042844209849108e-6,6.560828861877176e-4,0.005215459154880642,3.4522429540604185e-4,1575993,iscs,0,50,45,0,11,5,female_iscs,England
46,female,7.042844209849108e-6,6.560828861877176e-4,0.005215459154880642,3.4522429540604185e-4,1575993,iscs,0,50,45,0,11,5,female_iscs,England
47,female,7.042844209849108e-6,6.560828861877176e-4,0.005215459154880642,3.4522429540604185e-4,1575993,iscs,0,50,45,0,11,5,female_iscs,England
48,female,7.042844209849108e-6,6.560828861877176e-4,0.005215459154880642,3.4522429540604185e-4,1575993,iscs,0,50,45,0,11,5,female_iscs,England
49,female,7.042844209849108e-6,6.560828861877176e-4,0.005215459154880642,3.4522429540604185e-4,1575993,iscs,0,50,45,0,11,5,female_iscs,England
50,female,1.1139069234021376e-5,9.80817799988976e-4,0.0076856825687767845,5.318156723528256e-4,1582582,iscs,0,50,50,0,18,5,female_iscs,England
51,female,1.1139069234021376e-5,9.80817799988976e-4,0.0076856825687767845,5.318156723528256e-4,1582582,iscs,0,50,50,0,18,5,female_iscs,England
52,female,1.1139069234021376e-5,9.80817799988976e-4,0.0076856825687767845,5.318156723528256e-4,1582582,iscs,0,50,50,0,18,5,female_iscs,England
53,female,1.1139069234021376e-5,9.80817799988976e-4,0.0076856825687767845,5.318156723528256e-4,1582582,iscs,0,50,50,0,18,5,female_iscs,England
54,female,1.1139069234021376e-5,9.80817799988976e-4,0.0076856825687767845,5.318156723528256e-4,1582582,iscs,0,50,50,0,18,5,female_iscs,England
55,female,1.9283891593149664e-5,0.0015059702599165324,0.011347911755717024,7.890895559369394e-4,1390203,iscs,0,50,55,1,27,5,female_iscs,England
56,female,1.9283891593149664e-5,0.0015059702599165324,0.011347911755717024,7.890895559369394e-4,1390203,iscs,0,50,55,1,27,5,female_iscs,England
57,female,1.9283891593149664e-5,0.0015059702599165324,0.011347911755717024,7.890895559369394e-4,1390203,iscs,0,50,55,1,27,5,female_iscs,England
58,female,1.9283891593149664e-5,0.0015059702599165324,0.011347911755717024,7.890895559369394e-4,1390203,iscs,0,50,55,1,27,5,female_iscs,England
59,female,1.9283891593149664e-5,0.0015059702599165324,0.011347911755717024,7.890895559369394e-4,1390203,iscs,0,50,55,1,27,5,female_iscs,England
60,female,5.382723648624728e-5,0.0022508410757574883,0.0165220849228931,0.0012481665937406567,1195743,iscs,0,50,60,1,64,5,female_iscs,England
61,female,5.382723648624728e-5,0.0022508410757574883,0.0165220849228931,0.0012481665937406567,1195743,iscs,0,50,60,1,64,5,female_iscs,England
62,female,5.382723648624728e-5,0.0022508410757574883,0.0165220849228931,0.0012481665937406567,1195743,iscs,0,50,60,1,64,5,female_iscs,England
63,female,5.382723648624728e-5,0.0022508410757574883,0.0165220849228931,0.0012481665937406567,1195743,iscs,0,50,60,1,64,5,female_iscs,England
64,female,5.382723648624728e-5,0.0022508410757574883,0.0165220849228931,0.0012481665937406567,1195743,iscs,0,50,60,1,64,5,female_iscs,England
65,female,1.087108779105919e-4,0.003364583177411988,0.02411984410051209,0.0019088792795319783,1195564,iscs,0,50,65,1,130,5,female_iscs,England
66,female,1.087108779105919e-4,0.003364583177411988,0.02411984410051209,0.0019088792795319783,1195564,iscs,0,50,65,1,130,5,female_iscs,England
67,female,1.087108779105919e-4,0.003364583177411988,0.02411984410051209,0.0019088792795319783,1195564,iscs,0,50,65,1,130,5,female_iscs,England
68,female,1.087108779105919e-4,0.003364583177411988,0.02411984410051209,0.0019088792795319783,1195564,iscs,0,50,65,1,130,5,female_iscs,England
69,female,1.087108779105919e-4,0.003364583177411988,0.02411984410051209,0.0019088792795319783,1195564,iscs,0,50,65,1,130,5,female_iscs,England
70,female,3.0702876316054646e-4,0.005226784531117463,0.03436832618209801,0.0026279059698204477,1045617,iscs,0,50,70,2,321,5,female_iscs,England
71,female,3.0702876316054646e-4,0.005226784531117463,0.03436832618209801,0.0026279059698204477,1045617,iscs,0,50,70,2,321,5,female_iscs,England
72,female,3.0702876316054646e-4,0.005226784531117463,0.03436832618209801,0.0026279059698204477,1045617,iscs,0,50,70,2,321,5,female_iscs,England
73,female,3.0702876316054646e-4,0.005226784531117463,0.03436832618209801,0.0026279059698204477,1045617,iscs,0,50,70,2,321,5,female_iscs,England
74,female,3.0702876316054646e-4,0.005226784531117463,0.03436832618209801,0.0026279059698204477,1045617,iscs,0,50,70,2,321,5,female_iscs,England
75,female,8.076620524952241e-4,0.008062381950587063,0.04769851049573495,0.003405022473077062,778572,iscs,0,50,75,2,629,5,female_iscs,England
76,female,8.076620524952241e-4,0.008062381950587063,0.04769851049573495,0.003405022473077062,778572,iscs,0,50,75,2,629,5,female_iscs,England
77,female,8.076620524952241e-4,0.008062381950587063,0.04769851049573495,0.003405022473077062,778572,iscs,0,50,75,2,629,5,female_iscs,England
78,female,8.076620524952241e-4,0.008062381950587063,0.04769851049573495,0.003405022473077062,778572,iscs,0,50,75,2,629,5,female_iscs,England
79,female,8.076620524952241e-4,0.008062381950587063,0.04769851049573495,0.003405022473077062,778572,iscs,0,50,75,2,629,5,female_iscs,England
80,female,0.002707157318209138,0.011626913579687016,0.06381423254206292,0.005528298887399097,602821,iscs,0,20,80,1,1630,5,female_iscs,England
81,female,0.002707157318209138,0.011626913579687016,0.06381423254206292,0.005528298887399097,602821,iscs,0,20,80,1,1630,5,female_iscs,England
82,female,0.002707157318209138,0.011626913579687016,0.06381423254206292,0.005528298887399097,602821,iscs,0,20,80,1,1630,5,female_iscs,England
83,female,0.002707157318209138,0.011626913579687016,0.06381423254206292,0.005528298887399097,602821,iscs,0,20,80,1,1630,5,female_iscs,England
84,female,0.002707157318209138,0.011626913579687016,0.06381423254206292,0.005528298887399097,602821,iscs,0,20,80,1,1630,5,female_iscs,England
85,female,0.0067309946141983525,0.015864974765815453,0.08214637794035433,0.008992685223710547,400548,iscs,0,20,85,2,2687,5,female_iscs,England
86,female,0.0067309946141983525,0.015864974765815453,0.08214637794035433,0.008992685223710547,400548,iscs,0,20,85,2,2687,5,female_iscs,England
87,female,0.0067309946141983525,0.015864974765815453,0.08214637794035433,0.008992685223710547,400548,iscs,0,20,85,2,2687,5,female_iscs,England
88,female,0.0067309946141983525,0.015864974765815453,0.08214637794035433,0.008992685223710547,400548,iscs,0,20,85,2,2687,5,female_iscs,England
89,female,0.0067309946141983525,0.015864974765815453,0.08214637794035433,0.008992685223710547,400548,iscs,0,20,85,2,2687,5,female_iscs,England
90,female,0.011938226383084548,0.019661067249202215,0.09828289123513483,0.012447757375680697,200042,iscs,0,10,90,1,2374,5,female_iscs,England
91,female,0.011938226383084548,0.019661067249202215,0.09828289123513483,0.012447757375680697,200042,iscs,0,10,90,1,2374,5,female_iscs,England
92,female,0.011938226383084548,0.019661067249202215,0.09828289123513483,0.012447757375680697,200042,iscs,0,10,90,1,2374,5,female_iscs,England
93,female,0.011938226383084548,0.019661067249202215,0.09828289123513483,0.012447757375680697,200042,iscs,0,10,90,1,2374,5,female_iscs,England
94,female,0.011938226383084548,0.019661067249202215,0.09828289123513483,0.012447757375680697,200042,iscs,0,10,90,1,2374,5,female_iscs,England
95,female,0.02258127717864454,0.022898806760065008,0.10927906116602618,0.015882780014803026,53026,iscs,0,10,95,1,1184,6,female_iscs,England
96,female,0.02258127717864454,0.022898806760065008,0.10927906116602618,0.015882780014803026,53026,iscs,0,10,95,1,1184,6,female_iscs,England
97,female,0.02258127717864454,0.022898806760065008,0.10927906116602618,0.015882780014803026,53026,iscs,0,10,95,1,1184,6,female_iscs,England
98,female,0.02258127717864454,0.022898806760065008,0.10927906116602618,0.015882780014803026,53026,iscs,0,10,95,1,1184,6,female_iscs,England
99,female,0.02258127717864454,0.022898806760065008,0.10927906116602618,0.015882780014803026,53026,iscs,0,10,95,1,1184,6,female_iscs,England
100,female,0.02258127717864454,0.022898806760065008,0.10927906116602618,0.015882780014803026,53026,iscs,0,10,95,1,1184,6,female_iscs,England
