age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
58,female,5.4926263787572e-5,1.7045168312472816e-5,0,6.736830475329322e-5,18619,lvrc,0,50,55,0,1,5,female_lvrc,North East England
59,female,5.4926263787572e-5,1.7045168312472816e-5,0,6.736830475329322e-5,18619,lvrc,0,50,55,0,1,5,female_lvrc,North East England
60,female,8.996077832700911e-5,2.3787759710345584e-5,0,9.795699737322701e-5,16200,lvrc,0,50,60,0,1,5,female_lvrc,North East England
61,female,8.996077832700911e-5,2.3787759710345584e-5,0,9.795699737322701e-5,16200,lvrc,0,50,60,0,1,5,female_lvrc,North East England
62,female,8.996077832700911e-5,2.3787759710345584e-5,0,9.795699737322701e-5,16200,lvrc,0,50,60,0,1,5,female_lvrc,North East England
63,female,8.996077832700911e-5,2.3787759710345584e-5,0,9.795699737322701e-5,16200,lvrc,0,50,60,0,1,5,female_lvrc,North East England
64,female,8.996077832700911e-5,2.3787759710345584e-5,0,9.795699737322701e-5,16200,lvrc,0,50,60,0,1,5,female_lvrc,North East England
65,female,1.3274195679727858e-4,3.326911446736419e-5,0,1.3983948941224017e-4,16162,lvrc,0,50,65,0,2,5,female_lvrc,North East England
66,female,1.3274195679727858e-4,3.326911446736419e-5,0,1.3983948941224017e-4,16162,lvrc,0,50,65,0,2,5,female_lvrc,North East England
67,female,1.3274195679727858e-4,3.326911446736419e-5,0,1.3983948941224017e-4,16162,lvrc,0,50,65,0,2,5,female_lvrc,North East England
68,female,1.3274195679727858e-4,3.326911446736419e-5,0,1.3983948941224017e-4,16162,lvrc,0,50,65,0,2,5,female_lvrc,North East England
69,female,1.3274195679727858e-4,3.326911446736419e-5,0,1.3983948941224017e-4,16162,lvrc,0,50,65,0,2,5,female_lvrc,North East England
70,female,2.1589939086295789e-4,4.981634603677431e-5,0,2.1731899762100188e-4,13160,lvrc,0,50,70,0,3,5,female_lvrc,North East England
71,female,2.1589939086295789e-4,4.981634603677431e-5,0,2.1731899762100188e-4,13160,lvrc,0,50,70,0,3,5,female_lvrc,North East England
72,female,2.1589939086295789e-4,4.981634603677431e-5,0,2.1731899762100188e-4,13160,lvrc,0,50,70,0,3,5,female_lvrc,North East England
73,female,2.1589939086295789e-4,4.981634603677431e-5,0,2.1731899762100188e-4,13160,lvrc,0,50,70,0,3,5,female_lvrc,North East England
74,female,2.1589939086295789e-4,4.981634603677431e-5,0,2.1731899762100188e-4,13160,lvrc,0,50,70,0,3,5,female_lvrc,North East England
75,female,3.252339251707864e-4,7.225758246633708e-5,1.4040454497961676e-5,3.2322289478209414e-4,10302,lvrc,0,50,75,0,3,5,female_lvrc,North East England
76,female,3.252339251707864e-4,7.225758246633708e-5,1.4040454497961676e-5,3.2322289478209414e-4,10302,lvrc,0,50,75,0,3,5,female_lvrc,North East England
77,female,3.252339251707864e-4,7.225758246633708e-5,1.4040454497961676e-5,3.2322289478209414e-4,10302,lvrc,0,50,75,0,3,5,female_lvrc,North East England
78,female,3.252339251707864e-4,7.225758246633708e-5,1.4040454497961676e-5,3.2322289478209414e-4,10302,lvrc,0,50,75,0,3,5,female_lvrc,North East England
79,female,3.252339251707864e-4,7.225758246633708e-5,1.4040454497961676e-5,3.2322289478209414e-4,10302,lvrc,0,50,75,0,3,5,female_lvrc,North East England
80,female,4.401060147041031e-4,8.888098082868246e-5,1.1490763614270803e-5,4.2334324638188935e-4,7920,lvrc,0,20,80,0,3,5,female_lvrc,North East England
81,female,4.401060147041031e-4,8.888098082868246e-5,1.1490763614270803e-5,4.2334324638188935e-4,7920,lvrc,0,20,80,0,3,5,female_lvrc,North East England
82,female,4.401060147041031e-4,8.888098082868246e-5,1.1490763614270803e-5,4.2334324638188935e-4,7920,lvrc,0,20,80,0,3,5,female_lvrc,North East England
83,female,4.401060147041031e-4,8.888098082868246e-5,1.1490763614270803e-5,4.2334324638188935e-4,7920,lvrc,0,20,80,0,3,5,female_lvrc,North East England
84,female,4.401060147041031e-4,8.888098082868246e-5,1.1490763614270803e-5,4.2334324638188935e-4,7920,lvrc,0,20,80,0,3,5,female_lvrc,North East England
85,female,5.834500717170414e-4,1.174219704310087e-4,1.8453307419661113e-5,5.616746009245916e-4,4967,lvrc,0,20,85,0,3,5,female_lvrc,North East England
