age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
62,male,1.072006853636232e-4,0.0025746952971575396,0.021245766012476477,0.0020059927509922257,26637,iscs,0,50,60,1,3,5,male_iscs,East Midlands
63,male,1.072006853636232e-4,0.0025746952971575396,0.021245766012476477,0.0020059927509922257,26637,iscs,0,50,60,1,3,5,male_iscs,East Midlands
64,male,1.072006853636232e-4,0.0025746952971575396,0.021245766012476477,0.0020059927509922257,26637,iscs,0,50,60,1,3,5,male_iscs,East Midlands
65,male,2.0430535767395656e-4,0.003837523874952025,0.0313123897611608,0.002369127491836972,26684,iscs,0,50,65,2,5,5,male_iscs,East Midlands
66,male,2.0430535767395656e-4,0.003837523874952025,0.0313123897611608,0.002369127491836972,26684,iscs,0,50,65,2,5,5,male_iscs,East Midlands
67,male,2.0430535767395656e-4,0.003837523874952025,0.0313123897611608,0.002369127491836972,26684,iscs,0,50,65,2,5,5,male_iscs,East Midlands
68,male,2.0430535767395656e-4,0.003837523874952025,0.0313123897611608,0.002369127491836972,26684,iscs,0,50,65,2,5,5,male_iscs,East Midlands
69,male,2.0430535767395656e-4,0.003837523874952025,0.0313123897611608,0.002369127491836972,26684,iscs,0,50,65,2,5,5,male_iscs,East Midlands
70,male,4.6873327909962854e-4,0.006056583102810816,0.043518557061840504,0.0029539745866149084,22900,iscs,0,50,70,2,11,5,male_iscs,East Midlands
71,male,4.6873327909962854e-4,0.006056583102810816,0.043518557061840504,0.0029539745866149084,22900,iscs,0,50,70,2,11,5,male_iscs,East Midlands
72,male,4.6873327909962854e-4,0.006056583102810816,0.043518557061840504,0.0029539745866149084,22900,iscs,0,50,70,2,11,5,male_iscs,East Midlands
73,male,4.6873327909962854e-4,0.006056583102810816,0.043518557061840504,0.0029539745866149084,22900,iscs,0,50,70,2,11,5,male_iscs,East Midlands
74,male,4.6873327909962854e-4,0.006056583102810816,0.043518557061840504,0.0029539745866149084,22900,iscs,0,50,70,2,11,5,male_iscs,East Midlands
75,male,0.001109077411196986,0.008964942214905472,0.057791753931959025,0.003766402409146373,15417,iscs,0,50,75,3,17,5,male_iscs,East Midlands
76,male,0.001109077411196986,0.008964942214905472,0.057791753931959025,0.003766402409146373,15417,iscs,0,50,75,3,17,5,male_iscs,East Midlands
77,male,0.001109077411196986,0.008964942214905472,0.057791753931959025,0.003766402409146373,15417,iscs,0,50,75,3,17,5,male_iscs,East Midlands
78,male,0.001109077411196986,0.008964942214905472,0.057791753931959025,0.003766402409146373,15417,iscs,0,50,75,3,17,5,male_iscs,East Midlands
79,male,0.001109077411196986,0.008964942214905472,0.057791753931959025,0.003766402409146373,15417,iscs,0,50,75,3,17,5,male_iscs,East Midlands
80,male,0.0030049456678378746,0.01260287923836706,0.07353040372060343,0.005698995285679034,10391,iscs,0,20,80,1,31,5,male_iscs,East Midlands
81,male,0.0030049456678378746,0.01260287923836706,0.07353040372060343,0.005698995285679034,10391,iscs,0,20,80,1,31,5,male_iscs,East Midlands
82,male,0.0030049456678378746,0.01260287923836706,0.07353040372060343,0.005698995285679034,10391,iscs,0,20,80,1,31,5,male_iscs,East Midlands
83,male,0.0030049456678378746,0.01260287923836706,0.07353040372060343,0.005698995285679034,10391,iscs,0,20,80,1,31,5,male_iscs,East Midlands
84,male,0.0030049456678378746,0.01260287923836706,0.07353040372060343,0.005698995285679034,10391,iscs,0,20,80,1,31,5,male_iscs,East Midlands
85,male,0.0067766799959310476,0.016249700648228654,0.08956275676916407,0.008738913087926802,5499,iscs,0,20,85,2,37,5,male_iscs,East Midlands
86,male,0.0067766799959310476,0.016249700648228654,0.08956275676916407,0.008738913087926802,5499,iscs,0,20,85,2,37,5,male_iscs,East Midlands
87,male,0.0067766799959310476,0.016249700648228654,0.08956275676916407,0.008738913087926802,5499,iscs,0,20,85,2,37,5,male_iscs,East Midlands
88,male,0.0067766799959310476,0.016249700648228654,0.08956275676916407,0.008738913087926802,5499,iscs,0,20,85,2,37,5,male_iscs,East Midlands
89,male,0.0067766799959310476,0.016249700648228654,0.08956275676916407,0.008738913087926802,5499,iscs,0,20,85,2,37,5,male_iscs,East Midlands
90,male,0.011507233237601038,0.019412283763037663,0.10250201916239343,0.011776947547186473,2107,iscs,0,10,90,1,24,5,male_iscs,East Midlands
91,male,0.011507233237601038,0.019412283763037663,0.10250201916239343,0.011776947547186473,2107,iscs,0,10,90,1,24,5,male_iscs,East Midlands
92,male,0.011507233237601038,0.019412283763037663,0.10250201916239343,0.011776947547186473,2107,iscs,0,10,90,1,24,5,male_iscs,East Midlands
93,male,0.011507233237601038,0.019412283763037663,0.10250201916239343,0.011776947547186473,2107,iscs,0,10,90,1,24,5,male_iscs,East Midlands
94,male,0.011507233237601038,0.019412283763037663,0.10250201916239343,0.011776947547186473,2107,iscs,0,10,90,1,24,5,male_iscs,East Midlands
95,male,0.021195749754659484,0.02214044376247205,0.11068755026038715,0.014818813292028351,358,iscs,0,10,95,1,8,6,male_iscs,East Midlands
96,male,0.021195749754659484,0.02214044376247205,0.11068755026038715,0.014818813292028351,358,iscs,0,10,95,1,8,6,male_iscs,East Midlands
97,male,0.021195749754659484,0.02214044376247205,0.11068755026038715,0.014818813292028351,358,iscs,0,10,95,1,8,6,male_iscs,East Midlands
98,male,0.021195749754659484,0.02214044376247205,0.11068755026038715,0.014818813292028351,358,iscs,0,10,95,1,8,6,male_iscs,East Midlands
99,male,0.021195749754659484,0.02214044376247205,0.11068755026038715,0.014818813292028351,358,iscs,0,10,95,1,8,6,male_iscs,East Midlands
100,male,0.021195749754659484,0.02214044376247205,0.11068755026038715,0.014818813292028351,358,iscs,0,10,95,1,8,6,male_iscs,East Midlands
