age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
60,male,0.0020220672514527243,0.002171778504201574,0.085091396271882,0.010695669717294664,39801,ishd,0,50,60,4,80,5,male_ishd,North West England
61,male,0.0020220672514527243,0.002171778504201574,0.085091396271882,0.010695669717294664,39801,ishd,0,50,60,4,80,5,male_ishd,North West England
62,male,0.0020220672514527243,0.002171778504201574,0.085091396271882,0.010695669717294664,39801,ishd,0,50,60,4,80,5,male_ishd,North West England
63,male,0.0020220672514527243,0.002171778504201574,0.085091396271882,0.010695669717294664,39801,ishd,0,50,60,4,80,5,male_ishd,North West England
64,male,0.0020220672514527243,0.002171778504201574,0.085091396271882,0.010695669717294664,39801,ishd,0,50,60,4,80,5,male_ishd,North West England
65,male,0.003065020605147917,0.0032261154529444683,0.13165381993935063,0.015362795148804636,39780,ishd,0,50,65,7,122,5,male_ishd,North West England
66,male,0.003065020605147917,0.0032261154529444683,0.13165381993935063,0.015362795148804636,39780,ishd,0,50,65,7,122,5,male_ishd,North West England
67,male,0.003065020605147917,0.0032261154529444683,0.13165381993935063,0.015362795148804636,39780,ishd,0,50,65,7,122,5,male_ishd,North West England
68,male,0.003065020605147917,0.0032261154529444683,0.13165381993935063,0.015362795148804636,39780,ishd,0,50,65,7,122,5,male_ishd,North West England
69,male,0.003065020605147917,0.0032261154529444683,0.13165381993935063,0.015362795148804636,39780,ishd,0,50,65,7,122,5,male_ishd,North West England
70,male,0.004670796100691805,0.004393902733746265,0.17797510910152173,0.021737398888830684,32360,ishd,0,50,70,9,151,5,male_ishd,North West England
71,male,0.004670796100691805,0.004393902733746265,0.17797510910152173,0.021737398888830684,32360,ishd,0,50,70,9,151,5,male_ishd,North West England
72,male,0.004670796100691805,0.004393902733746265,0.17797510910152173,0.021737398888830684,32360,ishd,0,50,70,9,151,5,male_ishd,North West England
73,male,0.004670796100691805,0.004393902733746265,0.17797510910152173,0.021737398888830684,32360,ishd,0,50,70,9,151,5,male_ishd,North West England
74,male,0.004670796100691805,0.004393902733746265,0.17797510910152173,0.021737398888830684,32360,ishd,0,50,70,9,151,5,male_ishd,North West England
75,male,0.008013516396805446,0.005491078155271583,0.22738017798432283,0.029835307377058827,22688,ishd,0,50,75,11,181,5,male_ishd,North West England
76,male,0.008013516396805446,0.005491078155271583,0.22738017798432283,0.029835307377058827,22688,ishd,0,50,75,11,181,5,male_ishd,North West England
77,male,0.008013516396805446,0.005491078155271583,0.22738017798432283,0.029835307377058827,22688,ishd,0,50,75,11,181,5,male_ishd,North West England
78,male,0.008013516396805446,0.005491078155271583,0.22738017798432283,0.029835307377058827,22688,ishd,0,50,75,11,181,5,male_ishd,North West England
79,male,0.008013516396805446,0.005491078155271583,0.22738017798432283,0.029835307377058827,22688,ishd,0,50,75,11,181,5,male_ishd,North West England
80,male,0.013773876046080625,0.006529213898903143,0.26249885335789197,0.037459282760828876,15298,ishd,0,20,80,5,209,5,male_ishd,North West England
81,male,0.013773876046080625,0.006529213898903143,0.26249885335789197,0.037459282760828876,15298,ishd,0,20,80,5,209,5,male_ishd,North West England
82,male,0.013773876046080625,0.006529213898903143,0.26249885335789197,0.037459282760828876,15298,ishd,0,20,80,5,209,5,male_ishd,North West England
83,male,0.013773876046080625,0.006529213898903143,0.26249885335789197,0.037459282760828876,15298,ishd,0,20,80,5,209,5,male_ishd,North West England
84,male,0.013773876046080625,0.006529213898903143,0.26249885335789197,0.037459282760828876,15298,ishd,0,20,80,5,209,5,male_ishd,North West England
85,male,0.02238656829816904,0.0069499677316914865,0.2655962581091071,0.04457751892202687,7996,ishd,0,20,85,5,177,5,male_ishd,North West England
86,male,0.02238656829816904,0.0069499677316914865,0.2655962581091071,0.04457751892202687,7996,ishd,0,20,85,5,177,5,male_ishd,North West England
87,male,0.02238656829816904,0.0069499677316914865,0.2655962581091071,0.04457751892202687,7996,ishd,0,20,85,5,177,5,male_ishd,North West England
88,male,0.02238656829816904,0.0069499677316914865,0.2655962581091071,0.04457751892202687,7996,ishd,0,20,85,5,177,5,male_ishd,North West England
89,male,0.02238656829816904,0.0069499677316914865,0.2655962581091071,0.04457751892202687,7996,ishd,0,20,85,5,177,5,male_ishd,North West England
90,male,0.035735749778727476,0.006438699306572328,0.2212215806373515,0.05046072610135048,3023,ishd,0,10,90,2,106,5,male_ishd,North West England
91,male,0.035735749778727476,0.006438699306572328,0.2212215806373515,0.05046072610135048,3023,ishd,0,10,90,2,106,5,male_ishd,North West England
92,male,0.035735749778727476,0.006438699306572328,0.2212215806373515,0.05046072610135048,3023,ishd,0,10,90,2,106,5,male_ishd,North West England
93,male,0.035735749778727476,0.006438699306572328,0.2212215806373515,0.05046072610135048,3023,ishd,0,10,90,2,106,5,male_ishd,North West England
94,male,0.035735749778727476,0.006438699306572328,0.2212215806373515,0.05046072610135048,3023,ishd,0,10,90,2,106,5,male_ishd,North West England
95,male,0.05996804273532288,0.005084440079649056,0.12366298349800121,0.05514218994757601,495,ishd,0,10,95,1,29,6,male_ishd,North West England
96,male,0.05996804273532288,0.005084440079649056,0.12366298349800121,0.05514218994757601,495,ishd,0,10,95,1,29,6,male_ishd,North West England
97,male,0.05996804273532288,0.005084440079649056,0.12366298349800121,0.05514218994757601,495,ishd,0,10,95,1,29,6,male_ishd,North West England
98,male,0.05996804273532288,0.005084440079649056,0.12366298349800121,0.05514218994757601,495,ishd,0,10,95,1,29,6,male_ishd,North West England
99,male,0.05996804273532288,0.005084440079649056,0.12366298349800121,0.05514218994757601,495,ishd,0,10,95,1,29,6,male_ishd,North West England
100,male,0.05996804273532288,0.005084440079649056,0.12366298349800121,0.05514218994757601,495,ishd,0,10,95,1,29,6,male_ishd,North West England
