age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
20,female,4.386175943215824e-6,0.00025540431325370117,0.0011678747571381737,7.112653065759046e-5,16711,strk,0,50,20,0,0,5,female_strk,North East England
21,female,4.386175943215824e-6,0.00025540431325370117,0.0011678747571381737,7.112653065759046e-5,16711,strk,0,50,20,0,0,5,female_strk,North East England
22,female,4.386175943215824e-6,0.00025540431325370117,0.0011678747571381737,7.112653065759046e-5,16711,strk,0,50,20,0,0,5,female_strk,North East England
23,female,4.386175943215824e-6,0.00025540431325370117,0.0011678747571381737,7.112653065759046e-5,16711,strk,0,50,20,0,0,5,female_strk,North East England
24,female,4.386175943215824e-6,0.00025540431325370117,0.0011678747571381737,7.112653065759046e-5,16711,strk,0,50,20,0,0,5,female_strk,North East England
25,female,1.0797349894016774e-5,3.180479376022247e-4,0.0017532925149064916,1.0628229989141945e-4,18190,strk,0,50,25,0,0,5,female_strk,North East England
26,female,1.0797349894016774e-5,3.180479376022247e-4,0.0017532925149064916,1.0628229989141945e-4,18190,strk,0,50,25,0,0,5,female_strk,North East England
27,female,1.0797349894016774e-5,3.180479376022247e-4,0.0017532925149064916,1.0628229989141945e-4,18190,strk,0,50,25,0,0,5,female_strk,North East England
28,female,1.0797349894016774e-5,3.180479376022247e-4,0.0017532925149064916,1.0628229989141945e-4,18190,strk,0,50,25,0,0,5,female_strk,North East England
29,female,1.0797349894016774e-5,3.180479376022247e-4,0.0017532925149064916,1.0628229989141945e-4,18190,strk,0,50,25,0,0,5,female_strk,North East England
30,female,2.5728968880671136e-5,4.1828161898168e-4,0.0025578145102649118,1.9901280970098043e-4,17395,strk,0,50,30,0,0,5,female_strk,North East England
31,female,2.5728968880671136e-5,4.1828161898168e-4,0.0025578145102649118,1.9901280970098043e-4,17395,strk,0,50,30,0,0,5,female_strk,North East England
32,female,2.5728968880671136e-5,4.1828161898168e-4,0.0025578145102649118,1.9901280970098043e-4,17395,strk,0,50,30,0,0,5,female_strk,North East England
33,female,2.5728968880671136e-5,4.1828161898168e-4,0.0025578145102649118,1.9901280970098043e-4,17395,strk,0,50,30,0,0,5,female_strk,North East England
34,female,2.5728968880671136e-5,4.1828161898168e-4,0.0025578145102649118,1.9901280970098043e-4,17395,strk,0,50,30,0,0,5,female_strk,North East England
35,female,3.663028422533217e-5,5.926573593226163e-4,0.00418070387185887,3.4929325165706094e-4,16305,strk,0,50,35,0,1,5,female_strk,North East England
36,female,3.663028422533217e-5,5.926573593226163e-4,0.00418070387185887,3.4929325165706094e-4,16305,strk,0,50,35,0,1,5,female_strk,North East England
37,female,3.663028422533217e-5,5.926573593226163e-4,0.00418070387185887,3.4929325165706094e-4,16305,strk,0,50,35,0,1,5,female_strk,North East England
38,female,3.663028422533217e-5,5.926573593226163e-4,0.00418070387185887,3.4929325165706094e-4,16305,strk,0,50,35,0,1,5,female_strk,North East England
39,female,3.663028422533217e-5,5.926573593226163e-4,0.00418070387185887,3.4929325165706094e-4,16305,strk,0,50,35,0,1,5,female_strk,North East England
40,female,5.358329942046406e-5,8.557970522878962e-4,0.006432369937907843,5.509464862243499e-4,15593,strk,0,50,40,0,1,5,female_strk,North East England
41,female,5.358329942046406e-5,8.557970522878962e-4,0.006432369937907843,5.509464862243499e-4,15593,strk,0,50,40,0,1,5,female_strk,North East England
42,female,5.358329942046406e-5,8.557970522878962e-4,0.006432369937907843,5.509464862243499e-4,15593,strk,0,50,40,0,1,5,female_strk,North East England
43,female,5.358329942046406e-5,8.557970522878962e-4,0.006432369937907843,5.509464862243499e-4,15593,strk,0,50,40,0,1,5,female_strk,North East England
44,female,5.358329942046406e-5,8.557970522878962e-4,0.006432369937907843,5.509464862243499e-4,15593,strk,0,50,40,0,1,5,female_strk,North East England
45,female,1.005916515446224e-4,0.0012582469519566,0.009772224490146966,8.041460029212929e-4,18557,strk,0,50,45,0,2,5,female_strk,North East England
46,female,1.005916515446224e-4,0.0012582469519566,0.009772224490146966,8.041460029212929e-4,18557,strk,0,50,45,0,2,5,female_strk,North East England
47,female,1.005916515446224e-4,0.0012582469519566,0.009772224490146966,8.041460029212929e-4,18557,strk,0,50,45,0,2,5,female_strk,North East England
48,female,1.005916515446224e-4,0.0012582469519566,0.009772224490146966,8.041460029212929e-4,18557,strk,0,50,45,0,2,5,female_strk,North East England
49,female,1.005916515446224e-4,0.0012582469519566,0.009772224490146966,8.041460029212929e-4,18557,strk,0,50,45,0,2,5,female_strk,North East England
50,female,1.2644386006047462e-4,0.0018515893456355016,0.014335561562121376,0.0011273242882230653,19845,strk,0,50,50,1,3,5,female_strk,North East England
51,female,1.2644386006047462e-4,0.0018515893456355016,0.014335561562121376,0.0011273242882230653,19845,strk,0,50,50,1,3,5,female_strk,North East England
52,female,1.2644386006047462e-4,0.0018515893456355016,0.014335561562121376,0.0011273242882230653,19845,strk,0,50,50,1,3,5,female_strk,North East England
53,female,1.2644386006047462e-4,0.0018515893456355016,0.014335561562121376,0.0011273242882230653,19845,strk,0,50,50,1,3,5,female_strk,North East England
54,female,1.2644386006047462e-4,0.0018515893456355016,0.014335561562121376,0.0011273242882230653,19845,strk,0,50,50,1,3,5,female_strk,North East England
55,female,2.0165854813457198e-4,0.0027177850928691047,0.020238333232899176,0.0015203450473868989,18619,strk,0,50,55,1,4,5,female_strk,North East England
56,female,2.0165854813457198e-4,0.0027177850928691047,0.020238333232899176,0.0015203450473868989,18619,strk,0,50,55,1,4,5,female_strk,North East England
57,female,2.0165854813457198e-4,0.0027177850928691047,0.020238333232899176,0.0015203450473868989,18619,strk,0,50,55,1,4,5,female_strk,North East England
58,female,2.0165854813457198e-4,0.0027177850928691047,0.020238333232899176,0.0015203450473868989,18619,strk,0,50,55,1,4,5,female_strk,North East England
59,female,2.0165854813457198e-4,0.0027177850928691047,0.020238333232899176,0.0015203450473868989,18619,strk,0,50,55,1,4,5,female_strk,North East England
60,female,3.2163713613286827e-4,0.0037755197610735126,0.027303988447705298,0.0020827472851514253,16200,strk,0,50,60,1,5,5,female_strk,North East England
61,female,3.2163713613286827e-4,0.0037755197610735126,0.027303988447705298,0.0020827472851514253,16200,strk,0,50,60,1,5,5,female_strk,North East England
62,female,3.2163713613286827e-4,0.0037755197610735126,0.027303988447705298,0.0020827472851514253,16200,strk,0,50,60,1,5,5,female_strk,North East England
63,female,3.2163713613286827e-4,0.0037755197610735126,0.027303988447705298,0.0020827472851514253,16200,strk,0,50,60,1,5,5,female_strk,North East England
64,female,3.2163713613286827e-4,0.0037755197610735126,0.027303988447705298,0.0020827472851514253,16200,strk,0,50,60,1,5,5,female_strk,North East England
65,female,5.259132911259657e-4,0.004988965146622385,0.0351365258784951,0.0028149289040189885,16162,strk,0,50,65,2,8,5,female_strk,North East England
66,female,5.259132911259657e-4,0.004988965146622385,0.0351365258784951,0.0028149289040189885,16162,strk,0,50,65,2,8,5,female_strk,North East England
67,female,5.259132911259657e-4,0.004988965146622385,0.0351365258784951,0.0028149289040189885,16162,strk,0,50,65,2,8,5,female_strk,North East England
68,female,5.259132911259657e-4,0.004988965146622385,0.0351365258784951,0.0028149289040189885,16162,strk,0,50,65,2,8,5,female_strk,North East England
69,female,5.259132911259657e-4,0.004988965146622385,0.0351365258784951,0.0028149289040189885,16162,strk,0,50,65,2,8,5,female_strk,North East England
70,female,0.001182667846371814,0.006885709751687409,0.04430021807979722,0.0038691695656594078,13160,strk,0,50,70,2,16,5,female_strk,North East England
71,female,0.001182667846371814,0.006885709751687409,0.04430021807979722,0.0038691695656594078,13160,strk,0,50,70,2,16,5,female_strk,North East England
72,female,0.001182667846371814,0.006885709751687409,0.04430021807979722,0.0038691695656594078,13160,strk,0,50,70,2,16,5,female_strk,North East England
73,female,0.001182667846371814,0.006885709751687409,0.04430021807979722,0.0038691695656594078,13160,strk,0,50,70,2,16,5,female_strk,North East England
