age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
27,male,1.3770361411598111e-5,2.358794230297185e-4,0.0013830455736168058,8.792242439355458e-5,14017,strk,0,50,25,0,0,5,male_strk,northeast
28,male,1.3770361411598111e-5,2.358794230297185e-4,0.0013830455736168058,8.792242439355458e-5,14017,strk,0,50,25,0,0,5,male_strk,northeast
29,male,1.3770361411598111e-5,2.358794230297185e-4,0.0013830455736168058,8.792242439355458e-5,14017,strk,0,50,25,0,0,5,male_strk,northeast
30,male,2.9942903745797307e-5,3.11516357508584e-4,0.002078457864587204,1.708955166617068e-4,12938,strk,0,50,30,0,0,5,male_strk,northeast
31,male,2.9942903745797307e-5,3.11516357508584e-4,0.002078457864587204,1.708955166617068e-4,12938,strk,0,50,30,0,0,5,male_strk,northeast
32,male,2.9942903745797307e-5,3.11516357508584e-4,0.002078457864587204,1.708955166617068e-4,12938,strk,0,50,30,0,0,5,male_strk,northeast
33,male,2.9942903745797307e-5,3.11516357508584e-4,0.002078457864587204,1.708955166617068e-4,12938,strk,0,50,30,0,0,5,male_strk,northeast
34,male,2.9942903745797307e-5,3.11516357508584e-4,0.002078457864587204,1.708955166617068e-4,12938,strk,0,50,30,0,0,5,male_strk,northeast
35,male,5.130634038759477e-5,4.374817580760595e-4,0.0033932101683188973,3.089574465916781e-4,12403,strk,0,50,35,0,1,5,male_strk,northeast
36,male,5.130634038759477e-5,4.374817580760595e-4,0.0033932101683188973,3.089574465916781e-4,12403,strk,0,50,35,0,1,5,male_strk,northeast
37,male,5.130634038759477e-5,4.374817580760595e-4,0.0033932101683188973,3.089574465916781e-4,12403,strk,0,50,35,0,1,5,male_strk,northeast
38,male,5.130634038759477e-5,4.374817580760595e-4,0.0033932101683188973,3.089574465916781e-4,12403,strk,0,50,35,0,1,5,male_strk,northeast
39,male,5.130634038759477e-5,4.374817580760595e-4,0.0033932101683188973,3.089574465916781e-4,12403,strk,0,50,35,0,1,5,male_strk,northeast
40,male,7.833700399300596e-5,6.708340502381995e-4,0.0054865452106263425,5.70190398839065e-4,11467,strk,0,50,40,0,1,5,male_strk,northeast
41,male,7.833700399300596e-5,6.708340502381995e-4,0.0054865452106263425,5.70190398839065e-4,11467,strk,0,50,40,0,1,5,male_strk,northeast
42,male,7.833700399300596e-5,6.708340502381995e-4,0.0054865452106263425,5.70190398839065e-4,11467,strk,0,50,40,0,1,5,male_strk,northeast
43,male,7.833700399300596e-5,6.708340502381995e-4,0.0054865452106263425,5.70190398839065e-4,11467,strk,0,50,40,0,1,5,male_strk,northeast
44,male,7.833700399300596e-5,6.708340502381995e-4,0.0054865452106263425,5.70190398839065e-4,11467,strk,0,50,40,0,1,5,male_strk,northeast
45,male,1.1313713159456203e-4,0.0010709905545846243,0.008846014339104782,9.540865293282968e-4,13367,strk,0,50,45,0,2,5,male_strk,northeast
46,male,1.1313713159456203e-4,0.0010709905545846243,0.008846014339104782,9.540865293282968e-4,13367,strk,0,50,45,0,2,5,male_strk,northeast
47,male,1.1313713159456203e-4,0.0010709905545846243,0.008846014339104782,9.540865293282968e-4,13367,strk,0,50,45,0,2,5,male_strk,northeast
48,male,1.1313713159456203e-4,0.0010709905545846243,0.008846014339104782,9.540865293282968e-4,13367,strk,0,50,45,0,2,5,male_strk,northeast
49,male,1.1313713159456203e-4,0.0010709905545846243,0.008846014339104782,9.540865293282968e-4,13367,strk,0,50,45,0,2,5,male_strk,northeast
50,male,1.557425695459536e-4,0.0016411431856574394,0.013851084965319912,0.001533679947713611,14280,strk,0,50,50,1,2,5,male_strk,northeast
51,male,1.557425695459536e-4,0.0016411431856574394,0.013851084965319912,0.001533679947713611,14280,strk,0,50,50,1,2,5,male_strk,northeast
52,male,1.557425695459536e-4,0.0016411431856574394,0.013851084965319912,0.001533679947713611,14280,strk,0,50,50,1,2,5,male_strk,northeast
53,male,1.557425695459536e-4,0.0016411431856574394,0.013851084965319912,0.001533679947713611,14280,strk,0,50,50,1,2,5,male_strk,northeast
54,male,1.557425695459536e-4,0.0016411431856574394,0.013851084965319912,0.001533679947713611,14280,strk,0,50,50,1,2,5,male_strk,northeast
55,male,2.3712417013057363e-4,0.0025260418621683026,0.020672419796108694,0.002308855956634853,13332,strk,0,50,55,1,3,5,male_strk,northeast
56,male,2.3712417013057363e-4,0.0025260418621683026,0.020672419796108694,0.002308855956634853,13332,strk,0,50,55,1,3,5,male_strk,northeast
57,male,2.3712417013057363e-4,0.0025260418621683026,0.020672419796108694,0.002308855956634853,13332,strk,0,50,55,1,3,5,male_strk,northeast
