age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
18,female,2.7224693795544993e-6,1.9342703908896267e-4,8.149106045753084e-4,5.2842957578351424e-5,6499,strk,0,50,15,0,0,5,female_strk,nottingham
19,female,2.7224693795544993e-6,1.9342703908896267e-4,8.149106045753084e-4,5.2842957578351424e-5,6499,strk,0,50,15,0,0,5,female_strk,nottingham
20,female,4.256808968722877e-6,2.4753225823541364e-4,0.0011296887441942618,6.784208680372619e-5,8039,strk,0,50,20,0,0,5,female_strk,nottingham
21,female,4.256808968722877e-6,2.4753225823541364e-4,0.0011296887441942618,6.784208680372619e-5,8039,strk,0,50,20,0,0,5,female_strk,nottingham
22,female,4.256808968722877e-6,2.4753225823541364e-4,0.0011296887441942618,6.784208680372619e-5,8039,strk,0,50,20,0,0,5,female_strk,nottingham
23,female,4.256808968722877e-6,2.4753225823541364e-4,0.0011296887441942618,6.784208680372619e-5,8039,strk,0,50,20,0,0,5,female_strk,nottingham
24,female,4.256808968722877e-6,2.4753225823541364e-4,0.0011296887441942618,6.784208680372619e-5,8039,strk,0,50,20,0,0,5,female_strk,nottingham
25,female,6.189629012347534e-6,3.0731684487616157e-4,0.0016740906569130318,1.0119601413181135e-4,8443,strk,0,50,25,0,0,5,female_strk,nottingham
26,female,6.189629012347534e-6,3.0731684487616157e-4,0.0016740906569130318,1.0119601413181135e-4,8443,strk,0,50,25,0,0,5,female_strk,nottingham
27,female,6.189629012347534e-6,3.0731684487616157e-4,0.0016740906569130318,1.0119601413181135e-4,8443,strk,0,50,25,0,0,5,female_strk,nottingham
28,female,6.189629012347534e-6,3.0731684487616157e-4,0.0016740906569130318,1.0119601413181135e-4,8443,strk,0,50,25,0,0,5,female_strk,nottingham
29,female,6.189629012347534e-6,3.0731684487616157e-4,0.0016740906569130318,1.0119601413181135e-4,8443,strk,0,50,25,0,0,5,female_strk,nottingham
30,female,1.723433960195653e-5,4.052154407348406e-4,0.0024745436571697904,1.903732912655755e-4,7254,strk,0,50,30,0,0,5,female_strk,nottingham
31,female,1.723433960195653e-5,4.052154407348406e-4,0.0024745436571697904,1.903732912655755e-4,7254,strk,0,50,30,0,0,5,female_strk,nottingham
32,female,1.723433960195653e-5,4.052154407348406e-4,0.0024745436571697904,1.903732912655755e-4,7254,strk,0,50,30,0,0,5,female_strk,nottingham
33,female,1.723433960195653e-5,4.052154407348406e-4,0.0024745436571697904,1.903732912655755e-4,7254,strk,0,50,30,0,0,5,female_strk,nottingham
34,female,1.723433960195653e-5,4.052154407348406e-4,0.0024745436571697904,1.903732912655755e-4,7254,strk,0,50,30,0,0,5,female_strk,nottingham
35,female,2.9107137913698715e-5,5.664096001806951e-4,0.004005087463165091,3.3558000793827193e-4,7000,strk,0,50,35,0,0,5,female_strk,nottingham
36,female,2.9107137913698715e-5,5.664096001806951e-4,0.004005087463165091,3.3558000793827193e-4,7000,strk,0,50,35,0,0,5,female_strk,nottingham
37,female,2.9107137913698715e-5,5.664096001806951e-4,0.004005087463165091,3.3558000793827193e-4,7000,strk,0,50,35,0,0,5,female_strk,nottingham
38,female,2.9107137913698715e-5,5.664096001806951e-4,0.004005087463165091,3.3558000793827193e-4,7000,strk,0,50,35,0,0,5,female_strk,nottingham
39,female,2.9107137913698715e-5,5.664096001806951e-4,0.004005087463165091,3.3558000793827193e-4,7000,strk,0,50,35,0,0,5,female_strk,nottingham
