age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
15,female,1.4289896236051025e-6,1.7120603986518909e-4,6.976701970460242e-4,5.113800990345757e-5,51053,strk,0,50,15,0,0,5,female_strk,South East England
16,female,1.4289896236051025e-6,1.7120603986518909e-4,6.976701970460242e-4,5.113800990345757e-5,51053,strk,0,50,15,0,0,5,female_strk,South East England
17,female,1.4289896236051025e-6,1.7120603986518909e-4,6.976701970460242e-4,5.113800990345757e-5,51053,strk,0,50,15,0,0,5,female_strk,South East England
18,female,1.4289896236051025e-6,1.7120603986518909e-4,6.976701970460242e-4,5.113800990345757e-5,51053,strk,0,50,15,0,0,5,female_strk,South East England
19,female,1.4289896236051025e-6,1.7120603986518909e-4,6.976701970460242e-4,5.113800990345757e-5,51053,strk,0,50,15,0,0,5,female_strk,South East England
20,female,3.089428813976105e-6,2.2111465601755274e-4,8.899763791447064e-4,6.603097060372072e-5,53762,strk,0,50,20,0,0,5,female_strk,South East England
21,female,3.089428813976105e-6,2.2111465601755274e-4,8.899763791447064e-4,6.603097060372072e-5,53762,strk,0,50,20,0,0,5,female_strk,South East England
22,female,3.089428813976105e-6,2.2111465601755274e-4,8.899763791447064e-4,6.603097060372072e-5,53762,strk,0,50,20,0,0,5,female_strk,South East England
23,female,3.089428813976105e-6,2.2111465601755274e-4,8.899763791447064e-4,6.603097060372072e-5,53762,strk,0,50,20,0,0,5,female_strk,South East England
24,female,3.089428813976105e-6,2.2111465601755274e-4,8.899763791447064e-4,6.603097060372072e-5,53762,strk,0,50,20,0,0,5,female_strk,South East England
25,female,6.356752559379562e-6,2.8459892770212427e-4,0.0013542283409342154,9.908170775395734e-5,57318,strk,0,50,25,0,0,5,female_strk,South East England
26,female,6.356752559379562e-6,2.8459892770212427e-4,0.0013542283409342154,9.908170775395734e-5,57318,strk,0,50,25,0,0,5,female_strk,South East England
27,female,6.356752559379562e-6,2.8459892770212427e-4,0.0013542283409342154,9.908170775395734e-5,57318,strk,0,50,25,0,0,5,female_strk,South East England
28,female,6.356752559379562e-6,2.8459892770212427e-4,0.0013542283409342154,9.908170775395734e-5,57318,strk,0,50,25,0,0,5,female_strk,South East England
29,female,6.356752559379562e-6,2.8459892770212427e-4,0.0013542283409342154,9.908170775395734e-5,57318,strk,0,50,25,0,0,5,female_strk,South East England
30,female,1.3911833552745317e-5,3.690062090383905e-4,0.0022112212330926235,1.8543152288762757e-4,58028,strk,0,50,30,0,1,5,female_strk,South East England
31,female,1.3911833552745317e-5,3.690062090383905e-4,0.0022112212330926235,1.8543152288762757e-4,58028,strk,0,50,30,0,1,5,female_strk,South East England
32,female,1.3911833552745317e-5,3.690062090383905e-4,0.0022112212330926235,1.8543152288762757e-4,58028,strk,0,50,30,0,1,5,female_strk,South East England
33,female,1.3911833552745317e-5,3.690062090383905e-4,0.0022112212330926235,1.8543152288762757e-4,58028,strk,0,50,30,0,1,5,female_strk,South East England
34,female,1.3911833552745317e-5,3.690062090383905e-4,0.0022112212330926235,1.8543152288762757e-4,58028,strk,0,50,30,0,1,5,female_strk,South East England
35,female,1.9744293747637718e-5,5.286696533377917e-4,0.0034963751392033246,3.2511242347385886e-4,59355,strk,0,50,35,0,1,5,female_strk,South East England
36,female,1.9744293747637718e-5,5.286696533377917e-4,0.0034963751392033246,3.2511242347385886e-4,59355,strk,0,50,35,0,1,5,female_strk,South East England
37,female,1.9744293747637718e-5,5.286696533377917e-4,0.0034963751392033246,3.2511242347385886e-4,59355,strk,0,50,35,0,1,5,female_strk,South East England
38,female,1.9744293747637718e-5,5.286696533377917e-4,0.0034963751392033246,3.2511242347385886e-4,59355,strk,0,50,35,0,1,5,female_strk,South East England
39,female,1.9744293747637718e-5,5.286696533377917e-4,0.0034963751392033246,3.2511242347385886e-4,59355,strk,0,50,35,0,1,5,female_strk,South East England
40,female,3.5403917881303705e-5,7.659379543964822e-4,0.0057347977166907925,5.174553825289101e-4,59104,strk,0,50,40,0,2,5,female_strk,South East England
41,female,3.5403917881303705e-5,7.659379543964822e-4,0.0057347977166907925,5.174553825289101e-4,59104,strk,0,50,40,0,2,5,female_strk,South East England
42,female,3.5403917881303705e-5,7.659379543964822e-4,0.0057347977166907925,5.174553825289101e-4,59104,strk,0,50,40,0,2,5,female_strk,South East England
43,female,3.5403917881303705e-5,7.659379543964822e-4,0.0057347977166907925,5.174553825289101e-4,59104,strk,0,50,40,0,2,5,female_strk,South East England
44,female,3.5403917881303705e-5,7.659379543964822e-4,0.0057347977166907925,5.174553825289101e-4,59104,strk,0,50,40,0,2,5,female_strk,South East England
45,female,5.4467840414721436e-5,0.0011343795314005254,0.008645903387148927,7.623775992237027e-4,66068,strk,0,50,45,0,4,5,female_strk,South East England
46,female,5.4467840414721436e-5,0.0011343795314005254,0.008645903387148927,7.623775992237027e-4,66068,strk,0,50,45,0,4,5,female_strk,South East England
47,female,5.4467840414721436e-5,0.0011343795314005254,0.008645903387148927,7.623775992237027e-4,66068,strk,0,50,45,0,4,5,female_strk,South East England
48,female,5.4467840414721436e-5,0.0011343795314005254,0.008645903387148927,7.623775992237027e-4,66068,strk,0,50,45,0,4,5,female_strk,South East England
49,female,5.4467840414721436e-5,0.0011343795314005254,0.008645903387148927,7.623775992237027e-4,66068,strk,0,50,45,0,4,5,female_strk,South East England
50,female,9.266163842571948e-5,0.0016615259121211367,0.012782670011595955,0.0010669068718251722,66506,strk,0,50,50,1,6,5,female_strk,South East England
51,female,9.266163842571948e-5,0.0016615259121211367,0.012782670011595955,0.0010669068718251722,66506,strk,0,50,50,1,6,5,female_strk,South East England
52,female,9.266163842571948e-5,0.0016615259121211367,0.012782670011595955,0.0010669068718251722,66506,strk,0,50,50,1,6,5,female_strk,South East England
53,female,9.266163842571948e-5,0.0016615259121211367,0.012782670011595955,0.0010669068718251722,66506,strk,0,50,50,1,6,5,female_strk,South East England
54,female,9.266163842571948e-5,0.0016615259121211367,0.012782670011595955,0.0010669068718251722,66506,strk,0,50,50,1,6,5,female_strk,South East England
55,female,1.435660787754826e-4,0.0024339395320227713,0.01802243213218288,0.0014310362690348323,57929,strk,0,50,55,1,8,5,female_strk,South East England
56,female,1.435660787754826e-4,0.0024339395320227713,0.01802243213218288,0.0014310362690348323,57929,strk,0,50,55,1,8,5,female_strk,South East England
57,female,1.435660787754826e-4,0.0024339395320227713,0.01802243213218288,0.0014310362690348323,57929,strk,0,50,55,1,8,5,female_strk,South East England
58,female,1.435660787754826e-4,0.0024339395320227713,0.01802243213218288,0.0014310362690348323,57929,strk,0,50,55,1,8,5,female_strk,South East England
59,female,1.435660787754826e-4,0.0024339395320227713,0.01802243213218288,0.0014310362690348323,57929,strk,0,50,55,1,8,5,female_strk,South East England
60,female,2.0245969582422937e-4,0.003361192544044008,0.024174084215051916,0.0020042292467036785,49602,strk,0,50,60,1,10,5,female_strk,South East England
61,female,2.0245969582422937e-4,0.003361192544044008,0.024174084215051916,0.0020042292467036785,49602,strk,0,50,60,1,10,5,female_strk,South East England
62,female,2.0245969582422937e-4,0.003361192544044008,0.024174084215051916,0.0020042292467036785,49602,strk,0,50,60,1,10,5,female_strk,South East England
63,female,2.0245969582422937e-4,0.003361192544044008,0.024174084215051916,0.0020042292467036785,49602,strk,0,50,60,1,10,5,female_strk,South East England
64,female,2.0245969582422937e-4,0.003361192544044008,0.024174084215051916,0.0020042292467036785,49602,strk,0,50,60,1,10,5,female_strk,South East England
65,female,3.7036503131736417e-4,0.0044262430704454,0.03098261987936979,0.0027861131145683806,50949,strk,0,50,65,2,19,5,female_strk,South East England
66,female,3.7036503131736417e-4,0.0044262430704454,0.03098261987936979,0.0027861131145683806,50949,strk,0,50,65,2,19,5,female_strk,South East England
67,female,3.7036503131736417e-4,0.0044262430704454,0.03098261987936979,0.0027861131145683806,50949,strk,0,50,65,2,19,5,female_strk,South East England
68,female,3.7036503131736417e-4,0.0044262430704454,0.03098261987936979,0.0027861131145683806,50949,strk,0,50,65,2,19,5,female_strk,South East England
69,female,3.7036503131736417e-4,0.0044262430704454,0.03098261987936979,0.0027861131145683806,50949,strk,0,50,65,2,19,5,female_strk,South East England
