age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
44,female,1.3648474035186706e-5,0.003492885883915375,0.0539355935378105,0.0039634919750702,8291,copd,0,50,40,3,0,5,female_copd,sheffield
45,female,3.366833728495543e-5,0.004829633002242621,0.07551358604556771,0.004734961154395531,9789,copd,0,50,45,4,0,5,female_copd,sheffield
46,female,3.366833728495543e-5,0.004829633002242621,0.07551358604556771,0.004734961154395531,9789,copd,0,50,45,4,0,5,female_copd,sheffield
47,female,3.366833728495543e-5,0.004829633002242621,0.07551358604556771,0.004734961154395531,9789,copd,0,50,45,4,0,5,female_copd,sheffield
48,female,3.366833728495543e-5,0.004829633002242621,0.07551358604556771,0.004734961154395531,9789,copd,0,50,45,4,0,5,female_copd,sheffield
49,female,3.366833728495543e-5,0.004829633002242621,0.07551358604556771,0.004734961154395531,9789,copd,0,50,45,4,0,5,female_copd,sheffield
50,female,9.267248909067076e-5,0.006444092064017578,0.10122770253300954,0.005667337296976792,9718,copd,0,50,50,5,1,5,female_copd,sheffield
51,female,9.267248909067076e-5,0.006444092064017578,0.10122770253300954,0.005667337296976792,9718,copd,0,50,50,5,1,5,female_copd,sheffield
52,female,9.267248909067076e-5,0.006444092064017578,0.10122770253300954,0.005667337296976792,9718,copd,0,50,50,5,1,5,female_copd,sheffield
53,female,9.267248909067076e-5,0.006444092064017578,0.10122770253300954,0.005667337296976792,9718,copd,0,50,50,5,1,5,female_copd,sheffield
54,female,9.267248909067076e-5,0.006444092064017578,0.10122770253300954,0.005667337296976792,9718,copd,0,50,50,5,1,5,female_copd,sheffield
55,female,2.0352931685850724e-4,0.008379887105756887,0.13176651386420343,0.006797367262940533,8793,copd,0,50,55,7,2,5,female_copd,sheffield
56,female,2.0352931685850724e-4,0.008379887105756887,0.13176651386420343,0.006797367262940533,8793,copd,0,50,55,7,2,5,female_copd,sheffield
57,female,2.0352931685850724e-4,0.008379887105756887,0.13176651386420343,0.006797367262940533,8793,copd,0,50,55,7,2,5,female_copd,sheffield
58,female,2.0352931685850724e-4,0.008379887105756887,0.13176651386420343,0.006797367262940533,8793,copd,0,50,55,7,2,5,female_copd,sheffield
59,female,2.0352931685850724e-4,0.008379887105756887,0.13176651386420343,0.006797367262940533,8793,copd,0,50,55,7,2,5,female_copd,sheffield
60,female,5.532833280316423e-4,0.010784806497867335,0.1684694316883238,0.008618999278274345,7479,copd,0,50,60,8,4,5,female_copd,sheffield
61,female,5.532833280316423e-4,0.010784806497867335,0.1684694316883238,0.008618999278274345,7479,copd,0,50,60,8,4,5,female_copd,sheffield
62,female,5.532833280316423e-4,0.010784806497867335,0.1684694316883238,0.008618999278274345,7479,copd,0,50,60,8,4,5,female_copd,sheffield
63,female,5.532833280316423e-4,0.010784806497867335,0.1684694316883238,0.008618999278274345,7479,copd,0,50,60,8,4,5,female_copd,sheffield
64,female,5.532833280316423e-4,0.010784806497867335,0.1684694316883238,0.008618999278274345,7479,copd,0,50,60,8,4,5,female_copd,sheffield
