age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
69,male,6.199344749227139e-4,0.0046712332710107446,0.03716713667090541,0.003368318727492464,6033,strk,0,50,65,2,4,5,male_strk,nottingham
70,male,0.0012121774714333217,0.00686772699636992,0.04794306637513244,0.004256213848657219,5069,strk,0,50,70,2,6,5,male_strk,nottingham
71,male,0.0012121774714333217,0.00686772699636992,0.04794306637513244,0.004256213848657219,5069,strk,0,50,70,2,6,5,male_strk,nottingham
72,male,0.0012121774714333217,0.00686772699636992,0.04794306637513244,0.004256213848657219,5069,strk,0,50,70,2,6,5,male_strk,nottingham
73,male,0.0012121774714333217,0.00686772699636992,0.04794306637513244,0.004256213848657219,5069,strk,0,50,70,2,6,5,male_strk,nottingham
74,male,0.0012121774714333217,0.00686772699636992,0.04794306637513244,0.004256213848657219,5069,strk,0,50,70,2,6,5,male_strk,nottingham
75,male,0.0027400170767528167,0.009727121420635731,0.06070599512684341,0.005562974497131789,3444,strk,0,50,75,3,9,5,male_strk,nottingham
76,male,0.0027400170767528167,0.009727121420635731,0.06070599512684341,0.005562974497131789,3444,strk,0,50,75,3,9,5,male_strk,nottingham
77,male,0.0027400170767528167,0.009727121420635731,0.06070599512684341,0.005562974497131789,3444,strk,0,50,75,3,9,5,male_strk,nottingham
78,male,0.0027400170767528167,0.009727121420635731,0.06070599512684341,0.005562974497131789,3444,strk,0,50,75,3,9,5,male_strk,nottingham
79,male,0.0027400170767528167,0.009727121420635731,0.06070599512684341,0.005562974497131789,3444,strk,0,50,75,3,9,5,male_strk,nottingham
80,male,0.005417822696818714,0.013439385380252154,0.07537399785493823,0.008495050052029525,2361,strk,0,20,80,2,13,5,male_strk,nottingham
81,male,0.005417822696818714,0.013439385380252154,0.07537399785493823,0.008495050052029525,2361,strk,0,20,80,2,13,5,male_strk,nottingham
82,male,0.005417822696818714,0.013439385380252154,0.07537399785493823,0.008495050052029525,2361,strk,0,20,80,2,13,5,male_strk,nottingham
83,male,0.005417822696818714,0.013439385380252154,0.07537399785493823,0.008495050052029525,2361,strk,0,20,80,2,13,5,male_strk,nottingham
84,male,0.005417822696818714,0.013439385380252154,0.07537399785493823,0.008495050052029525,2361,strk,0,20,80,2,13,5,male_strk,nottingham
85,male,0.011566715649724878,0.017376528613543333,0.09150558082268369,0.013044693692591171,1242,strk,0,20,85,2,14,5,male_strk,nottingham
86,male,0.011566715649724878,0.017376528613543333,0.09150558082268369,0.013044693692591171,1242,strk,0,20,85,2,14,5,male_strk,nottingham
87,male,0.011566715649724878,0.017376528613543333,0.09150558082268369,0.013044693692591171,1242,strk,0,20,85,2,14,5,male_strk,nottingham
88,male,0.011566715649724878,0.017376528613543333,0.09150558082268369,0.013044693692591171,1242,strk,0,20,85,2,14,5,male_strk,nottingham
89,male,0.011566715649724878,0.017376528613543333,0.09150558082268369,0.013044693692591171,1242,strk,0,20,85,2,14,5,male_strk,nottingham
90,male,0.019321826463057468,0.02086031136576826,0.10448455808871622,0.017583255245978764,478,strk,0,10,90,1,9,5,male_strk,nottingham
91,male,0.019321826463057468,0.02086031136576826,0.10448455808871622,0.017583255245978764,478,strk,0,10,90,1,9,5,male_strk,nottingham
92,male,0.019321826463057468,0.02086031136576826,0.10448455808871622,0.017583255245978764,478,strk,0,10,90,1,9,5,male_strk,nottingham
93,male,0.019321826463057468,0.02086031136576826,0.10448455808871622,0.017583255245978764,478,strk,0,10,90,1,9,5,male_strk,nottingham
94,male,0.019321826463057468,0.02086031136576826,0.10448455808871622,0.017583255245978764,478,strk,0,10,90,1,9,5,male_strk,nottingham
95,male,0.034669647359657385,0.023854941339487245,0.11283703400672175,0.022128430933056453,76,strk,0,10,95,1,3,6,male_strk,nottingham
96,male,0.034669647359657385,0.023854941339487245,0.11283703400672175,0.022128430933056453,76,strk,0,10,95,1,3,6,male_strk,nottingham
97,male,0.034669647359657385,0.023854941339487245,0.11283703400672175,0.022128430933056453,76,strk,0,10,95,1,3,6,male_strk,nottingham
98,male,0.034669647359657385,0.023854941339487245,0.11283703400672175,0.022128430933056453,76,strk,0,10,95,1,3,6,male_strk,nottingham
99,male,0.034669647359657385,0.023854941339487245,0.11283703400672175,0.022128430933056453,76,strk,0,10,95,1,3,6,male_strk,nottingham
100,male,0.034669647359657385,0.023854941339487245,0.11283703400672175,0.022128430933056453,76,strk,0,10,95,1,3,6,male_strk,nottingham
