age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
29,female,2.0921036245595716e-5,0.001033034468526606,0.014447430673951623,0.0010089420076660137,57318,crdd,0,50,25,1,1,5,female_crdd,South East England
30,female,4.464236883550318e-5,0.0012798810947941943,0.01865465638969711,0.001799809658663176,58028,crdd,0,50,30,1,3,5,female_crdd,South East England
31,female,4.464236883550318e-5,0.0012798810947941943,0.01865465638969711,0.001799809658663176,58028,crdd,0,50,30,1,3,5,female_crdd,South East England
32,female,4.464236883550318e-5,0.0012798810947941943,0.01865465638969711,0.001799809658663176,58028,crdd,0,50,30,1,3,5,female_crdd,South East England
33,female,4.464236883550318e-5,0.0012798810947941943,0.01865465638969711,0.001799809658663176,58028,crdd,0,50,30,1,3,5,female_crdd,South East England
34,female,4.464236883550318e-5,0.0012798810947941943,0.01865465638969711,0.001799809658663176,58028,crdd,0,50,30,1,3,5,female_crdd,South East England
35,female,6.185114153844716e-5,0.001377895560079801,0.020265117670519958,0.00291353181826316,59355,crdd,0,50,35,1,4,5,female_crdd,South East England
36,female,6.185114153844716e-5,0.001377895560079801,0.020265117670519958,0.00291353181826316,59355,crdd,0,50,35,1,4,5,female_crdd,South East England
37,female,6.185114153844716e-5,0.001377895560079801,0.020265117670519958,0.00291353181826316,59355,crdd,0,50,35,1,4,5,female_crdd,South East England
38,female,6.185114153844716e-5,0.001377895560079801,0.020265117670519958,0.00291353181826316,59355,crdd,0,50,35,1,4,5,female_crdd,South East England
39,female,6.185114153844716e-5,0.001377895560079801,0.020265117670519958,0.00291353181826316,59355,crdd,0,50,35,1,4,5,female_crdd,South East England
40,female,1.1380922389068412e-4,0.0022050904950975786,0.04550527271833373,0.006000500810931271,59104,crdd,0,50,40,2,7,5,female_crdd,South East England
41,female,1.1380922389068412e-4,0.0022050904950975786,0.04550527271833373,0.006000500810931271,59104,crdd,0,50,40,2,7,5,female_crdd,South East England
42,female,1.1380922389068412e-4,0.0022050904950975786,0.04550527271833373,0.006000500810931271,59104,crdd,0,50,40,2,7,5,female_crdd,South East England
43,female,1.1380922389068412e-4,0.0022050904950975786,0.04550527271833373,0.006000500810931271,59104,crdd,0,50,40,2,7,5,female_crdd,South East England
