age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
57,female,2.1474632541652097e-4,3.999682370757444e-4,0.00479257146127739,7.203343335447576e-4,9452,carc,0,50,55,0,2,5,female_carc,liverpool
58,female,2.1474632541652097e-4,3.999682370757444e-4,0.00479257146127739,7.203343335447576e-4,9452,carc,0,50,55,0,2,5,female_carc,liverpool
59,female,2.1474632541652097e-4,3.999682370757444e-4,0.00479257146127739,7.203343335447576e-4,9452,carc,0,50,55,0,2,5,female_carc,liverpool
60,female,3.3662341937887243e-4,5.719529788065366e-4,0.006791798964054229,0.0010462306191014014,8153,carc,0,50,60,0,3,5,female_carc,liverpool
61,female,3.3662341937887243e-4,5.719529788065366e-4,0.006791798964054229,0.0010462306191014014,8153,carc,0,50,60,0,3,5,female_carc,liverpool
62,female,3.3662341937887243e-4,5.719529788065366e-4,0.006791798964054229,0.0010462306191014014,8153,carc,0,50,60,0,3,5,female_carc,liverpool
63,female,3.3662341937887243e-4,5.719529788065366e-4,0.006791798964054229,0.0010462306191014014,8153,carc,0,50,60,0,3,5,female_carc,liverpool
64,female,3.3662341937887243e-4,5.719529788065366e-4,0.006791798964054229,0.0010462306191014014,8153,carc,0,50,60,0,3,5,female_carc,liverpool
65,female,5.486242013380088e-4,9.031368857029809e-4,0.010673990036029061,0.0016776457329465615,7705,carc,0,50,65,1,4,5,female_carc,liverpool
66,female,5.486242013380088e-4,9.031368857029809e-4,0.010673990036029061,0.0016776457329465615,7705,carc,0,50,65,1,4,5,female_carc,liverpool
67,female,5.486242013380088e-4,9.031368857029809e-4,0.010673990036029061,0.0016776457329465615,7705,carc,0,50,65,1,4,5,female_carc,liverpool
68,female,5.486242013380088e-4,9.031368857029809e-4,0.010673990036029061,0.0016776457329465615,7705,carc,0,50,65,1,4,5,female_carc,liverpool
69,female,5.486242013380088e-4,9.031368857029809e-4,0.010673990036029061,0.0016776457329465615,7705,carc,0,50,65,1,4,5,female_carc,liverpool
70,female,7.3119249104103e-4,0.0010629568955476075,0.01220767477982769,0.002017205457397249,6342,carc,0,50,70,1,5,5,female_carc,liverpool
71,female,7.3119249104103e-4,0.0010629568955476075,0.01220767477982769,0.002017205457397249,6342,carc,0,50,70,1,5,5,female_carc,liverpool
72,female,7.3119249104103e-4,0.0010629568955476075,0.01220767477982769,0.002017205457397249,6342,carc,0,50,70,1,5,5,female_carc,liverpool
73,female,7.3119249104103e-4,0.0010629568955476075,0.01220767477982769,0.002017205457397249,6342,carc,0,50,70,1,5,5,female_carc,liverpool
74,female,7.3119249104103e-4,0.0010629568955476075,0.01220767477982769,0.002017205457397249,6342,carc,0,50,70,1,5,5,female_carc,liverpool
75,female,0.0011616773593720478,0.0013985122575363874,0.015408646863411302,0.00278165453211923,5174,carc,0,50,75,1,6,5,female_carc,liverpool
76,female,0.0011616773593720478,0.0013985122575363874,0.015408646863411302,0.00278165453211923,5174,carc,0,50,75,1,6,5,female_carc,liverpool
77,female,0.0011616773593720478,0.0013985122575363874,0.015408646863411302,0.00278165453211923,5174,carc,0,50,75,1,6,5,female_carc,liverpool
78,female,0.0011616773593720478,0.0013985122575363874,0.015408646863411302,0.00278165453211923,5174,carc,0,50,75,1,6,5,female_carc,liverpool
79,female,0.0011616773593720478,0.0013985122575363874,0.015408646863411302,0.00278165453211923,5174,carc,0,50,75,1,6,5,female_carc,liverpool
80,female,0.0018263181878052236,0.001313041999897648,0.012495248026660697,0.0030773373401613044,4180,carc,0,20,80,0,8,5,female_carc,liverpool
81,female,0.0018263181878052236,0.001313041999897648,0.012495248026660697,0.0030773373401613044,4180,carc,0,20,80,0,8,5,female_carc,liverpool
82,female,0.0018263181878052236,0.001313041999897648,0.012495248026660697,0.0030773373401613044,4180,carc,0,20,80,0,8,5,female_carc,liverpool
83,female,0.0018263181878052236,0.001313041999897648,0.012495248026660697,0.0030773373401613044,4180,carc,0,20,80,0,8,5,female_carc,liverpool
84,female,0.0018263181878052236,0.001313041999897648,0.012495248026660697,0.0030773373401613044,4180,carc,0,20,80,0,8,5,female_carc,liverpool
85,female,0.0030597610050263385,0.002081766061508843,0.018085588964329564,0.005157621707514355,2669,carc,0,20,85,0,8,5,female_carc,liverpool
86,female,0.0030597610050263385,0.002081766061508843,0.018085588964329564,0.005157621707514355,2669,carc,0,20,85,0,8,5,female_carc,liverpool
87,female,0.0030597610050263385,0.002081766061508843,0.018085588964329564,0.005157621707514355,2669,carc,0,20,85,0,8,5,female_carc,liverpool
88,female,0.0030597610050263385,0.002081766061508843,0.018085588964329564,0.005157621707514355,2669,carc,0,20,85,0,8,5,female_carc,liverpool
89,female,0.0030597610050263385,0.002081766061508843,0.018085588964329564,0.005157621707514355,2669,carc,0,20,85,0,8,5,female_carc,liverpool
90,female,0.004228592583373557,0.0026770633544358647,0.020439470710213986,0.007127078871208183,1183,carc,0,10,90,0,5,5,female_carc,liverpool
91,female,0.004228592583373557,0.0026770633544358647,0.020439470710213986,0.007127078871208183,1183,carc,0,10,90,0,5,5,female_carc,liverpool
92,female,0.004228592583373557,0.0026770633544358647,0.020439470710213986,0.007127078871208183,1183,carc,0,10,90,0,5,5,female_carc,liverpool
93,female,0.004228592583373557,0.0026770633544358647,0.020439470710213986,0.007127078871208183,1183,carc,0,10,90,0,5,5,female_carc,liverpool
94,female,0.004228592583373557,0.0026770633544358647,0.020439470710213986,0.007127078871208183,1183,carc,0,10,90,0,5,5,female_carc,liverpool
95,female,0.00558244517632644,0.0021969419647208887,0.0100098362300113,0.009404410444202883,282,carc,0,10,95,0,2,6,female_carc,liverpool
96,female,0.00558244517632644,0.0021969419647208887,0.0100098362300113,0.009404410444202883,282,carc,0,10,95,0,2,6,female_carc,liverpool
97,female,0.00558244517632644,0.0021969419647208887,0.0100098362300113,0.009404410444202883,282,carc,0,10,95,0,2,6,female_carc,liverpool
98,female,0.00558244517632644,0.0021969419647208887,0.0100098362300113,0.009404410444202883,282,carc,0,10,95,0,2,6,female_carc,liverpool
99,female,0.00558244517632644,0.0021969419647208887,0.0100098362300113,0.009404410444202883,282,carc,0,10,95,0,2,6,female_carc,liverpool
100,female,0.00558244517632644,0.0021969419647208887,0.0100098362300113,0.009404410444202883,282,carc,0,10,95,0,2,6,female_carc,liverpool
