age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
28,female,1.7554892184635145e-6,0.0011031233767837005,0.016419878679462402,0.001460471044281085,18190,copd,0,50,25,1,0,5,female_copd,North East England
29,female,1.7554892184635145e-6,0.0011031233767837005,0.016419878679462402,0.001460471044281085,18190,copd,0,50,25,1,0,5,female_copd,North East England
30,female,3.303557891912491e-6,0.0016549715971362312,0.024901310186993368,0.0020177093895565935,17395,copd,0,50,30,1,0,5,female_copd,North East England
31,female,3.303557891912491e-6,0.0016549715971362312,0.024901310186993368,0.0020177093895565935,17395,copd,0,50,30,1,0,5,female_copd,North East England
32,female,3.303557891912491e-6,0.0016549715971362312,0.024901310186993368,0.0020177093895565935,17395,copd,0,50,30,1,0,5,female_copd,North East England
33,female,3.303557891912491e-6,0.0016549715971362312,0.024901310186993368,0.0020177093895565935,17395,copd,0,50,30,1,0,5,female_copd,North East England
34,female,3.303557891912491e-6,0.0016549715971362312,0.024901310186993368,0.0020177093895565935,17395,copd,0,50,30,1,0,5,female_copd,North East England
35,female,5.824159042014531e-6,0.0024646038706721113,0.037460915207022945,0.0031263450526490197,16305,copd,0,50,35,2,0,5,female_copd,North East England
36,female,5.824159042014531e-6,0.0024646038706721113,0.037460915207022945,0.0031263450526490197,16305,copd,0,50,35,2,0,5,female_copd,North East England
37,female,5.824159042014531e-6,0.0024646038706721113,0.037460915207022945,0.0031263450526490197,16305,copd,0,50,35,2,0,5,female_copd,North East England
38,female,5.824159042014531e-6,0.0024646038706721113,0.037460915207022945,0.0031263450526490197,16305,copd,0,50,35,2,0,5,female_copd,North East England
39,female,5.824159042014531e-6,0.0024646038706721113,0.037460915207022945,0.0031263450526490197,16305,copd,0,50,35,2,0,5,female_copd,North East England
40,female,1.563263977817341e-5,0.003631358002448662,0.05593719647834052,0.004201477317371999,15593,copd,0,50,40,3,0,5,female_copd,North East England
41,female,1.563263977817341e-5,0.003631358002448662,0.05593719647834052,0.004201477317371999,15593,copd,0,50,40,3,0,5,female_copd,North East England
42,female,1.563263977817341e-5,0.003631358002448662,0.05593719647834052,0.004201477317371999,15593,copd,0,50,40,3,0,5,female_copd,North East England
43,female,1.563263977817341e-5,0.003631358002448662,0.05593719647834052,0.004201477317371999,15593,copd,0,50,40,3,0,5,female_copd,North East England
44,female,1.563263977817341e-5,0.003631358002448662,0.05593719647834052,0.004201477317371999,15593,copd,0,50,40,3,0,5,female_copd,North East England
45,female,4.281098349565637e-5,0.005028178361096548,0.078609303085166,0.0049596686627291576,18557,copd,0,50,45,4,1,5,female_copd,North East England
46,female,4.281098349565637e-5,0.005028178361096548,0.078609303085166,0.0049596686627291576,18557,copd,0,50,45,4,1,5,female_copd,North East England
47,female,4.281098349565637e-5,0.005028178361096548,0.078609303085166,0.0049596686627291576,18557,copd,0,50,45,4,1,5,female_copd,North East England
48,female,4.281098349565637e-5,0.005028178361096548,0.078609303085166,0.0049596686627291576,18557,copd,0,50,45,4,1,5,female_copd,North East England
49,female,4.281098349565637e-5,0.005028178361096548,0.078609303085166,0.0049596686627291576,18557,copd,0,50,45,4,1,5,female_copd,North East England
50,female,9.699986522231848e-5,0.006704771607989004,0.1053278417076827,0.00590981728667453,19845,copd,0,50,50,5,2,5,female_copd,North East England
51,female,9.699986522231848e-5,0.006704771607989004,0.1053278417076827,0.00590981728667453,19845,copd,0,50,50,5,2,5,female_copd,North East England
52,female,9.699986522231848e-5,0.006704771607989004,0.1053278417076827,0.00590981728667453,19845,copd,0,50,50,5,2,5,female_copd,North East England
53,female,9.699986522231848e-5,0.006704771607989004,0.1053278417076827,0.00590981728667453,19845,copd,0,50,50,5,2,5,female_copd,North East England
54,female,9.699986522231848e-5,0.006704771607989004,0.1053278417076827,0.00590981728667453,19845,copd,0,50,50,5,2,5,female_copd,North East England
55,female,2.518146402597344e-4,0.008706250568751598,0.13706860448129918,0.007059903931237544,18619,copd,0,50,55,7,5,5,female_copd,North East England
56,female,2.518146402597344e-4,0.008706250568751598,0.13706860448129918,0.007059903931237544,18619,copd,0,50,55,7,5,5,female_copd,North East England
57,female,2.518146402597344e-4,0.008706250568751598,0.13706860448129918,0.007059903931237544,18619,copd,0,50,55,7,5,5,female_copd,North East England
58,female,2.518146402597344e-4,0.008706250568751598,0.13706860448129918,0.007059903931237544,18619,copd,0,50,55,7,5,5,female_copd,North East England
59,female,2.518146402597344e-4,0.008706250568751598,0.13706860448129918,0.007059903931237544,18619,copd,0,50,55,7,5,5,female_copd,North East England
60,female,5.887735891539763e-4,0.01114500936239758,0.17449978758365153,0.00873994095701525,16200,copd,0,50,60,9,10,5,female_copd,North East England
61,female,5.887735891539763e-4,0.01114500936239758,0.17449978758365153,0.00873994095701525,16200,copd,0,50,60,9,10,5,female_copd,North East England
62,female,5.887735891539763e-4,0.01114500936239758,0.17449978758365153,0.00873994095701525,16200,copd,0,50,60,9,10,5,female_copd,North East England
63,female,5.887735891539763e-4,0.01114500936239758,0.17449978758365153,0.00873994095701525,16200,copd,0,50,60,9,10,5,female_copd,North East England
64,female,5.887735891539763e-4,0.01114500936239758,0.17449978758365153,0.00873994095701525,16200,copd,0,50,60,9,10,5,female_copd,North East England
65,female,0.0010879549744640263,0.014268510909614632,0.21965647953413497,0.010720037243246164,16162,copd,0,50,65,11,18,5,female_copd,North East England
66,female,0.0010879549744640263,0.014268510909614632,0.21965647953413497,0.010720037243246164,16162,copd,0,50,65,11,18,5,female_copd,North East England
67,female,0.0010879549744640263,0.014268510909614632,0.21965647953413497,0.010720037243246164,16162,copd,0,50,65,11,18,5,female_copd,North East England
68,female,0.0010879549744640263,0.014268510909614632,0.21965647953413497,0.010720037243246164,16162,copd,0,50,65,11,18,5,female_copd,North East England
69,female,0.0010879549744640263,0.014268510909614632,0.21965647953413497,0.010720037243246164,16162,copd,0,50,65,11,18,5,female_copd,North East England
70,female,0.0020814083242621864,0.017781217883801846,0.2701441040004934,0.011260214015125548,13160,copd,0,50,70,14,27,5,female_copd,North East England
71,female,0.0020814083242621864,0.017781217883801846,0.2701441040004934,0.011260214015125548,13160,copd,0,50,70,14,27,5,female_copd,North East England
72,female,0.0020814083242621864,0.017781217883801846,0.2701441040004934,0.011260214015125548,13160,copd,0,50,70,14,27,5,female_copd,North East England
73,female,0.0020814083242621864,0.017781217883801846,0.2701441040004934,0.011260214015125548,13160,copd,0,50,70,14,27,5,female_copd,North East England
74,female,0.0020814083242621864,0.017781217883801846,0.2701441040004934,0.011260214015125548,13160,copd,0,50,70,14,27,5,female_copd,North East England
75,female,0.003506767659263448,0.020814147682116757,0.3145816405226987,0.009648779324253929,10302,copd,0,50,75,16,36,5,female_copd,North East England
76,female,0.003506767659263448,0.020814147682116757,0.3145816405226987,0.009648779324253929,10302,copd,0,50,75,16,36,5,female_copd,North East England
77,female,0.003506767659263448,0.020814147682116757,0.3145816405226987,0.009648779324253929,10302,copd,0,50,75,16,36,5,female_copd,North East England
78,female,0.003506767659263448,0.020814147682116757,0.3145816405226987,0.009648779324253929,10302,copd,0,50,75,16,36,5,female_copd,North East England
79,female,0.003506767659263448,0.020814147682116757,0.3145816405226987,0.009648779324253929,10302,copd,0,50,75,16,36,5,female_copd,North East England
80,female,0.0057232200702640075,0.022730124837259176,0.3441830126857831,0.00820548656120842,7920,copd,0,20,80,7,45,5,female_copd,North East England
81,female,0.0057232200702640075,0.022730124837259176,0.3441830126857831,0.00820548656120842,7920,copd,0,20,80,7,45,5,female_copd,North East England
82,female,0.0057232200702640075,0.022730124837259176,0.3441830126857831,0.00820548656120842,7920,copd,0,20,80,7,45,5,female_copd,North East England
83,female,0.0057232200702640075,0.022730124837259176,0.3441830126857831,0.00820548656120842,7920,copd,0,20,80,7,45,5,female_copd,North East England
