age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
13,male,1.6685865996828583e-7,1.273555480016409e-4,0.002039868454109708,2.7766593505070144e-4,27670,copd,0,50,10,0,0,5,male_copd,East Midlands
14,male,1.6685865996828583e-7,1.273555480016409e-4,0.002039868454109708,2.7766593505070144e-4,27670,copd,0,50,10,0,0,5,male_copd,East Midlands
15,male,6.414245848314796e-7,2.50702883346921e-4,0.004073592977792847,5.360269550830444e-4,28023,copd,0,50,15,0,0,5,male_copd,East Midlands
16,male,6.414245848314796e-7,2.50702883346921e-4,0.004073592977792847,5.360269550830444e-4,28023,copd,0,50,15,0,0,5,male_copd,East Midlands
17,male,6.414245848314796e-7,2.50702883346921e-4,0.004073592977792847,5.360269550830444e-4,28023,copd,0,50,15,0,0,5,male_copd,East Midlands
18,male,6.414245848314796e-7,2.50702883346921e-4,0.004073592977792847,5.360269550830444e-4,28023,copd,0,50,15,0,0,5,male_copd,East Midlands
19,male,6.414245848314796e-7,2.50702883346921e-4,0.004073592977792847,5.360269550830444e-4,28023,copd,0,50,15,0,0,5,male_copd,East Midlands
20,male,1.0040213869699591e-6,4.476224823169799e-4,0.0074110752336856755,7.969501095628799e-4,30631,copd,0,50,20,0,0,5,male_copd,East Midlands
21,male,1.0040213869699591e-6,4.476224823169799e-4,0.0074110752336856755,7.969501095628799e-4,30631,copd,0,50,20,0,0,5,male_copd,East Midlands
22,male,1.0040213869699591e-6,4.476224823169799e-4,0.0074110752336856755,7.969501095628799e-4,30631,copd,0,50,20,0,0,5,male_copd,East Midlands
23,male,1.0040213869699591e-6,4.476224823169799e-4,0.0074110752336856755,7.969501095628799e-4,30631,copd,0,50,20,0,0,5,male_copd,East Midlands
24,male,1.0040213869699591e-6,4.476224823169799e-4,0.0074110752336856755,7.969501095628799e-4,30631,copd,0,50,20,0,0,5,male_copd,East Midlands
25,male,1.1296492999644115e-6,7.155278180065132e-4,0.012047818757751877,0.0010571395652806412,32124,copd,0,50,25,1,0,5,male_copd,East Midlands
26,male,1.1296492999644115e-6,7.155278180065132e-4,0.012047818757751877,0.0010571395652806412,32124,copd,0,50,25,1,0,5,male_copd,East Midlands
27,male,1.1296492999644115e-6,7.155278180065132e-4,0.012047818757751877,0.0010571395652806412,32124,copd,0,50,25,1,0,5,male_copd,East Midlands
28,male,1.1296492999644115e-6,7.155278180065132e-4,0.012047818757751877,0.0010571395652806412,32124,copd,0,50,25,1,0,5,male_copd,East Midlands
29,male,1.1296492999644115e-6,7.155278180065132e-4,0.012047818757751877,0.0010571395652806412,32124,copd,0,50,25,1,0,5,male_copd,East Midlands
30,male,1.9890721209338346e-6,0.001059059959110962,0.018077463966628297,0.0013971112068742718,30384,copd,0,50,30,1,0,5,male_copd,East Midlands
31,male,1.9890721209338346e-6,0.001059059959110962,0.018077463966628297,0.0013971112068742718,30384,copd,0,50,30,1,0,5,male_copd,East Midlands
32,male,1.9890721209338346e-6,0.001059059959110962,0.018077463966628297,0.0013971112068742718,30384,copd,0,50,30,1,0,5,male_copd,East Midlands
33,male,1.9890721209338346e-6,0.001059059959110962,0.018077463966628297,0.0013971112068742718,30384,copd,0,50,30,1,0,5,male_copd,East Midlands
34,male,1.9890721209338346e-6,0.001059059959110962,0.018077463966628297,0.0013971112068742718,30384,copd,0,50,30,1,0,5,male_copd,East Midlands
35,male,4.916920193780797e-6,0.0015333819664214811,0.02649776737053107,0.0020628321440183295,29870,copd,0,50,35,1,0,5,male_copd,East Midlands
36,male,4.916920193780797e-6,0.0015333819664214811,0.02649776737053107,0.0020628321440183295,29870,copd,0,50,35,1,0,5,male_copd,East Midlands
37,male,4.916920193780797e-6,0.0015333819664214811,0.02649776737053107,0.0020628321440183295,29870,copd,0,50,35,1,0,5,male_copd,East Midlands
38,male,4.916920193780797e-6,0.0015333819664214811,0.02649776737053107,0.0020628321440183295,29870,copd,0,50,35,1,0,5,male_copd,East Midlands
39,male,4.916920193780797e-6,0.0015333819664214811,0.02649776737053107,0.0020628321440183295,29870,copd,0,50,35,1,0,5,male_copd,East Midlands
40,male,1.656887150004702e-5,0.002231761534402914,0.03894437732598013,0.002978471225157447,29224,copd,0,50,40,2,0,5,male_copd,East Midlands
41,male,1.656887150004702e-5,0.002231761534402914,0.03894437732598013,0.002978471225157447,29224,copd,0,50,40,2,0,5,male_copd,East Midlands
42,male,1.656887150004702e-5,0.002231761534402914,0.03894437732598013,0.002978471225157447,29224,copd,0,50,40,2,0,5,male_copd,East Midlands
43,male,1.656887150004702e-5,0.002231761534402914,0.03894437732598013,0.002978471225157447,29224,copd,0,50,40,2,0,5,male_copd,East Midlands
44,male,1.656887150004702e-5,0.002231761534402914,0.03894437732598013,0.002978471225157447,29224,copd,0,50,40,2,0,5,male_copd,East Midlands
45,male,3.19331827305015e-5,0.0032121464534315435,0.056408446185082464,0.004176035503609506,33894,copd,0,50,45,3,1,5,male_copd,East Midlands
46,male,3.19331827305015e-5,0.0032121464534315435,0.056408446185082464,0.004176035503609506,33894,copd,0,50,45,3,1,5,male_copd,East Midlands
47,male,3.19331827305015e-5,0.0032121464534315435,0.056408446185082464,0.004176035503609506,33894,copd,0,50,45,3,1,5,male_copd,East Midlands
48,male,3.19331827305015e-5,0.0032121464534315435,0.056408446185082464,0.004176035503609506,33894,copd,0,50,45,3,1,5,male_copd,East Midlands
49,male,3.19331827305015e-5,0.0032121464534315435,0.056408446185082464,0.004176035503609506,33894,copd,0,50,45,3,1,5,male_copd,East Midlands
50,male,7.43093564926304e-5,0.004579925775152603,0.08088858271468664,0.005791803342352016,34709,copd,0,50,50,4,3,5,male_copd,East Midlands
51,male,7.43093564926304e-5,0.004579925775152603,0.08088858271468664,0.005791803342352016,34709,copd,0,50,50,4,3,5,male_copd,East Midlands
52,male,7.43093564926304e-5,0.004579925775152603,0.08088858271468664,0.005791803342352016,34709,copd,0,50,50,4,3,5,male_copd,East Midlands
53,male,7.43093564926304e-5,0.004579925775152603,0.08088858271468664,0.005791803342352016,34709,copd,0,50,50,4,3,5,male_copd,East Midlands
54,male,7.43093564926304e-5,0.004579925775152603,0.08088858271468664,0.005791803342352016,34709,copd,0,50,50,4,3,5,male_copd,East Midlands
55,male,1.8935115804803238e-4,0.00636250172186285,0.11326586442622802,0.007315639172970475,30728,copd,0,50,55,6,6,5,male_copd,East Midlands
56,male,1.8935115804803238e-4,0.00636250172186285,0.11326586442622802,0.007315639172970475,30728,copd,0,50,55,6,6,5,male_copd,East Midlands
57,male,1.8935115804803238e-4,0.00636250172186285,0.11326586442622802,0.007315639172970475,30728,copd,0,50,55,6,6,5,male_copd,East Midlands
58,male,1.8935115804803238e-4,0.00636250172186285,0.11326586442622802,0.007315639172970475,30728,copd,0,50,55,6,6,5,male_copd,East Midlands
59,male,1.8935115804803238e-4,0.00636250172186285,0.11326586442622802,0.007315639172970475,30728,copd,0,50,55,6,6,5,male_copd,East Midlands
60,male,4.93132477366756e-4,0.008551262095293447,0.1519967519063151,0.008855353159908668,26637,copd,0,50,60,8,13,5,male_copd,East Midlands
61,male,4.93132477366756e-4,0.008551262095293447,0.1519967519063151,0.008855353159908668,26637,copd,0,50,60,8,13,5,male_copd,East Midlands
62,male,4.93132477366756e-4,0.008551262095293447,0.1519967519063151,0.008855353159908668,26637,copd,0,50,60,8,13,5,male_copd,East Midlands
63,male,4.93132477366756e-4,0.008551262095293447,0.1519967519063151,0.008855353159908668,26637,copd,0,50,60,8,13,5,male_copd,East Midlands
64,male,4.93132477366756e-4,0.008551262095293447,0.1519967519063151,0.008855353159908668,26637,copd,0,50,60,8,13,5,male_copd,East Midlands
65,male,9.99321319332037e-4,0.011237075663413242,0.1971767691257818,0.010503326821168104,26684,copd,0,50,65,10,27,5,male_copd,East Midlands
66,male,9.99321319332037e-4,0.011237075663413242,0.1971767691257818,0.010503326821168104,26684,copd,0,50,65,10,27,5,male_copd,East Midlands
67,male,9.99321319332037e-4,0.011237075663413242,0.1971767691257818,0.010503326821168104,26684,copd,0,50,65,10,27,5,male_copd,East Midlands
68,male,9.99321319332037e-4,0.011237075663413242,0.1971767691257818,0.010503326821168104,26684,copd,0,50,65,10,27,5,male_copd,East Midlands
69,male,9.99321319332037e-4,0.011237075663413242,0.1971767691257818,0.010503326821168104,26684,copd,0,50,65,10,27,5,male_copd,East Midlands
70,male,0.0017749951243532936,0.014235013236459152,0.2475139424249544,0.011793221150558498,22900,copd,0,50,70,12,41,5,male_copd,East Midlands
71,male,0.0017749951243532936,0.014235013236459152,0.2475139424249544,0.011793221150558498,22900,copd,0,50,70,12,41,5,male_copd,East Midlands
72,male,0.0017749951243532936,0.014235013236459152,0.2475139424249544,0.011793221150558498,22900,copd,0,50,70,12,41,5,male_copd,East Midlands
73,male,0.0017749951243532936,0.014235013236459152,0.2475139424249544,0.011793221150558498,22900,copd,0,50,70,12,41,5,male_copd,East Midlands
74,male,0.0017749951243532936,0.014235013236459152,0.2475139424249544,0.011793221150558498,22900,copd,0,50,70,12,41,5,male_copd,East Midlands
75,male,0.0033475471497569713,0.01726128986041005,0.2993025762520275,0.011943148961940417,15417,copd,0,50,75,15,52,5,male_copd,East Midlands
76,male,0.0033475471497569713,0.01726128986041005,0.2993025762520275,0.011943148961940417,15417,copd,0,50,75,15,52,5,male_copd,East Midlands
77,male,0.0033475471497569713,0.01726128986041005,0.2993025762520275,0.011943148961940417,15417,copd,0,50,75,15,52,5,male_copd,East Midlands
78,male,0.0033475471497569713,0.01726128986041005,0.2993025762520275,0.011943148961940417,15417,copd,0,50,75,15,52,5,male_copd,East Midlands
79,male,0.0033475471497569713,0.01726128986041005,0.2993025762520275,0.011943148961940417,15417,copd,0,50,75,15,52,5,male_copd,East Midlands
80,male,0.0056409864674052575,0.019659750358039102,0.34452055982703206,0.012009568517928875,10391,copd,0,20,80,7,58,5,male_copd,East Midlands
81,male,0.0056409864674052575,0.019659750358039102,0.34452055982703206,0.012009568517928875,10391,copd,0,20,80,7,58,5,male_copd,East Midlands
82,male,0.0056409864674052575,0.019659750358039102,0.34452055982703206,0.012009568517928875,10391,copd,0,20,80,7,58,5,male_copd,East Midlands
83,male,0.0056409864674052575,0.019659750358039102,0.34452055982703206,0.012009568517928875,10391,copd,0,20,80,7,58,5,male_copd,East Midlands
84,male,0.0056409864674052575,0.019659750358039102,0.34452055982703206,0.012009568517928875,10391,copd,0,20,80,7,58,5,male_copd,East Midlands
85,male,0.011009759109682658,0.021408658915713565,0.38468881825926127,0.013995644841947411,5499,copd,0,20,85,8,60,5,male_copd,East Midlands
86,male,0.011009759109682658,0.021408658915713565,0.38468881825926127,0.013995644841947411,5499,copd,0,20,85,8,60,5,male_copd,East Midlands
87,male,0.011009759109682658,0.021408658915713565,0.38468881825926127,0.013995644841947411,5499,copd,0,20,85,8,60,5,male_copd,East Midlands
88,male,0.011009759109682658,0.021408658915713565,0.38468881825926127,0.013995644841947411,5499,copd,0,20,85,8,60,5,male_copd,East Midlands
89,male,0.011009759109682658,0.021408658915713565,0.38468881825926127,0.013995644841947411,5499,copd,0,20,85,8,60,5,male_copd,East Midlands
90,male,0.016033130070232205,0.02343434082930676,0.43055100756813963,0.020973228169072006,2107,copd,0,10,90,4,34,5,male_copd,East Midlands
91,male,0.016033130070232205,0.02343434082930676,0.43055100756813963,0.020973228169072006,2107,copd,0,10,90,4,34,5,male_copd,East Midlands
92,male,0.016033130070232205,0.02343434082930676,0.43055100756813963,0.020973228169072006,2107,copd,0,10,90,4,34,5,male_copd,East Midlands
93,male,0.016033130070232205,0.02343434082930676,0.43055100756813963,0.020973228169072006,2107,copd,0,10,90,4,34,5,male_copd,East Midlands
94,male,0.016033130070232205,0.02343434082930676,0.43055100756813963,0.020973228169072006,2107,copd,0,10,90,4,34,5,male_copd,East Midlands
95,male,0.025049634054081997,0.026795731251885772,0.5033645465287401,0.028849275202319998,358,copd,0,10,95,5,9,6,male_copd,East Midlands
96,male,0.025049634054081997,0.026795731251885772,0.5033645465287401,0.028849275202319998,358,copd,0,10,95,5,9,6,male_copd,East Midlands
97,male,0.025049634054081997,0.026795731251885772,0.5033645465287401,0.028849275202319998,358,copd,0,10,95,5,9,6,male_copd,East Midlands
98,male,0.025049634054081997,0.026795731251885772,0.5033645465287401,0.028849275202319998,358,copd,0,10,95,5,9,6,male_copd,East Midlands
99,male,0.025049634054081997,0.026795731251885772,0.5033645465287401,0.028849275202319998,358,copd,0,10,95,5,9,6,male_copd,East Midlands
100,male,0.025049634054081997,0.026795731251885772,0.5033645465287401,0.028849275202319998,358,copd,0,10,95,5,9,6,male_copd,East Midlands
