age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
82,female,0.01749386815306607,0.03174470606665839,0.46190131704524984,0.12485213826059258,5937,crdd,0,20,80,9,103,5,female_crdd,northeast
83,female,0.01749386815306607,0.03174470606665839,0.46190131704524984,0.12485213826059258,5937,crdd,0,20,80,9,103,5,female_crdd,northeast
84,female,0.01749386815306607,0.03174470606665839,0.46190131704524984,0.12485213826059258,5937,crdd,0,20,80,9,103,5,female_crdd,northeast
85,female,0.03534212923780741,0.038523944944880525,0.4939352039837706,0.15655034481385602,3744,crdd,0,20,85,10,130,5,female_crdd,northeast
86,female,0.03534212923780741,0.038523944944880525,0.4939352039837706,0.15655034481385602,3744,crdd,0,20,85,10,130,5,female_crdd,northeast
87,female,0.03534212923780741,0.038523944944880525,0.4939352039837706,0.15655034481385602,3744,crdd,0,20,85,10,130,5,female_crdd,northeast
88,female,0.03534212923780741,0.038523944944880525,0.4939352039837706,0.15655034481385602,3744,crdd,0,20,85,10,130,5,female_crdd,northeast
89,female,0.03534212923780741,0.038523944944880525,0.4939352039837706,0.15655034481385602,3744,crdd,0,20,85,10,130,5,female_crdd,northeast
90,female,0.06146711949439786,0.04317665226669395,0.4964301522829613,0.18545307272498276,1776,crdd,0,10,90,5,106,5,female_crdd,northeast
91,female,0.06146711949439786,0.04317665226669395,0.4964301522829613,0.18545307272498276,1776,crdd,0,10,90,5,106,5,female_crdd,northeast
92,female,0.06146711949439786,0.04317665226669395,0.4964301522829613,0.18545307272498276,1776,crdd,0,10,90,5,106,5,female_crdd,northeast
93,female,0.06146711949439786,0.04317665226669395,0.4964301522829613,0.18545307272498276,1776,crdd,0,10,90,5,106,5,female_crdd,northeast
94,female,0.06146711949439786,0.04317665226669395,0.4964301522829613,0.18545307272498276,1776,crdd,0,10,90,5,106,5,female_crdd,northeast
95,female,0.11045071998480403,0.046795112805553055,0.46337359510917625,0.2202595799878474,439,crdd,0,10,95,5,46,6,female_crdd,northeast
96,female,0.11045071998480403,0.046795112805553055,0.46337359510917625,0.2202595799878474,439,crdd,0,10,95,5,46,6,female_crdd,northeast
97,female,0.11045071998480403,0.046795112805553055,0.46337359510917625,0.2202595799878474,439,crdd,0,10,95,5,46,6,female_crdd,northeast
98,female,0.11045071998480403,0.046795112805553055,0.46337359510917625,0.2202595799878474,439,crdd,0,10,95,5,46,6,female_crdd,northeast
99,female,0.11045071998480403,0.046795112805553055,0.46337359510917625,0.2202595799878474,439,crdd,0,10,95,5,46,6,female_crdd,northeast
100,female,0.11045071998480403,0.046795112805553055,0.46337359510917625,0.2202595799878474,439,crdd,0,10,95,5,46,6,female_crdd,northeast
