age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
11,female,7.510983087286796e-8,9.303011054934567e-5,6.578590114518271e-4,3.23031231612402e-5,29175,iscs,0,50,10,0,0,5,female_iscs,South West England
12,female,7.510983087286796e-8,9.303011054934567e-5,6.578590114518271e-4,3.23031231612402e-5,29175,iscs,0,50,10,0,0,5,female_iscs,South West England
13,female,7.510983087286796e-8,9.303011054934567e-5,6.578590114518271e-4,3.23031231612402e-5,29175,iscs,0,50,10,0,0,5,female_iscs,South West England
14,female,7.510983087286796e-8,9.303011054934567e-5,6.578590114518271e-4,3.23031231612402e-5,29175,iscs,0,50,10,0,0,5,female_iscs,South West England
15,female,3.2436649943933295e-7,1.223915611455776e-4,8.802205477644431e-4,2.875325021761645e-5,29922,iscs,0,50,15,0,0,5,female_iscs,South West England
16,female,3.2436649943933295e-7,1.223915611455776e-4,8.802205477644431e-4,2.875325021761645e-5,29922,iscs,0,50,15,0,0,5,female_iscs,South West England
17,female,3.2436649943933295e-7,1.223915611455776e-4,8.802205477644431e-4,2.875325021761645e-5,29922,iscs,0,50,15,0,0,5,female_iscs,South West England
18,female,3.2436649943933295e-7,1.223915611455776e-4,8.802205477644431e-4,2.875325021761645e-5,29922,iscs,0,50,15,0,0,5,female_iscs,South West England
19,female,3.2436649943933295e-7,1.223915611455776e-4,8.802205477644431e-4,2.875325021761645e-5,29922,iscs,0,50,15,0,0,5,female_iscs,South West England
20,female,6.461150664662158e-7,1.5333268882784215e-4,0.0011056477904948837,3.3715966026128406e-5,32369,iscs,0,50,20,0,0,5,female_iscs,South West England
21,female,6.461150664662158e-7,1.5333268882784215e-4,0.0011056477904948837,3.3715966026128406e-5,32369,iscs,0,50,20,0,0,5,female_iscs,South West England
22,female,6.461150664662158e-7,1.5333268882784215e-4,0.0011056477904948837,3.3715966026128406e-5,32369,iscs,0,50,20,0,0,5,female_iscs,South West England
23,female,6.461150664662158e-7,1.5333268882784215e-4,0.0011056477904948837,3.3715966026128406e-5,32369,iscs,0,50,20,0,0,5,female_iscs,South West England
24,female,6.461150664662158e-7,1.5333268882784215e-4,0.0011056477904948837,3.3715966026128406e-5,32369,iscs,0,50,20,0,0,5,female_iscs,South West England
25,female,1.199142527388663e-6,1.9054758433727743e-4,0.0013760450683136592,4.72042008363782e-5,35027,iscs,0,50,25,0,0,5,female_iscs,South West England
26,female,1.199142527388663e-6,1.9054758433727743e-4,0.0013760450683136592,4.72042008363782e-5,35027,iscs,0,50,25,0,0,5,female_iscs,South West England
27,female,1.199142527388663e-6,1.9054758433727743e-4,0.0013760450683136592,4.72042008363782e-5,35027,iscs,0,50,25,0,0,5,female_iscs,South West England
28,female,1.199142527388663e-6,1.9054758433727743e-4,0.0013760450683136592,4.72042008363782e-5,35027,iscs,0,50,25,0,0,5,female_iscs,South West England
29,female,1.199142527388663e-6,1.9054758433727743e-4,0.0013760450683136592,4.72042008363782e-5,35027,iscs,0,50,25,0,0,5,female_iscs,South West England
30,female,1.5126221273096535e-6,2.3093840643973203e-4,0.0017506043074337542,8.305604438483852e-5,33987,iscs,0,50,30,0,0,5,female_iscs,South West England
31,female,1.5126221273096535e-6,2.3093840643973203e-4,0.0017506043074337542,8.305604438483852e-5,33987,iscs,0,50,30,0,0,5,female_iscs,South West England
32,female,1.5126221273096535e-6,2.3093840643973203e-4,0.0017506043074337542,8.305604438483852e-5,33987,iscs,0,50,30,0,0,5,female_iscs,South West England
33,female,1.5126221273096535e-6,2.3093840643973203e-4,0.0017506043074337542,8.305604438483852e-5,33987,iscs,0,50,30,0,0,5,female_iscs,South West England
34,female,1.5126221273096535e-6,2.3093840643973203e-4,0.0017506043074337542,8.305604438483852e-5,33987,iscs,0,50,30,0,0,5,female_iscs,South West England
35,female,1.9588869659035834e-6,3.1273997015745315e-4,0.0024113290815901416,1.4125007384213625e-4,32432,iscs,0,50,35,0,0,5,female_iscs,South West England
36,female,1.9588869659035834e-6,3.1273997015745315e-4,0.0024113290815901416,1.4125007384213625e-4,32432,iscs,0,50,35,0,0,5,female_iscs,South West England
37,female,1.9588869659035834e-6,3.1273997015745315e-4,0.0024113290815901416,1.4125007384213625e-4,32432,iscs,0,50,35,0,0,5,female_iscs,South West England
38,female,1.9588869659035834e-6,3.1273997015745315e-4,0.0024113290815901416,1.4125007384213625e-4,32432,iscs,0,50,35,0,0,5,female_iscs,South West England
39,female,1.9588869659035834e-6,3.1273997015745315e-4,0.0024113290815901416,1.4125007384213625e-4,32432,iscs,0,50,35,0,0,5,female_iscs,South West England
40,female,3.6448333347752306e-6,4.4347559537209557e-4,0.003461058798541636,2.2823290519529652e-4,32666,iscs,0,50,40,0,0,5,female_iscs,South West England
41,female,3.6448333347752306e-6,4.4347559537209557e-4,0.003461058798541636,2.2823290519529652e-4,32666,iscs,0,50,40,0,0,5,female_iscs,South West England
42,female,3.6448333347752306e-6,4.4347559537209557e-4,0.003461058798541636,2.2823290519529652e-4,32666,iscs,0,50,40,0,0,5,female_iscs,South West England
43,female,3.6448333347752306e-6,4.4347559537209557e-4,0.003461058798541636,2.2823290519529652e-4,32666,iscs,0,50,40,0,0,5,female_iscs,South West England
44,female,3.6448333347752306e-6,4.4347559537209557e-4,0.003461058798541636,2.2823290519529652e-4,32666,iscs,0,50,40,0,0,5,female_iscs,South West England
45,female,7.1351725477785185e-6,6.438498745757113e-4,0.005114841121895285,3.440394299453686e-4,38903,iscs,0,50,45,0,0,5,female_iscs,South West England
46,female,7.1351725477785185e-6,6.438498745757113e-4,0.005114841121895285,3.440394299453686e-4,38903,iscs,0,50,45,0,0,5,female_iscs,South West England
47,female,7.1351725477785185e-6,6.438498745757113e-4,0.005114841121895285,3.440394299453686e-4,38903,iscs,0,50,45,0,0,5,female_iscs,South West England
48,female,7.1351725477785185e-6,6.438498745757113e-4,0.005114841121895285,3.440394299453686e-4,38903,iscs,0,50,45,0,0,5,female_iscs,South West England
49,female,7.1351725477785185e-6,6.438498745757113e-4,0.005114841121895285,3.440394299453686e-4,38903,iscs,0,50,45,0,0,5,female_iscs,South West England
50,female,1.073441375343491e-5,9.629267606192821e-4,0.007523596172979993,5.294956131729367e-4,40699,iscs,0,50,50,0,0,5,female_iscs,South West England
51,female,1.073441375343491e-5,9.629267606192821e-4,0.007523596172979993,5.294956131729367e-4,40699,iscs,0,50,50,0,0,5,female_iscs,South West England
52,female,1.073441375343491e-5,9.629267606192821e-4,0.007523596172979993,5.294956131729367e-4,40699,iscs,0,50,50,0,0,5,female_iscs,South West England
53,female,1.073441375343491e-5,9.629267606192821e-4,0.007523596172979993,5.294956131729367e-4,40699,iscs,0,50,50,0,0,5,female_iscs,South West England
54,female,1.073441375343491e-5,9.629267606192821e-4,0.007523596172979993,5.294956131729367e-4,40699,iscs,0,50,50,0,0,5,female_iscs,South West England
55,female,1.8401934386018346e-5,0.0014728899110342593,0.011078741297035823,7.844994820535645e-4,36902,iscs,0,50,55,1,1,5,female_iscs,South West England
56,female,1.8401934386018346e-5,0.0014728899110342593,0.011078741297035823,7.844994820535645e-4,36902,iscs,0,50,55,1,1,5,female_iscs,South West England
57,female,1.8401934386018346e-5,0.0014728899110342593,0.011078741297035823,7.844994820535645e-4,36902,iscs,0,50,55,1,1,5,female_iscs,South West England
58,female,1.8401934386018346e-5,0.0014728899110342593,0.011078741297035823,7.844994820535645e-4,36902,iscs,0,50,55,1,1,5,female_iscs,South West England
59,female,1.8401934386018346e-5,0.0014728899110342593,0.011078741297035823,7.844994820535645e-4,36902,iscs,0,50,55,1,1,5,female_iscs,South West England
