age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
13,female,1.140955066989129e-6,1.7013182269851564e-4,0.0024171025366826336,3.6531232822379755e-4,7268,copd,0,50,10,0,0,5,female_copd,liverpool
14,female,1.140955066989129e-6,1.7013182269851564e-4,0.0024171025366826336,3.6531232822379755e-4,7268,copd,0,50,10,0,0,5,female_copd,liverpool
15,female,1.9216442274113022e-6,3.5842418334853236e-4,0.005226896722377074,7.587171532795816e-4,7653,copd,0,50,15,0,0,5,female_copd,liverpool
16,female,1.9216442274113022e-6,3.5842418334853236e-4,0.005226896722377074,7.587171532795816e-4,7653,copd,0,50,15,0,0,5,female_copd,liverpool
17,female,1.9216442274113022e-6,3.5842418334853236e-4,0.005226896722377074,7.587171532795816e-4,7653,copd,0,50,15,0,0,5,female_copd,liverpool
18,female,1.9216442274113022e-6,3.5842418334853236e-4,0.005226896722377074,7.587171532795816e-4,7653,copd,0,50,15,0,0,5,female_copd,liverpool
19,female,1.9216442274113022e-6,3.5842418334853236e-4,0.005226896722377074,7.587171532795816e-4,7653,copd,0,50,15,0,0,5,female_copd,liverpool
20,female,1.6461835232343188e-6,6.755249143651234e-4,0.009980447569657689,0.0011391222815815229,8896,copd,0,50,20,0,0,5,female_copd,liverpool
21,female,1.6461835232343188e-6,6.755249143651234e-4,0.009980447569657689,0.0011391222815815229,8896,copd,0,50,20,0,0,5,female_copd,liverpool
22,female,1.6461835232343188e-6,6.755249143651234e-4,0.009980447569657689,0.0011391222815815229,8896,copd,0,50,20,0,0,5,female_copd,liverpool
23,female,1.6461835232343188e-6,6.755249143651234e-4,0.009980447569657689,0.0011391222815815229,8896,copd,0,50,20,0,0,5,female_copd,liverpool
24,female,1.6461835232343188e-6,6.755249143651234e-4,0.009980447569657689,0.0011391222815815229,8896,copd,0,50,20,0,0,5,female_copd,liverpool
25,female,1.837654771742876e-6,0.001107099924773025,0.016581055341335922,0.0015031199649677526,9954,copd,0,50,25,1,0,5,female_copd,liverpool
26,female,1.837654771742876e-6,0.001107099924773025,0.016581055341335922,0.0015031199649677526,9954,copd,0,50,25,1,0,5,female_copd,liverpool
27,female,1.837654771742876e-6,0.001107099924773025,0.016581055341335922,0.0015031199649677526,9954,copd,0,50,25,1,0,5,female_copd,liverpool
28,female,1.837654771742876e-6,0.001107099924773025,0.016581055341335922,0.0015031199649677526,9954,copd,0,50,25,1,0,5,female_copd,liverpool
29,female,1.837654771742876e-6,0.001107099924773025,0.016581055341335922,0.0015031199649677526,9954,copd,0,50,25,1,0,5,female_copd,liverpool
30,female,3.634936196117211e-6,0.0016820935161917705,0.025357657629260334,0.002106795139343771,9292,copd,0,50,30,1,0,5,female_copd,liverpool
31,female,3.634936196117211e-6,0.0016820935161917705,0.025357657629260334,0.002106795139343771,9292,copd,0,50,30,1,0,5,female_copd,liverpool
32,female,3.634936196117211e-6,0.0016820935161917705,0.025357657629260334,0.002106795139343771,9292,copd,0,50,30,1,0,5,female_copd,liverpool
33,female,3.634936196117211e-6,0.0016820935161917705,0.025357657629260334,0.002106795139343771,9292,copd,0,50,30,1,0,5,female_copd,liverpool
34,female,3.634936196117211e-6,0.0016820935161917705,0.025357657629260334,0.002106795139343771,9292,copd,0,50,30,1,0,5,female_copd,liverpool
35,female,9.131149271812033e-6,0.0025389839303382156,0.0386146435955174,0.003335678615781515,8441,copd,0,50,35,2,0,5,female_copd,liverpool
36,female,9.131149271812033e-6,0.0025389839303382156,0.0386146435955174,0.003335678615781515,8441,copd,0,50,35,2,0,5,female_copd,liverpool
37,female,9.131149271812033e-6,0.0025389839303382156,0.0386146435955174,0.003335678615781515,8441,copd,0,50,35,2,0,5,female_copd,liverpool
38,female,9.131149271812033e-6,0.0025389839303382156,0.0386146435955174,0.003335678615781515,8441,copd,0,50,35,2,0,5,female_copd,liverpool
39,female,9.131149271812033e-6,0.0025389839303382156,0.0386146435955174,0.003335678615781515,8441,copd,0,50,35,2,0,5,female_copd,liverpool
40,female,2.4182095940831854e-5,0.0037829029946196764,0.058380927735958425,0.004536296554817719,8014,copd,0,50,40,3,0,5,female_copd,liverpool
41,female,2.4182095940831854e-5,0.0037829029946196764,0.058380927735958425,0.004536296554817719,8014,copd,0,50,40,3,0,5,female_copd,liverpool
42,female,2.4182095940831854e-5,0.0037829029946196764,0.058380927735958425,0.004536296554817719,8014,copd,0,50,40,3,0,5,female_copd,liverpool
43,female,2.4182095940831854e-5,0.0037829029946196764,0.058380927735958425,0.004536296554817719,8014,copd,0,50,40,3,0,5,female_copd,liverpool
44,female,2.4182095940831854e-5,0.0037829029946196764,0.058380927735958425,0.004536296554817719,8014,copd,0,50,40,3,0,5,female_copd,liverpool
45,female,4.971968181266327e-5,0.005286802309240376,0.08284251467412866,0.0053534385435601625,9231,copd,0,50,45,4,0,5,female_copd,liverpool
46,female,4.971968181266327e-5,0.005286802309240376,0.08284251467412866,0.0053534385435601625,9231,copd,0,50,45,4,0,5,female_copd,liverpool
47,female,4.971968181266327e-5,0.005286802309240376,0.08284251467412866,0.0053534385435601625,9231,copd,0,50,45,4,0,5,female_copd,liverpool
48,female,4.971968181266327e-5,0.005286802309240376,0.08284251467412866,0.0053534385435601625,9231,copd,0,50,45,4,0,5,female_copd,liverpool
49,female,4.971968181266327e-5,0.005286802309240376,0.08284251467412866,0.0053534385435601625,9231,copd,0,50,45,4,0,5,female_copd,liverpool
50,female,1.2335466518107046e-4,0.007077485481120044,0.11158963537172838,0.006344139666386592,10009,copd,0,50,50,6,1,5,female_copd,liverpool
51,female,1.2335466518107046e-4,0.007077485481120044,0.11158963537172838,0.006344139666386592,10009,copd,0,50,50,6,1,5,female_copd,liverpool
52,female,1.2335466518107046e-4,0.007077485481120044,0.11158963537172838,0.006344139666386592,10009,copd,0,50,50,6,1,5,female_copd,liverpool
53,female,1.2335466518107046e-4,0.007077485481120044,0.11158963537172838,0.006344139666386592,10009,copd,0,50,50,6,1,5,female_copd,liverpool
54,female,1.2335466518107046e-4,0.007077485481120044,0.11158963537172838,0.006344139666386592,10009,copd,0,50,50,6,1,5,female_copd,liverpool
55,female,2.854911834874883e-4,0.009231056296190813,0.1454245484738043,0.00751727869815335,9452,copd,0,50,55,7,3,5,female_copd,liverpool
56,female,2.854911834874883e-4,0.009231056296190813,0.1454245484738043,0.00751727869815335,9452,copd,0,50,55,7,3,5,female_copd,liverpool
57,female,2.854911834874883e-4,0.009231056296190813,0.1454245484738043,0.00751727869815335,9452,copd,0,50,55,7,3,5,female_copd,liverpool
58,female,2.854911834874883e-4,0.009231056296190813,0.1454245484738043,0.00751727869815335,9452,copd,0,50,55,7,3,5,female_copd,liverpool
59,female,2.854911834874883e-4,0.009231056296190813,0.1454245484738043,0.00751727869815335,9452,copd,0,50,55,7,3,5,female_copd,liverpool
60,female,7.171649198294878e-4,0.011818220761762116,0.18489233864400823,0.009269257392670774,8153,copd,0,50,60,9,6,5,female_copd,liverpool
61,female,7.171649198294878e-4,0.011818220761762116,0.18489233864400823,0.009269257392670774,8153,copd,0,50,60,9,6,5,female_copd,liverpool
62,female,7.171649198294878e-4,0.011818220761762116,0.18489233864400823,0.009269257392670774,8153,copd,0,50,60,9,6,5,female_copd,liverpool
63,female,7.171649198294878e-4,0.011818220761762116,0.18489233864400823,0.009269257392670774,8153,copd,0,50,60,9,6,5,female_copd,liverpool
