age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
64,male,0.0011229733832590278,3.760240963126896e-4,0.002593898520333873,0.0014328264688316438,30814,tbalc,0,50,60,0,35,5,male_tbalc,West Midlands
65,male,0.0019402606648676669,6.351958998285966e-4,0.0044791793088326684,0.0024698184541192968,30100,tbalc,0,50,65,0,58,5,male_tbalc,West Midlands
66,male,0.0019402606648676669,6.351958998285966e-4,0.0044791793088326684,0.0024698184541192968,30100,tbalc,0,50,65,0,58,5,male_tbalc,West Midlands
67,male,0.0019402606648676669,6.351958998285966e-4,0.0044791793088326684,0.0024698184541192968,30100,tbalc,0,50,65,0,58,5,male_tbalc,West Midlands
68,male,0.0019402606648676669,6.351958998285966e-4,0.0044791793088326684,0.0024698184541192968,30100,tbalc,0,50,65,0,58,5,male_tbalc,West Midlands
69,male,0.0019402606648676669,6.351958998285966e-4,0.0044791793088326684,0.0024698184541192968,30100,tbalc,0,50,65,0,58,5,male_tbalc,West Midlands
70,male,0.002545927425464126,7.957903921831556e-4,0.005620835133626684,0.00315644811441693,26536,tbalc,0,50,70,0,67,5,male_tbalc,West Midlands
71,male,0.002545927425464126,7.957903921831556e-4,0.005620835133626684,0.00315644811441693,26536,tbalc,0,50,70,0,67,5,male_tbalc,West Midlands
72,male,0.002545927425464126,7.957903921831556e-4,0.005620835133626684,0.00315644811441693,26536,tbalc,0,50,70,0,67,5,male_tbalc,West Midlands
73,male,0.002545927425464126,7.957903921831556e-4,0.005620835133626684,0.00315644811441693,26536,tbalc,0,50,70,0,67,5,male_tbalc,West Midlands
74,male,0.002545927425464126,7.957903921831556e-4,0.005620835133626684,0.00315644811441693,26536,tbalc,0,50,70,0,67,5,male_tbalc,West Midlands
75,male,0.0036935177782315867,0.001076051720876007,0.007199377801812656,0.004476363932033631,18782,tbalc,0,50,75,0,69,5,male_tbalc,West Midlands
76,male,0.0036935177782315867,0.001076051720876007,0.007199377801812656,0.004476363932033631,18782,tbalc,0,50,75,0,69,5,male_tbalc,West Midlands
77,male,0.0036935177782315867,0.001076051720876007,0.007199377801812656,0.004476363932033631,18782,tbalc,0,50,75,0,69,5,male_tbalc,West Midlands
78,male,0.0036935177782315867,0.001076051720876007,0.007199377801812656,0.004476363932033631,18782,tbalc,0,50,75,0,69,5,male_tbalc,West Midlands
79,male,0.0036935177782315867,0.001076051720876007,0.007199377801812656,0.004476363932033631,18782,tbalc,0,50,75,0,69,5,male_tbalc,West Midlands
80,male,0.004501072254043187,0.0010738544299454574,0.006081547657964068,0.004897357480448479,12675,tbalc,0,20,80,0,57,5,male_tbalc,West Midlands
81,male,0.004501072254043187,0.0010738544299454574,0.006081547657964068,0.004897357480448479,12675,tbalc,0,20,80,0,57,5,male_tbalc,West Midlands
82,male,0.004501072254043187,0.0010738544299454574,0.006081547657964068,0.004897357480448479,12675,tbalc,0,20,80,0,57,5,male_tbalc,West Midlands
83,male,0.004501072254043187,0.0010738544299454574,0.006081547657964068,0.004897357480448479,12675,tbalc,0,20,80,0,57,5,male_tbalc,West Midlands
84,male,0.004501072254043187,0.0010738544299454574,0.006081547657964068,0.004897357480448479,12675,tbalc,0,20,80,0,57,5,male_tbalc,West Midlands
85,male,0.005973312784654329,0.0013658503052007926,0.0073556194742821724,0.006502719769273945,6746,tbalc,0,20,85,0,40,5,male_tbalc,West Midlands
86,male,0.005973312784654329,0.0013658503052007926,0.0073556194742821724,0.006502719769273945,6746,tbalc,0,20,85,0,40,5,male_tbalc,West Midlands
87,male,0.005973312784654329,0.0013658503052007926,0.0073556194742821724,0.006502719769273945,6746,tbalc,0,20,85,0,40,5,male_tbalc,West Midlands
88,male,0.005973312784654329,0.0013658503052007926,0.0073556194742821724,0.006502719769273945,6746,tbalc,0,20,85,0,40,5,male_tbalc,West Midlands
89,male,0.005973312784654329,0.0013658503052007926,0.0073556194742821724,0.006502719769273945,6746,tbalc,0,20,85,0,40,5,male_tbalc,West Midlands
90,male,0.00559766781995081,0.001230627937890545,0.006207504169653318,0.006119958283363845,2478,tbalc,0,10,90,0,14,5,male_tbalc,West Midlands
91,male,0.00559766781995081,0.001230627937890545,0.006207504169653318,0.006119958283363845,2478,tbalc,0,10,90,0,14,5,male_tbalc,West Midlands
92,male,0.00559766781995081,0.001230627937890545,0.006207504169653318,0.006119958283363845,2478,tbalc,0,10,90,0,14,5,male_tbalc,West Midlands
93,male,0.00559766781995081,0.001230627937890545,0.006207504169653318,0.006119958283363845,2478,tbalc,0,10,90,0,14,5,male_tbalc,West Midlands
94,male,0.00559766781995081,0.001230627937890545,0.006207504169653318,0.006119958283363845,2478,tbalc,0,10,90,0,14,5,male_tbalc,West Midlands
95,male,0.005270493680875119,0.001010777648610852,0.0032293069040217836,0.005777107409751673,415,tbalc,0,10,95,0,2,6,male_tbalc,West Midlands
96,male,0.005270493680875119,0.001010777648610852,0.0032293069040217836,0.005777107409751673,415,tbalc,0,10,95,0,2,6,male_tbalc,West Midlands
97,male,0.005270493680875119,0.001010777648610852,0.0032293069040217836,0.005777107409751673,415,tbalc,0,10,95,0,2,6,male_tbalc,West Midlands
98,male,0.005270493680875119,0.001010777648610852,0.0032293069040217836,0.005777107409751673,415,tbalc,0,10,95,0,2,6,male_tbalc,West Midlands
99,male,0.005270493680875119,0.001010777648610852,0.0032293069040217836,0.005777107409751673,415,tbalc,0,10,95,0,2,6,male_tbalc,West Midlands
100,male,0.005270493680875119,0.001010777648610852,0.0032293069040217836,0.005777107409751673,415,tbalc,0,10,95,0,2,6,male_tbalc,West Midlands
