age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
18,male,3.2201435573308137e-7,2.4252775113552306e-4,0.003960185422526272,5.158257714063096e-4,35788,copd,0,50,15,0,0,5,male_copd,East of England
19,male,3.2201435573308137e-7,2.4252775113552306e-4,0.003960185422526272,5.158257714063096e-4,35788,copd,0,50,15,0,0,5,male_copd,East of England
20,male,7.32212045591177e-7,4.327809545181319e-4,0.007153689635293274,7.625681096658424e-4,37293,copd,0,50,20,0,0,5,male_copd,East of England
21,male,7.32212045591177e-7,4.327809545181319e-4,0.007153689635293274,7.625681096658424e-4,37293,copd,0,50,20,0,0,5,male_copd,East of England
22,male,7.32212045591177e-7,4.327809545181319e-4,0.007153689635293274,7.625681096658424e-4,37293,copd,0,50,20,0,0,5,male_copd,East of England
23,male,7.32212045591177e-7,4.327809545181319e-4,0.007153689635293274,7.625681096658424e-4,37293,copd,0,50,20,0,0,5,male_copd,East of England
24,male,7.32212045591177e-7,4.327809545181319e-4,0.007153689635293274,7.625681096658424e-4,37293,copd,0,50,20,0,0,5,male_copd,East of England
25,male,7.668753530497928e-7,6.876036472234005e-4,0.011578161075265827,0.0010081323655229903,40004,copd,0,50,25,1,0,5,male_copd,East of England
26,male,7.668753530497928e-7,6.876036472234005e-4,0.011578161075265827,0.0010081323655229903,40004,copd,0,50,25,1,0,5,male_copd,East of England
27,male,7.668753530497928e-7,6.876036472234005e-4,0.011578161075265827,0.0010081323655229903,40004,copd,0,50,25,1,0,5,male_copd,East of England
28,male,7.668753530497928e-7,6.876036472234005e-4,0.011578161075265827,0.0010081323655229903,40004,copd,0,50,25,1,0,5,male_copd,East of England
29,male,7.668753530497928e-7,6.876036472234005e-4,0.011578161075265827,0.0010081323655229903,40004,copd,0,50,25,1,0,5,male_copd,East of England
30,male,1.4666158123335995e-6,0.0010155043323957424,0.01733983190146098,0.0013243483889004888,40671,copd,0,50,30,1,0,5,male_copd,East of England
31,male,1.4666158123335995e-6,0.0010155043323957424,0.01733983190146098,0.0013243483889004888,40671,copd,0,50,30,1,0,5,male_copd,East of England
32,male,1.4666158123335995e-6,0.0010155043323957424,0.01733983190146098,0.0013243483889004888,40671,copd,0,50,30,1,0,5,male_copd,East of England
33,male,1.4666158123335995e-6,0.0010155043323957424,0.01733983190146098,0.0013243483889004888,40671,copd,0,50,30,1,0,5,male_copd,East of England
34,male,1.4666158123335995e-6,0.0010155043323957424,0.01733983190146098,0.0013243483889004888,40671,copd,0,50,30,1,0,5,male_copd,East of England
35,male,3.8423608065611595e-6,0.001464242934855747,0.02529535859137735,0.0019440410919522601,40147,copd,0,50,35,1,0,5,male_copd,East of England
