age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
36,female,2.1548748678405687e-6,0.002266693911498597,0.034365671759463874,0.0027899994500456228,79164,copd,0,50,35,2,0,5,female_copd,london
37,female,2.1548748678405687e-6,0.002266693911498597,0.034365671759463874,0.0027899994500456228,79164,copd,0,50,35,2,0,5,female_copd,london
38,female,2.1548748678405687e-6,0.002266693911498597,0.034365671759463874,0.0027899994500456228,79164,copd,0,50,35,2,0,5,female_copd,london
39,female,2.1548748678405687e-6,0.002266693911498597,0.034365671759463874,0.0027899994500456228,79164,copd,0,50,35,2,0,5,female_copd,london
40,female,8.295167382060206e-6,0.003290034455996281,0.05058546786637582,0.00368097286676727,63016,copd,0,50,40,3,1,5,female_copd,london
41,female,8.295167382060206e-6,0.003290034455996281,0.05058546786637582,0.00368097286676727,63016,copd,0,50,40,3,1,5,female_copd,london
42,female,8.295167382060206e-6,0.003290034455996281,0.05058546786637582,0.00368097286676727,63016,copd,0,50,40,3,1,5,female_copd,london
43,female,8.295167382060206e-6,0.003290034455996281,0.05058546786637582,0.00368097286676727,63016,copd,0,50,40,3,1,5,female_copd,london
44,female,8.295167382060206e-6,0.003290034455996281,0.05058546786637582,0.00368097286676727,63016,copd,0,50,40,3,1,5,female_copd,london
45,female,2.2183845885898182e-5,0.004495826163200054,0.07024593655143309,0.004325629090105978,59404,copd,0,50,45,4,1,5,female_copd,london
46,female,2.2183845885898182e-5,0.004495826163200054,0.07024593655143309,0.004325629090105978,59404,copd,0,50,45,4,1,5,female_copd,london
47,female,2.2183845885898182e-5,0.004495826163200054,0.07024593655143309,0.004325629090105978,59404,copd,0,50,45,4,1,5,female_copd,london
48,female,2.2183845885898182e-5,0.004495826163200054,0.07024593655143309,0.004325629090105978,59404,copd,0,50,45,4,1,5,female_copd,london
49,female,2.2183845885898182e-5,0.004495826163200054,0.07024593655143309,0.004325629090105978,59404,copd,0,50,45,4,1,5,female_copd,london
50,female,6.640653052825765e-5,0.005942954125087211,0.09333235584738656,0.005100994383744302,55298,copd,0,50,50,5,4,5,female_copd,london
51,female,6.640653052825765e-5,0.005942954125087211,0.09333235584738656,0.005100994383744302,55298,copd,0,50,50,5,4,5,female_copd,london
52,female,6.640653052825765e-5,0.005942954125087211,0.09333235584738656,0.005100994383744302,55298,copd,0,50,50,5,4,5,female_copd,london
53,female,6.640653052825765e-5,0.005942954125087211,0.09333235584738656,0.005100994383744302,55298,copd,0,50,50,5,4,5,female_copd,london
54,female,6.640653052825765e-5,0.005942954125087211,0.09333235584738656,0.005100994383744302,55298,copd,0,50,50,5,4,5,female_copd,london
55,female,1.525165719379103e-4,0.007671360369359866,0.12044853083606272,0.005987299376497365,45630,copd,0,50,55,6,7,5,female_copd,london
56,female,1.525165719379103e-4,0.007671360369359866,0.12044853083606272,0.005987299376497365,45630,copd,0,50,55,6,7,5,female_copd,london
57,female,1.525165719379103e-4,0.007671360369359866,0.12044853083606272,0.005987299376497365,45630,copd,0,50,55,6,7,5,female_copd,london
58,female,1.525165719379103e-4,0.007671360369359866,0.12044853083606272,0.005987299376497365,45630,copd,0,50,55,6,7,5,female_copd,london
59,female,1.525165719379103e-4,0.007671360369359866,0.12044853083606272,0.005987299376497365,45630,copd,0,50,55,6,7,5,female_copd,london
60,female,3.281702944753248e-4,0.009767838046004488,0.15248016520654112,0.007443566503088682,36511,copd,0,50,60,8,12,5,female_copd,london
61,female,3.281702944753248e-4,0.009767838046004488,0.15248016520654112,0.007443566503088682,36511,copd,0,50,60,8,12,5,female_copd,london
62,female,3.281702944753248e-4,0.009767838046004488,0.15248016520654112,0.007443566503088682,36511,copd,0,50,60,8,12,5,female_copd,london
63,female,3.281702944753248e-4,0.009767838046004488,0.15248016520654112,0.007443566503088682,36511,copd,0,50,60,8,12,5,female_copd,london
64,female,3.281702944753248e-4,0.009767838046004488,0.15248016520654112,0.007443566503088682,36511,copd,0,50,60,8,12,5,female_copd,london
65,female,6.547207059211362e-4,0.01250909750539231,0.19185610981442117,0.009250654956366362,31156,copd,0,50,65,10,20,5,female_copd,london
66,female,6.547207059211362e-4,0.01250909750539231,0.19185610981442117,0.009250654956366362,31156,copd,0,50,65,10,20,5,female_copd,london
67,female,6.547207059211362e-4,0.01250909750539231,0.19185610981442117,0.009250654956366362,31156,copd,0,50,65,10,20,5,female_copd,london
68,female,6.547207059211362e-4,0.01250909750539231,0.19185610981442117,0.009250654956366362,31156,copd,0,50,65,10,20,5,female_copd,london
69,female,6.547207059211362e-4,0.01250909750539231,0.19185610981442117,0.009250654956366362,31156,copd,0,50,65,10,20,5,female_copd,london
70,female,0.00120343681895007,0.015669687035009674,0.23680156948090497,0.009948688590641002,26051,copd,0,50,70,12,31,5,female_copd,london
71,female,0.00120343681895007,0.015669687035009674,0.23680156948090497,0.009948688590641002,26051,copd,0,50,70,12,31,5,female_copd,london
72,female,0.00120343681895007,0.015669687035009674,0.23680156948090497,0.009948688590641002,26051,copd,0,50,70,12,31,5,female_copd,london
73,female,0.00120343681895007,0.015669687035009674,0.23680156948090497,0.009948688590641002,26051,copd,0,50,70,12,31,5,female_copd,london
74,female,0.00120343681895007,0.015669687035009674,0.23680156948090497,0.009948688590641002,26051,copd,0,50,70,12,31,5,female_copd,london
75,female,0.00201473021426416,0.01858648913219061,0.2790296163338523,0.008917956536211859,19959,copd,0,50,75,14,40,5,female_copd,london
76,female,0.00201473021426416,0.01858648913219061,0.2790296163338523,0.008917956536211859,19959,copd,0,50,75,14,40,5,female_copd,london
