age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
71,male,0.002872629992438415,8.140714784384337e-4,0.005060546672173447,0.003427267217947551,10547,tbalc,0,50,70,0,30,5,male_tbalc,westmidlands
72,male,0.002872629992438415,8.140714784384337e-4,0.005060546672173447,0.003427267217947551,10547,tbalc,0,50,70,0,30,5,male_tbalc,westmidlands
73,male,0.002872629992438415,8.140714784384337e-4,0.005060546672173447,0.003427267217947551,10547,tbalc,0,50,70,0,30,5,male_tbalc,westmidlands
74,male,0.002872629992438415,8.140714784384337e-4,0.005060546672173447,0.003427267217947551,10547,tbalc,0,50,70,0,30,5,male_tbalc,westmidlands
75,male,0.003956663092344292,0.0010370333550164625,0.005975672487287069,0.004601619141422151,7817,tbalc,0,50,75,0,31,5,male_tbalc,westmidlands
76,male,0.003956663092344292,0.0010370333550164625,0.005975672487287069,0.004601619141422151,7817,tbalc,0,50,75,0,31,5,male_tbalc,westmidlands
77,male,0.003956663092344292,0.0010370333550164625,0.005975672487287069,0.004601619141422151,7817,tbalc,0,50,75,0,31,5,male_tbalc,westmidlands
78,male,0.003956663092344292,0.0010370333550164625,0.005975672487287069,0.004601619141422151,7817,tbalc,0,50,75,0,31,5,male_tbalc,westmidlands
79,male,0.003956663092344292,0.0010370333550164625,0.005975672487287069,0.004601619141422151,7817,tbalc,0,50,75,0,31,5,male_tbalc,westmidlands
80,male,0.00475288654577004,0.001033322085757757,0.005039216583923028,0.0049823037690770134,5479,tbalc,0,20,80,0,26,5,male_tbalc,westmidlands
81,male,0.00475288654577004,0.001033322085757757,0.005039216583923028,0.0049823037690770134,5479,tbalc,0,20,80,0,26,5,male_tbalc,westmidlands
82,male,0.00475288654577004,0.001033322085757757,0.005039216583923028,0.0049823037690770134,5479,tbalc,0,20,80,0,26,5,male_tbalc,westmidlands
