age,sex,inc,mort,ylds..years.lived.with.disability._rate_otri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
65,male,2.2701825877450608e-4,1.35644303563036e-7,7.187475544966102e-5,0.0014343153488493166,5418,Otri,0,50,65,0,0,5,male_Otri
66,male,2.2701825877450608e-4,1.35644303563036e-7,7.187475544966102e-5,0.0014343153488493166,5418,Otri,0,50,65,0,0,5,male_Otri
67,male,2.2701825877450608e-4,1.35644303563036e-7,7.187475544966102e-5,0.0014343153488493166,5418,Otri,0,50,65,0,0,5,male_Otri
68,male,2.2701825877450608e-4,1.35644303563036e-7,7.187475544966102e-5,0.0014343153488493166,5418,Otri,0,50,65,0,0,5,male_Otri
69,male,2.2701825877450608e-4,1.35644303563036e-7,7.187475544966102e-5,0.0014343153488493166,5418,Otri,0,50,65,0,0,5,male_Otri
70,male,2.07802559197391e-4,1.2392056474634397e-7,7.615331382573733e-5,0.0015676592177370676,4800,Otri,0,50,70,0,0,5,male_Otri
71,male,2.07802559197391e-4,1.2392056474634397e-7,7.615331382573733e-5,0.0015676592177370676,4800,Otri,0,50,70,0,0,5,male_Otri
72,male,2.07802559197391e-4,1.2392056474634397e-7,7.615331382573733e-5,0.0015676592177370676,4800,Otri,0,50,70,0,0,5,male_Otri
73,male,2.07802559197391e-4,1.2392056474634397e-7,7.615331382573733e-5,0.0015676592177370676,4800,Otri,0,50,70,0,0,5,male_Otri
74,male,2.07802559197391e-4,1.2392056474634397e-7,7.615331382573733e-5,0.0015676592177370676,4800,Otri,0,50,70,0,0,5,male_Otri
75,male,2.3538618485635635e-4,1.481502446374221e-7,7.997636901583295e-5,0.0017040982467578366,3332,Otri,0,50,75,0,0,5,male_Otri
76,male,2.3538618485635635e-4,1.481502446374221e-7,7.997636901583295e-5,0.0017040982467578366,3332,Otri,0,50,75,0,0,5,male_Otri
77,male,2.3538618485635635e-4,1.481502446374221e-7,7.997636901583295e-5,0.0017040982467578366,3332,Otri,0,50,75,0,0,5,male_Otri
78,male,2.3538618485635635e-4,1.481502446374221e-7,7.997636901583295e-5,0.0017040982467578366,3332,Otri,0,50,75,0,0,5,male_Otri
79,male,2.3538618485635635e-4,1.481502446374221e-7,7.997636901583295e-5,0.0017040982467578366,3332,Otri,0,50,75,0,0,5,male_Otri
80,male,3.013016922656421e-4,2.2448937462839828e-7,8.329143163619861e-5,0.0018496781900832788,2291,Otri,0,20,80,0,0,5,male_Otri
81,male,3.013016922656421e-4,2.2448937462839828e-7,8.329143163619861e-5,0.0018496781900832788,2291,Otri,0,20,80,0,0,5,male_Otri
82,male,3.013016922656421e-4,2.2448937462839828e-7,8.329143163619861e-5,0.0018496781900832788,2291,Otri,0,20,80,0,0,5,male_Otri
83,male,3.013016922656421e-4,2.2448937462839828e-7,8.329143163619861e-5,0.0018496781900832788,2291,Otri,0,20,80,0,0,5,male_Otri
84,male,3.013016922656421e-4,2.2448937462839828e-7,8.329143163619861e-5,0.0018496781900832788,2291,Otri,0,20,80,0,0,5,male_Otri
85,male,0.00036128182804986113,2.7238248018735146e-7,8.546608321485475e-5,0.0020061888653750263,1276,Otri,0,20,85,0,0,5,male_Otri
86,male,0.00036128182804986113,2.7238248018735146e-7,8.546608321485475e-5,0.0020061888653750263,1276,Otri,0,20,85,0,0,5,male_Otri
87,male,0.00036128182804986113,2.7238248018735146e-7,8.546608321485475e-5,0.0020061888653750263,1276,Otri,0,20,85,0,0,5,male_Otri
88,male,0.00036128182804986113,2.7238248018735146e-7,8.546608321485475e-5,0.0020061888653750263,1276,Otri,0,20,85,0,0,5,male_Otri
89,male,0.00036128182804986113,2.7238248018735146e-7,8.546608321485475e-5,0.0020061888653750263,1276,Otri,0,20,85,0,0,5,male_Otri
90,male,4.3973722112681005e-4,5.211205311229832e-7,9.105390879441656e-5,0.0022077984562584945,506,Otri,0,10,90,0,0,5,male_Otri
91,male,4.3973722112681005e-4,5.211205311229832e-7,9.105390879441656e-5,0.0022077984562584945,506,Otri,0,10,90,0,0,5,male_Otri
92,male,4.3973722112681005e-4,5.211205311229832e-7,9.105390879441656e-5,0.0022077984562584945,506,Otri,0,10,90,0,0,5,male_Otri
93,male,4.3973722112681005e-4,5.211205311229832e-7,9.105390879441656e-5,0.0022077984562584945,506,Otri,0,10,90,0,0,5,male_Otri
94,male,4.3973722112681005e-4,5.211205311229832e-7,9.105390879441656e-5,0.0022077984562584945,506,Otri,0,10,90,0,0,5,male_Otri
95,male,5.35866605492797e-4,1.9579541218701625e-6,1.0264578211225989e-4,0.0024920521688467433,91,Otri,0,10,95,0,0,6,male_Otri
96,male,5.35866605492797e-4,1.9579541218701625e-6,1.0264578211225989e-4,0.0024920521688467433,91,Otri,0,10,95,0,0,6,male_Otri
97,male,5.35866605492797e-4,1.9579541218701625e-6,1.0264578211225989e-4,0.0024920521688467433,91,Otri,0,10,95,0,0,6,male_Otri
98,male,5.35866605492797e-4,1.9579541218701625e-6,1.0264578211225989e-4,0.0024920521688467433,91,Otri,0,10,95,0,0,6,male_Otri
99,male,5.35866605492797e-4,1.9579541218701625e-6,1.0264578211225989e-4,0.0024920521688467433,91,Otri,0,10,95,0,0,6,male_Otri
100,male,5.35866605492797e-4,1.9579541218701625e-6,1.0264578211225989e-4,0.0024920521688467433,91,Otri,0,10,95,0,0,6,male_Otri
