age,sex,inc,mort,ylds..years.lived.with.disability._rate_stmc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
57,female,9.59326066159196e-5,4.4695897794100305e-5,3.3257006748680306e-5,3.181560412168341e-4,6580,Stmc,0,50,55,0,0,5,female_Stmc
58,female,9.59326066159196e-5,4.4695897794100305e-5,3.3257006748680306e-5,3.181560412168341e-4,6580,Stmc,0,50,55,0,0,5,female_Stmc
59,female,9.59326066159196e-5,4.4695897794100305e-5,3.3257006748680306e-5,3.181560412168341e-4,6580,Stmc,0,50,55,0,0,5,female_Stmc
60,female,1.523738434926794e-4,7.826922401578507e-5,5.095592480619064e-5,4.640325599091488e-4,5725,Stmc,0,50,60,0,0,5,female_Stmc
61,female,1.523738434926794e-4,7.826922401578507e-5,5.095592480619064e-5,4.640325599091488e-4,5725,Stmc,0,50,60,0,0,5,female_Stmc
62,female,1.523738434926794e-4,7.826922401578507e-5,5.095592480619064e-5,4.640325599091488e-4,5725,Stmc,0,50,60,0,0,5,female_Stmc
63,female,1.523738434926794e-4,7.826922401578507e-5,5.095592480619064e-5,4.640325599091488e-4,5725,Stmc,0,50,60,0,0,5,female_Stmc
64,female,1.523738434926794e-4,7.826922401578507e-5,5.095592480619064e-5,4.640325599091488e-4,5725,Stmc,0,50,60,0,0,5,female_Stmc
65,female,2.2393986491801824e-4,1.244001941966946e-4,7.277723919477047e-5,6.324203961812281e-4,5670,Stmc,0,50,65,0,1,5,female_Stmc
66,female,2.2393986491801824e-4,1.244001941966946e-4,7.277723919477047e-5,6.324203961812281e-4,5670,Stmc,0,50,65,0,1,5,female_Stmc
67,female,2.2393986491801824e-4,1.244001941966946e-4,7.277723919477047e-5,6.324203961812281e-4,5670,Stmc,0,50,65,0,1,5,female_Stmc
68,female,2.2393986491801824e-4,1.244001941966946e-4,7.277723919477047e-5,6.324203961812281e-4,5670,Stmc,0,50,65,0,1,5,female_Stmc
69,female,2.2393986491801824e-4,1.244001941966946e-4,7.277723919477047e-5,6.324203961812281e-4,5670,Stmc,0,50,65,0,1,5,female_Stmc
70,female,4.00232859588732e-4,2.0935192244720042e-4,1.252970519026627e-4,0.0011935436311173537,5104,Stmc,0,50,70,0,1,5,female_Stmc
71,female,4.00232859588732e-4,2.0935192244720042e-4,1.252970519026627e-4,0.0011935436311173537,5104,Stmc,0,50,70,0,1,5,female_Stmc
72,female,4.00232859588732e-4,2.0935192244720042e-4,1.252970519026627e-4,0.0011935436311173537,5104,Stmc,0,50,70,0,1,5,female_Stmc
73,female,4.00232859588732e-4,2.0935192244720042e-4,1.252970519026627e-4,0.0011935436311173537,5104,Stmc,0,50,70,0,1,5,female_Stmc
74,female,4.00232859588732e-4,2.0935192244720042e-4,1.252970519026627e-4,0.0011935436311173537,5104,Stmc,0,50,70,0,1,5,female_Stmc
75,female,6.610852088448311e-4,3.9890707485920786e-4,1.8618777101946007e-4,0.0016642898242649814,3792,Stmc,0,50,75,0,2,5,female_Stmc
76,female,6.610852088448311e-4,3.9890707485920786e-4,1.8618777101946007e-4,0.0016642898242649814,3792,Stmc,0,50,75,0,2,5,female_Stmc
77,female,6.610852088448311e-4,3.9890707485920786e-4,1.8618777101946007e-4,0.0016642898242649814,3792,Stmc,0,50,75,0,2,5,female_Stmc
78,female,6.610852088448311e-4,3.9890707485920786e-4,1.8618777101946007e-4,0.0016642898242649814,3792,Stmc,0,50,75,0,2,5,female_Stmc
79,female,6.610852088448311e-4,3.9890707485920786e-4,1.8618777101946007e-4,0.0016642898242649814,3792,Stmc,0,50,75,0,2,5,female_Stmc
80,female,9.518275544868287e-4,6.616932025699918e-4,2.444758159922481e-4,0.0019585084386981237,2983,Stmc,0,20,80,0,2,5,female_Stmc
81,female,9.518275544868287e-4,6.616932025699918e-4,2.444758159922481e-4,0.0019585084386981237,2983,Stmc,0,20,80,0,2,5,female_Stmc
82,female,9.518275544868287e-4,6.616932025699918e-4,2.444758159922481e-4,0.0019585084386981237,2983,Stmc,0,20,80,0,2,5,female_Stmc
83,female,9.518275544868287e-4,6.616932025699918e-4,2.444758159922481e-4,0.0019585084386981237,2983,Stmc,0,20,80,0,2,5,female_Stmc
84,female,9.518275544868287e-4,6.616932025699918e-4,2.444758159922481e-4,0.0019585084386981237,2983,Stmc,0,20,80,0,2,5,female_Stmc
85,female,0.001480631428461032,0.0010289750252222105,3.49610823335153e-4,0.0026947579549573184,2001,Stmc,0,20,85,0,2,5,female_Stmc
86,female,0.001480631428461032,0.0010289750252222105,3.49610823335153e-4,0.0026947579549573184,2001,Stmc,0,20,85,0,2,5,female_Stmc
87,female,0.001480631428461032,0.0010289750252222105,3.49610823335153e-4,0.0026947579549573184,2001,Stmc,0,20,85,0,2,5,female_Stmc
88,female,0.001480631428461032,0.0010289750252222105,3.49610823335153e-4,0.0026947579549573184,2001,Stmc,0,20,85,0,2,5,female_Stmc
89,female,0.001480631428461032,0.0010289750252222105,3.49610823335153e-4,0.0026947579549573184,2001,Stmc,0,20,85,0,2,5,female_Stmc
90,female,0.0021320661992537547,0.0014842788862236289,4.725723333194951e-4,0.0032267189757778287,1019,Stmc,0,10,90,0,2,5,female_Stmc
91,female,0.0021320661992537547,0.0014842788862236289,4.725723333194951e-4,0.0032267189757778287,1019,Stmc,0,10,90,0,2,5,female_Stmc
92,female,0.0021320661992537547,0.0014842788862236289,4.725723333194951e-4,0.0032267189757778287,1019,Stmc,0,10,90,0,2,5,female_Stmc
93,female,0.0021320661992537547,0.0014842788862236289,4.725723333194951e-4,0.0032267189757778287,1019,Stmc,0,10,90,0,2,5,female_Stmc
94,female,0.0021320661992537547,0.0014842788862236289,4.725723333194951e-4,0.0032267189757778287,1019,Stmc,0,10,90,0,2,5,female_Stmc
95,female,0.0031183936766445534,0.002173007028220343,5.360654324274571e-4,0.0018453865938991968,275,Stmc,0,10,95,0,1,6,female_Stmc
96,female,0.0031183936766445534,0.002173007028220343,5.360654324274571e-4,0.0018453865938991968,275,Stmc,0,10,95,0,1,6,female_Stmc
97,female,0.0031183936766445534,0.002173007028220343,5.360654324274571e-4,0.0018453865938991968,275,Stmc,0,10,95,0,1,6,female_Stmc
98,female,0.0031183936766445534,0.002173007028220343,5.360654324274571e-4,0.0018453865938991968,275,Stmc,0,10,95,0,1,6,female_Stmc
99,female,0.0031183936766445534,0.002173007028220343,5.360654324274571e-4,0.0018453865938991968,275,Stmc,0,10,95,0,1,6,female_Stmc
100,female,0.0031183936766445534,0.002173007028220343,5.360654324274571e-4,0.0018453865938991968,275,Stmc,0,10,95,0,1,6,female_Stmc
