age,sex,inc,mort,ylds..years.lived.with.disability._rate_ishd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
57,male,0.006370345426109752,8.144436069847357e-4,0.0012143954759332206,0.05053130742872564,6479,Ishd,0,50,55,3,5,5,male_Ishd
58,male,0.006370345426109752,8.144436069847357e-4,0.0012143954759332206,0.05053130742872564,6479,Ishd,0,50,55,3,5,5,male_Ishd
59,male,0.006370345426109752,8.144436069847357e-4,0.0012143954759332206,0.05053130742872564,6479,Ishd,0,50,55,3,5,5,male_Ishd
60,male,0.009678461255287181,0.0013838027022242386,0.0018477928610762388,0.07747604964390632,5560,Ishd,0,50,60,4,8,5,male_Ishd
61,male,0.009678461255287181,0.0013838027022242386,0.0018477928610762388,0.07747604964390632,5560,Ishd,0,50,60,4,8,5,male_Ishd
62,male,0.009678461255287181,0.0013838027022242386,0.0018477928610762388,0.07747604964390632,5560,Ishd,0,50,60,4,8,5,male_Ishd
63,male,0.009678461255287181,0.0013838027022242386,0.0018477928610762388,0.07747604964390632,5560,Ishd,0,50,60,4,8,5,male_Ishd
64,male,0.009678461255287181,0.0013838027022242386,0.0018477928610762388,0.07747604964390632,5560,Ishd,0,50,60,4,8,5,male_Ishd
65,male,0.0138595823041755,0.0020907846721781483,0.0027984587902487915,0.12090649654058605,5418,Ishd,0,50,65,6,11,5,male_Ishd
66,male,0.0138595823041755,0.0020907846721781483,0.0027984587902487915,0.12090649654058605,5418,Ishd,0,50,65,6,11,5,male_Ishd
67,male,0.0138595823041755,0.0020907846721781483,0.0027984587902487915,0.12090649654058605,5418,Ishd,0,50,65,6,11,5,male_Ishd
68,male,0.0138595823041755,0.0020907846721781483,0.0027984587902487915,0.12090649654058605,5418,Ishd,0,50,65,6,11,5,male_Ishd
69,male,0.0138595823041755,0.0020907846721781483,0.0027984587902487915,0.12090649654058605,5418,Ishd,0,50,65,6,11,5,male_Ishd
70,male,0.01975301746072105,0.0033710985787768757,0.003873857857217254,0.16480483290359307,4800,Ishd,0,50,70,8,16,5,male_Ishd
71,male,0.01975301746072105,0.0033710985787768757,0.003873857857217254,0.16480483290359307,4800,Ishd,0,50,70,8,16,5,male_Ishd
72,male,0.01975301746072105,0.0033710985787768757,0.003873857857217254,0.16480483290359307,4800,Ishd,0,50,70,8,16,5,male_Ishd
73,male,0.01975301746072105,0.0033710985787768757,0.003873857857217254,0.16480483290359307,4800,Ishd,0,50,70,8,16,5,male_Ishd
74,male,0.01975301746072105,0.0033710985787768757,0.003873857857217254,0.16480483290359307,4800,Ishd,0,50,70,8,16,5,male_Ishd
75,male,0.02733815613017553,0.005701690285606347,0.0049088781639668655,0.21257729202858522,3332,Ishd,0,50,75,11,19,5,male_Ishd
76,male,0.02733815613017553,0.005701690285606347,0.0049088781639668655,0.21257729202858522,3332,Ishd,0,50,75,11,19,5,male_Ishd
77,male,0.02733815613017553,0.005701690285606347,0.0049088781639668655,0.21257729202858522,3332,Ishd,0,50,75,11,19,5,male_Ishd
78,male,0.02733815613017553,0.005701690285606347,0.0049088781639668655,0.21257729202858522,3332,Ishd,0,50,75,11,19,5,male_Ishd
79,male,0.02733815613017553,0.005701690285606347,0.0049088781639668655,0.21257729202858522,3332,Ishd,0,50,75,11,19,5,male_Ishd
80,male,0.03449379331121712,0.010783628180611068,0.005902305683828122,0.2476981861401162,2291,Ishd,0,20,80,5,25,5,male_Ishd
81,male,0.03449379331121712,0.010783628180611068,0.005902305683828122,0.2476981861401162,2291,Ishd,0,20,80,5,25,5,male_Ishd
82,male,0.03449379331121712,0.010783628180611068,0.005902305683828122,0.2476981861401162,2291,Ishd,0,20,80,5,25,5,male_Ishd
83,male,0.03449379331121712,0.010783628180611068,0.005902305683828122,0.2476981861401162,2291,Ishd,0,20,80,5,25,5,male_Ishd
84,male,0.03449379331121712,0.010783628180611068,0.005902305683828122,0.2476981861401162,2291,Ishd,0,20,80,5,25,5,male_Ishd
85,male,0.041215806055082994,0.02129249700477056,0.006330983603379812,0.2513601226357804,1276,Ishd,0,20,85,5,27,5,male_Ishd
86,male,0.041215806055082994,0.02129249700477056,0.006330983603379812,0.2513601226357804,1276,Ishd,0,20,85,5,27,5,male_Ishd
87,male,0.041215806055082994,0.02129249700477056,0.006330983603379812,0.2513601226357804,1276,Ishd,0,20,85,5,27,5,male_Ishd
88,male,0.041215806055082994,0.02129249700477056,0.006330983603379812,0.2513601226357804,1276,Ishd,0,20,85,5,27,5,male_Ishd
89,male,0.041215806055082994,0.02129249700477056,0.006330983603379812,0.2513601226357804,1276,Ishd,0,20,85,5,27,5,male_Ishd
90,male,0.04669047528937161,0.034652880161422386,0.00584784709447427,0.20911096787682726,506,Ishd,0,10,90,2,17,5,male_Ishd
91,male,0.04669047528937161,0.034652880161422386,0.00584784709447427,0.20911096787682726,506,Ishd,0,10,90,2,17,5,male_Ishd
92,male,0.04669047528937161,0.034652880161422386,0.00584784709447427,0.20911096787682726,506,Ishd,0,10,90,2,17,5,male_Ishd
93,male,0.04669047528937161,0.034652880161422386,0.00584784709447427,0.20911096787682726,506,Ishd,0,10,90,2,17,5,male_Ishd
94,male,0.04669047528937161,0.034652880161422386,0.00584784709447427,0.20911096787682726,506,Ishd,0,10,90,2,17,5,male_Ishd
95,male,0.05089393027377376,0.05757271661446338,0.00464822557407565,0.11664981257201092,91,Ishd,0,10,95,1,5,6,male_Ishd
96,male,0.05089393027377376,0.05757271661446338,0.00464822557407565,0.11664981257201092,91,Ishd,0,10,95,1,5,6,male_Ishd
97,male,0.05089393027377376,0.05757271661446338,0.00464822557407565,0.11664981257201092,91,Ishd,0,10,95,1,5,6,male_Ishd
98,male,0.05089393027377376,0.05757271661446338,0.00464822557407565,0.11664981257201092,91,Ishd,0,10,95,1,5,6,male_Ishd
99,male,0.05089393027377376,0.05757271661446338,0.00464822557407565,0.11664981257201092,91,Ishd,0,10,95,1,5,6,male_Ishd
100,male,0.05089393027377376,0.05757271661446338,0.00464822557407565,0.11664981257201092,91,Ishd,0,10,95,1,5,6,male_Ishd
