age,sex,inc,mort,ylds..years.lived.with.disability._rate_pdri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
51,female,6.223028749252743e-4,3.1786197343522227e-6,2.9248238576721943e-4,0.005857866422871748,7629,Pdri,0,50,50,0,0,5,female_Pdri
52,female,6.223028749252743e-4,3.1786197343522227e-6,2.9248238576721943e-4,0.005857866422871748,7629,Pdri,0,50,50,0,0,5,female_Pdri
53,female,6.223028749252743e-4,3.1786197343522227e-6,2.9248238576721943e-4,0.005857866422871748,7629,Pdri,0,50,50,0,0,5,female_Pdri
54,female,6.223028749252743e-4,3.1786197343522227e-6,2.9248238576721943e-4,0.005857866422871748,7629,Pdri,0,50,50,0,0,5,female_Pdri
55,female,6.251977136394109e-4,3.5671888535491887e-6,3.254104147626949e-4,0.006555931567057978,6580,Pdri,0,50,55,0,0,5,female_Pdri
56,female,6.251977136394109e-4,3.5671888535491887e-6,3.254104147626949e-4,0.006555931567057978,6580,Pdri,0,50,55,0,0,5,female_Pdri
57,female,6.251977136394109e-4,3.5671888535491887e-6,3.254104147626949e-4,0.006555931567057978,6580,Pdri,0,50,55,0,0,5,female_Pdri
58,female,6.251977136394109e-4,3.5671888535491887e-6,3.254104147626949e-4,0.006555931567057978,6580,Pdri,0,50,55,0,0,5,female_Pdri
59,female,6.251977136394109e-4,3.5671888535491887e-6,3.254104147626949e-4,0.006555931567057978,6580,Pdri,0,50,55,0,0,5,female_Pdri
60,female,6.088823336871917e-4,5.525991118170671e-6,3.5514099173675873e-4,0.007248386124196927,5725,Pdri,0,50,60,0,0,5,female_Pdri
61,female,6.088823336871917e-4,5.525991118170671e-6,3.5514099173675873e-4,0.007248386124196927,5725,Pdri,0,50,60,0,0,5,female_Pdri
62,female,6.088823336871917e-4,5.525991118170671e-6,3.5514099173675873e-4,0.007248386124196927,5725,Pdri,0,50,60,0,0,5,female_Pdri
63,female,6.088823336871917e-4,5.525991118170671e-6,3.5514099173675873e-4,0.007248386124196927,5725,Pdri,0,50,60,0,0,5,female_Pdri
64,female,6.088823336871917e-4,5.525991118170671e-6,3.5514099173675873e-4,0.007248386124196927,5725,Pdri,0,50,60,0,0,5,female_Pdri
65,female,5.954030199692177e-4,8.335867385808172e-6,3.81513260444647e-4,0.007906823402552892,5670,Pdri,0,50,65,0,0,5,female_Pdri
66,female,5.954030199692177e-4,8.335867385808172e-6,3.81513260444647e-4,0.007906823402552892,5670,Pdri,0,50,65,0,0,5,female_Pdri
67,female,5.954030199692177e-4,8.335867385808172e-6,3.81513260444647e-4,0.007906823402552892,5670,Pdri,0,50,65,0,0,5,female_Pdri
68,female,5.954030199692177e-4,8.335867385808172e-6,3.81513260444647e-4,0.007906823402552892,5670,Pdri,0,50,65,0,0,5,female_Pdri
69,female,5.954030199692177e-4,8.335867385808172e-6,3.81513260444647e-4,0.007906823402552892,5670,Pdri,0,50,65,0,0,5,female_Pdri
70,female,6.492822819628926e-4,1.24546351288092e-5,4.054697610070206e-4,0.008588796634045891,5104,Pdri,0,50,70,0,0,5,female_Pdri
71,female,6.492822819628926e-4,1.24546351288092e-5,4.054697610070206e-4,0.008588796634045891,5104,Pdri,0,50,70,0,0,5,female_Pdri
72,female,6.492822819628926e-4,1.24546351288092e-5,4.054697610070206e-4,0.008588796634045891,5104,Pdri,0,50,70,0,0,5,female_Pdri
73,female,6.492822819628926e-4,1.24546351288092e-5,4.054697610070206e-4,0.008588796634045891,5104,Pdri,0,50,70,0,0,5,female_Pdri
74,female,6.492822819628926e-4,1.24546351288092e-5,4.054697610070206e-4,0.008588796634045891,5104,Pdri,0,50,70,0,0,5,female_Pdri
75,female,8.840831290603737e-4,2.3503159369525184e-5,4.3784757139778927e-4,0.009528676448875452,3792,Pdri,0,50,75,0,0,5,female_Pdri
76,female,8.840831290603737e-4,2.3503159369525184e-5,4.3784757139778927e-4,0.009528676448875452,3792,Pdri,0,50,75,0,0,5,female_Pdri
77,female,8.840831290603737e-4,2.3503159369525184e-5,4.3784757139778927e-4,0.009528676448875452,3792,Pdri,0,50,75,0,0,5,female_Pdri
78,female,8.840831290603737e-4,2.3503159369525184e-5,4.3784757139778927e-4,0.009528676448875452,3792,Pdri,0,50,75,0,0,5,female_Pdri
79,female,8.840831290603737e-4,2.3503159369525184e-5,4.3784757139778927e-4,0.009528676448875452,3792,Pdri,0,50,75,0,0,5,female_Pdri
80,female,0.0010831214975187986,3.5828063888734035e-5,4.695368081637736e-4,0.010630264974699296,2983,Pdri,0,20,80,0,0,5,female_Pdri
81,female,0.0010831214975187986,3.5828063888734035e-5,4.695368081637736e-4,0.010630264974699296,2983,Pdri,0,20,80,0,0,5,female_Pdri
82,female,0.0010831214975187986,3.5828063888734035e-5,4.695368081637736e-4,0.010630264974699296,2983,Pdri,0,20,80,0,0,5,female_Pdri
83,female,0.0010831214975187986,3.5828063888734035e-5,4.695368081637736e-4,0.010630264974699296,2983,Pdri,0,20,80,0,0,5,female_Pdri
84,female,0.0010831214975187986,3.5828063888734035e-5,4.695368081637736e-4,0.010630264974699296,2983,Pdri,0,20,80,0,0,5,female_Pdri
85,female,0.00108325093471868,4.7648011275469e-5,4.801055743088001e-4,0.01162414009901605,2001,Pdri,0,20,85,0,0,5,female_Pdri
86,female,0.00108325093471868,4.7648011275469e-5,4.801055743088001e-4,0.01162414009901605,2001,Pdri,0,20,85,0,0,5,female_Pdri
87,female,0.00108325093471868,4.7648011275469e-5,4.801055743088001e-4,0.01162414009901605,2001,Pdri,0,20,85,0,0,5,female_Pdri
88,female,0.00108325093471868,4.7648011275469e-5,4.801055743088001e-4,0.01162414009901605,2001,Pdri,0,20,85,0,0,5,female_Pdri
89,female,0.00108325093471868,4.7648011275469e-5,4.801055743088001e-4,0.01162414009901605,2001,Pdri,0,20,85,0,0,5,female_Pdri
90,female,0.0011586113601882353,5.920040734901774e-5,4.908486745861246e-4,0.012639620026286682,1019,Pdri,0,10,90,0,0,5,female_Pdri
91,female,0.0011586113601882353,5.920040734901774e-5,4.908486745861246e-4,0.012639620026286682,1019,Pdri,0,10,90,0,0,5,female_Pdri
92,female,0.0011586113601882353,5.920040734901774e-5,4.908486745861246e-4,0.012639620026286682,1019,Pdri,0,10,90,0,0,5,female_Pdri
93,female,0.0011586113601882353,5.920040734901774e-5,4.908486745861246e-4,0.012639620026286682,1019,Pdri,0,10,90,0,0,5,female_Pdri
94,female,0.0011586113601882353,5.920040734901774e-5,4.908486745861246e-4,0.012639620026286682,1019,Pdri,0,10,90,0,0,5,female_Pdri
95,female,0.0012978577208793958,8.20920919464722e-5,5.184228768066958e-4,0.013876390826035765,275,Pdri,0,10,95,0,0,6,female_Pdri
96,female,0.0012978577208793958,8.20920919464722e-5,5.184228768066958e-4,0.013876390826035765,275,Pdri,0,10,95,0,0,6,female_Pdri
97,female,0.0012978577208793958,8.20920919464722e-5,5.184228768066958e-4,0.013876390826035765,275,Pdri,0,10,95,0,0,6,female_Pdri
98,female,0.0012978577208793958,8.20920919464722e-5,5.184228768066958e-4,0.013876390826035765,275,Pdri,0,10,95,0,0,6,female_Pdri
99,female,0.0012978577208793958,8.20920919464722e-5,5.184228768066958e-4,0.013876390826035765,275,Pdri,0,10,95,0,0,6,female_Pdri
100,female,0.0012978577208793958,8.20920919464722e-5,5.184228768066958e-4,0.013876390826035765,275,Pdri,0,10,95,0,0,6,female_Pdri
