age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_rdin,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
14,female,5.953289228809292e-6,0.009172682120403517,0.005505564516077873,3.406039305013e-4,6051,Rdin,0,50,10,0,0,5,female_Rdin
15,female,2.8237028579717244e-5,0.010088313975742143,0.009367103847544635,5.539189606280313e-4,6338,Rdin,0,50,15,0,0,5,female_Rdin
16,female,2.8237028579717244e-5,0.010088313975742143,0.009367103847544635,5.539189606280313e-4,6338,Rdin,0,50,15,0,0,5,female_Rdin
17,female,2.8237028579717244e-5,0.010088313975742143,0.009367103847544635,5.539189606280313e-4,6338,Rdin,0,50,15,0,0,5,female_Rdin
18,female,2.8237028579717244e-5,0.010088313975742143,0.009367103847544635,5.539189606280313e-4,6338,Rdin,0,50,15,0,0,5,female_Rdin
19,female,2.8237028579717244e-5,0.010088313975742143,0.009367103847544635,5.539189606280313e-4,6338,Rdin,0,50,15,0,0,5,female_Rdin
20,female,2.008484745871729e-5,0.009079606438172658,0.013289353576219774,7.578647769780317e-4,7828,Rdin,0,50,20,1,0,5,female_Rdin
21,female,2.008484745871729e-5,0.009079606438172658,0.013289353576219774,7.578647769780317e-4,7828,Rdin,0,50,20,1,0,5,female_Rdin
22,female,2.008484745871729e-5,0.009079606438172658,0.013289353576219774,7.578647769780317e-4,7828,Rdin,0,50,20,1,0,5,female_Rdin
23,female,2.008484745871729e-5,0.009079606438172658,0.013289353576219774,7.578647769780317e-4,7828,Rdin,0,50,20,1,0,5,female_Rdin
24,female,2.008484745871729e-5,0.009079606438172658,0.013289353576219774,7.578647769780317e-4,7828,Rdin,0,50,20,1,0,5,female_Rdin
25,female,1.349700700798562e-5,0.007636476562347661,0.01696482579687841,9.446915577306479e-4,8833,Rdin,0,50,25,1,0,5,female_Rdin
26,female,1.349700700798562e-5,0.007636476562347661,0.01696482579687841,9.446915577306479e-4,8833,Rdin,0,50,25,1,0,5,female_Rdin
27,female,1.349700700798562e-5,0.007636476562347661,0.01696482579687841,9.446915577306479e-4,8833,Rdin,0,50,25,1,0,5,female_Rdin
28,female,1.349700700798562e-5,0.007636476562347661,0.01696482579687841,9.446915577306479e-4,8833,Rdin,0,50,25,1,0,5,female_Rdin
29,female,1.349700700798562e-5,0.007636476562347661,0.01696482579687841,9.446915577306479e-4,8833,Rdin,0,50,25,1,0,5,female_Rdin
30,female,1.0307434897729863e-5,0.00646247944449153,0.02046234178793201,0.0011175552768753253,7963,Rdin,0,50,30,1,0,5,female_Rdin
31,female,1.0307434897729863e-5,0.00646247944449153,0.02046234178793201,0.0011175552768753253,7963,Rdin,0,50,30,1,0,5,female_Rdin
32,female,1.0307434897729863e-5,0.00646247944449153,0.02046234178793201,0.0011175552768753253,7963,Rdin,0,50,30,1,0,5,female_Rdin
33,female,1.0307434897729863e-5,0.00646247944449153,0.02046234178793201,0.0011175552768753253,7963,Rdin,0,50,30,1,0,5,female_Rdin
34,female,1.0307434897729863e-5,0.00646247944449153,0.02046234178793201,0.0011175552768753253,7963,Rdin,0,50,30,1,0,5,female_Rdin
35,female,1.1585381402304404e-5,0.005532521720851159,0.02342875445927191,0.001266413854887028,7482,Rdin,0,50,35,1,0,5,female_Rdin
36,female,1.1585381402304404e-5,0.005532521720851159,0.02342875445927191,0.001266413854887028,7482,Rdin,0,50,35,1,0,5,female_Rdin
37,female,1.1585381402304404e-5,0.005532521720851159,0.02342875445927191,0.001266413854887028,7482,Rdin,0,50,35,1,0,5,female_Rdin
38,female,1.1585381402304404e-5,0.005532521720851159,0.02342875445927191,0.001266413854887028,7482,Rdin,0,50,35,1,0,5,female_Rdin
39,female,1.1585381402304404e-5,0.005532521720851159,0.02342875445927191,0.001266413854887028,7482,Rdin,0,50,35,1,0,5,female_Rdin
40,female,1.163253554154564e-5,0.004868806571302155,0.026257011631876465,0.0014121224867124878,6901,Rdin,0,50,40,1,0,5,female_Rdin
41,female,1.163253554154564e-5,0.004868806571302155,0.026257011631876465,0.0014121224867124878,6901,Rdin,0,50,40,1,0,5,female_Rdin
42,female,1.163253554154564e-5,0.004868806571302155,0.026257011631876465,0.0014121224867124878,6901,Rdin,0,50,40,1,0,5,female_Rdin
43,female,1.163253554154564e-5,0.004868806571302155,0.026257011631876465,0.0014121224867124878,6901,Rdin,0,50,40,1,0,5,female_Rdin
44,female,1.163253554154564e-5,0.004868806571302155,0.026257011631876465,0.0014121224867124878,6901,Rdin,0,50,40,1,0,5,female_Rdin
45,female,1.3336998511103081e-5,0.004751239321242903,0.02921373737982086,0.0015627362062148567,7531,Rdin,0,50,45,1,0,5,female_Rdin
46,female,1.3336998511103081e-5,0.004751239321242903,0.02921373737982086,0.0015627362062148567,7531,Rdin,0,50,45,1,0,5,female_Rdin
47,female,1.3336998511103081e-5,0.004751239321242903,0.02921373737982086,0.0015627362062148567,7531,Rdin,0,50,45,1,0,5,female_Rdin
48,female,1.3336998511103081e-5,0.004751239321242903,0.02921373737982086,0.0015627362062148567,7531,Rdin,0,50,45,1,0,5,female_Rdin
49,female,1.3336998511103081e-5,0.004751239321242903,0.02921373737982086,0.0015627362062148567,7531,Rdin,0,50,45,1,0,5,female_Rdin
50,female,1.3959150849530297e-5,0.004821922345932526,0.03236627097833062,0.0017199921568135114,7629,Rdin,0,50,50,2,0,5,female_Rdin
51,female,1.3959150849530297e-5,0.004821922345932526,0.03236627097833062,0.0017199921568135114,7629,Rdin,0,50,50,2,0,5,female_Rdin
52,female,1.3959150849530297e-5,0.004821922345932526,0.03236627097833062,0.0017199921568135114,7629,Rdin,0,50,50,2,0,5,female_Rdin
53,female,1.3959150849530297e-5,0.004821922345932526,0.03236627097833062,0.0017199921568135114,7629,Rdin,0,50,50,2,0,5,female_Rdin
54,female,1.3959150849530297e-5,0.004821922345932526,0.03236627097833062,0.0017199921568135114,7629,Rdin,0,50,50,2,0,5,female_Rdin
55,female,1.5224579772211336e-5,0.004605482395571204,0.035529362047532924,0.001875639025534974,6580,Rdin,0,50,55,2,0,5,female_Rdin
56,female,1.5224579772211336e-5,0.004605482395571204,0.035529362047532924,0.001875639025534974,6580,Rdin,0,50,55,2,0,5,female_Rdin
57,female,1.5224579772211336e-5,0.004605482395571204,0.035529362047532924,0.001875639025534974,6580,Rdin,0,50,55,2,0,5,female_Rdin
58,female,1.5224579772211336e-5,0.004605482395571204,0.035529362047532924,0.001875639025534974,6580,Rdin,0,50,55,2,0,5,female_Rdin
59,female,1.5224579772211336e-5,0.004605482395571204,0.035529362047532924,0.001875639025534974,6580,Rdin,0,50,55,2,0,5,female_Rdin
60,female,1.8554949506142635e-5,0.004249857666582393,0.03876702092500642,0.002016016374503378,5725,Rdin,0,50,60,2,0,5,female_Rdin
61,female,1.8554949506142635e-5,0.004249857666582393,0.03876702092500642,0.002016016374503378,5725,Rdin,0,50,60,2,0,5,female_Rdin
62,female,1.8554949506142635e-5,0.004249857666582393,0.03876702092500642,0.002016016374503378,5725,Rdin,0,50,60,2,0,5,female_Rdin
63,female,1.8554949506142635e-5,0.004249857666582393,0.03876702092500642,0.002016016374503378,5725,Rdin,0,50,60,2,0,5,female_Rdin
64,female,1.8554949506142635e-5,0.004249857666582393,0.03876702092500642,0.002016016374503378,5725,Rdin,0,50,60,2,0,5,female_Rdin
65,female,2.5397072737795714e-5,0.004043565253144951,0.04151875829960668,0.002119414871479456,5670,Rdin,0,50,65,2,0,5,female_Rdin
66,female,2.5397072737795714e-5,0.004043565253144951,0.04151875829960668,0.002119414871479456,5670,Rdin,0,50,65,2,0,5,female_Rdin
67,female,2.5397072737795714e-5,0.004043565253144951,0.04151875829960668,0.002119414871479456,5670,Rdin,0,50,65,2,0,5,female_Rdin
68,female,2.5397072737795714e-5,0.004043565253144951,0.04151875829960668,0.002119414871479456,5670,Rdin,0,50,65,2,0,5,female_Rdin
69,female,2.5397072737795714e-5,0.004043565253144951,0.04151875829960668,0.002119414871479456,5670,Rdin,0,50,65,2,0,5,female_Rdin
70,female,3.450390756075862e-5,0.004198938306022764,0.04457186264463553,0.0022212547346290696,5104,Rdin,0,50,70,2,0,5,female_Rdin
71,female,3.450390756075862e-5,0.004198938306022764,0.04457186264463553,0.0022212547346290696,5104,Rdin,0,50,70,2,0,5,female_Rdin
72,female,3.450390756075862e-5,0.004198938306022764,0.04457186264463553,0.0022212547346290696,5104,Rdin,0,50,70,2,0,5,female_Rdin
73,female,3.450390756075862e-5,0.004198938306022764,0.04457186264463553,0.0022212547346290696,5104,Rdin,0,50,70,2,0,5,female_Rdin
74,female,3.450390756075862e-5,0.004198938306022764,0.04457186264463553,0.0022212547346290696,5104,Rdin,0,50,70,2,0,5,female_Rdin
75,female,5.602085951321113e-5,0.00501403689121358,0.047859948788776786,0.002304751682572731,3792,Rdin,0,50,75,2,0,5,female_Rdin
76,female,5.602085951321113e-5,0.00501403689121358,0.047859948788776786,0.002304751682572731,3792,Rdin,0,50,75,2,0,5,female_Rdin
77,female,5.602085951321113e-5,0.00501403689121358,0.047859948788776786,0.002304751682572731,3792,Rdin,0,50,75,2,0,5,female_Rdin
78,female,5.602085951321113e-5,0.00501403689121358,0.047859948788776786,0.002304751682572731,3792,Rdin,0,50,75,2,0,5,female_Rdin
79,female,5.602085951321113e-5,0.00501403689121358,0.047859948788776786,0.002304751682572731,3792,Rdin,0,50,75,2,0,5,female_Rdin
80,female,8.253137552046759e-5,0.0053975839171663985,0.05144112866330346,0.002354472334368469,2983,Rdin,0,20,80,1,0,5,female_Rdin
81,female,8.253137552046759e-5,0.0053975839171663985,0.05144112866330346,0.002354472334368469,2983,Rdin,0,20,80,1,0,5,female_Rdin
82,female,8.253137552046759e-5,0.0053975839171663985,0.05144112866330346,0.002354472334368469,2983,Rdin,0,20,80,1,0,5,female_Rdin
83,female,8.253137552046759e-5,0.0053975839171663985,0.05144112866330346,0.002354472334368469,2983,Rdin,0,20,80,1,0,5,female_Rdin
84,female,8.253137552046759e-5,0.0053975839171663985,0.05144112866330346,0.002354472334368469,2983,Rdin,0,20,80,1,0,5,female_Rdin
85,female,1.039786014086853e-4,0.004993131000113093,0.05392386274324759,0.0022792502909583204,2001,Rdin,0,20,85,1,0,5,female_Rdin
86,female,1.039786014086853e-4,0.004993131000113093,0.05392386274324759,0.0022792502909583204,2001,Rdin,0,20,85,1,0,5,female_Rdin
87,female,1.039786014086853e-4,0.004993131000113093,0.05392386274324759,0.0022792502909583204,2001,Rdin,0,20,85,1,0,5,female_Rdin
88,female,1.039786014086853e-4,0.004993131000113093,0.05392386274324759,0.0022792502909583204,2001,Rdin,0,20,85,1,0,5,female_Rdin
89,female,1.039786014086853e-4,0.004993131000113093,0.05392386274324759,0.0022792502909583204,2001,Rdin,0,20,85,1,0,5,female_Rdin
90,female,1.3653771240144775e-4,0.005082616118947924,0.05612288693262668,0.002205867665242117,1019,Rdin,0,10,90,1,0,5,female_Rdin
91,female,1.3653771240144775e-4,0.005082616118947924,0.05612288693262668,0.002205867665242117,1019,Rdin,0,10,90,1,0,5,female_Rdin
92,female,1.3653771240144775e-4,0.005082616118947924,0.05612288693262668,0.002205867665242117,1019,Rdin,0,10,90,1,0,5,female_Rdin
93,female,1.3653771240144775e-4,0.005082616118947924,0.05612288693262668,0.002205867665242117,1019,Rdin,0,10,90,1,0,5,female_Rdin
94,female,1.3653771240144775e-4,0.005082616118947924,0.05612288693262668,0.002205867665242117,1019,Rdin,0,10,90,1,0,5,female_Rdin
95,female,2.1104613942006777e-4,0.005608910249511073,0.05952941478138048,0.002241092707718551,275,Rdin,0,10,95,1,0,6,female_Rdin
96,female,2.1104613942006777e-4,0.005608910249511073,0.05952941478138048,0.002241092707718551,275,Rdin,0,10,95,1,0,6,female_Rdin
97,female,2.1104613942006777e-4,0.005608910249511073,0.05952941478138048,0.002241092707718551,275,Rdin,0,10,95,1,0,6,female_Rdin
98,female,2.1104613942006777e-4,0.005608910249511073,0.05952941478138048,0.002241092707718551,275,Rdin,0,10,95,1,0,6,female_Rdin
99,female,2.1104613942006777e-4,0.005608910249511073,0.05952941478138048,0.002241092707718551,275,Rdin,0,10,95,1,0,6,female_Rdin
100,female,2.1104613942006777e-4,0.005608910249511073,0.05952941478138048,0.002241092707718551,275,Rdin,0,10,95,1,0,6,female_Rdin
