age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_rdin,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
59,male,4.318357184387785e-5,0.004682585633465858,0.03905539970770767,0.0021187445309320727,6479,Rdin,0,50,55,2,0,5,male_Rdin
60,male,4.7962119646526443e-5,0.003902798525670567,0.04203504542592945,0.002233336762240375,5560,Rdin,0,50,60,2,0,5,male_Rdin
61,male,4.7962119646526443e-5,0.003902798525670567,0.04203504542592945,0.002233336762240375,5560,Rdin,0,50,60,2,0,5,male_Rdin
62,male,4.7962119646526443e-5,0.003902798525670567,0.04203504542592945,0.002233336762240375,5560,Rdin,0,50,60,2,0,5,male_Rdin
63,male,4.7962119646526443e-5,0.003902798525670567,0.04203504542592945,0.002233336762240375,5560,Rdin,0,50,60,2,0,5,male_Rdin
64,male,4.7962119646526443e-5,0.003902798525670567,0.04203504542592945,0.002233336762240375,5560,Rdin,0,50,60,2,0,5,male_Rdin
65,male,4.9277600663653666e-5,0.003346863272799483,0.0442362447029754,0.002288865197761183,5418,Rdin,0,50,65,2,0,5,male_Rdin
66,male,4.9277600663653666e-5,0.003346863272799483,0.0442362447029754,0.002288865197761183,5418,Rdin,0,50,65,2,0,5,male_Rdin
67,male,4.9277600663653666e-5,0.003346863272799483,0.0442362447029754,0.002288865197761183,5418,Rdin,0,50,65,2,0,5,male_Rdin
68,male,4.9277600663653666e-5,0.003346863272799483,0.0442362447029754,0.002288865197761183,5418,Rdin,0,50,65,2,0,5,male_Rdin
69,male,4.9277600663653666e-5,0.003346863272799483,0.0442362447029754,0.002288865197761183,5418,Rdin,0,50,65,2,0,5,male_Rdin
70,male,5.566861511928239e-5,0.0031586489744404676,0.04644483671466536,0.002325657811284541,4800,Rdin,0,50,70,2,0,5,male_Rdin
71,male,5.566861511928239e-5,0.0031586489744404676,0.04644483671466536,0.002325657811284541,4800,Rdin,0,50,70,2,0,5,male_Rdin
72,male,5.566861511928239e-5,0.0031586489744404676,0.04644483671466536,0.002325657811284541,4800,Rdin,0,50,70,2,0,5,male_Rdin
73,male,5.566861511928239e-5,0.0031586489744404676,0.04644483671466536,0.002325657811284541,4800,Rdin,0,50,70,2,0,5,male_Rdin
74,male,5.566861511928239e-5,0.0031586489744404676,0.04644483671466536,0.002325657811284541,4800,Rdin,0,50,70,2,0,5,male_Rdin
75,male,8.081589609598702e-5,0.003814871564573359,0.04851688516699149,0.00232055690942628,3332,Rdin,0,50,75,2,0,5,male_Rdin
