age,sex,inc,mort,ylds (years lived with disability)_rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
54,female,0.0026356793969887983,3.7026062313223014e-4,0.0019030885309268854,0.024369235685158707,7629,Brsc,0,50,50,1,3,5,female_Brsc
55,female,0.002837454334792405,4.6757631027300215e-4,0.0020917440642961617,0.027532998298678363,6580,Brsc,0,50,55,1,3,5,female_Brsc
56,female,0.002837454334792405,4.6757631027300215e-4,0.0020917440642961617,0.027532998298678363,6580,Brsc,0,50,55,1,3,5,female_Brsc
57,female,0.002837454334792405,4.6757631027300215e-4,0.0020917440642961617,0.027532998298678363,6580,Brsc,0,50,55,1,3,5,female_Brsc
58,female,0.002837454334792405,4.6757631027300215e-4,0.0020917440642961617,0.027532998298678363,6580,Brsc,0,50,55,1,3,5,female_Brsc
59,female,0.002837454334792405,4.6757631027300215e-4,0.0020917440642961617,0.027532998298678363,6580,Brsc,0,50,55,1,3,5,female_Brsc
60,female,0.0035823132208095397,6.081035207757659e-4,0.0026816415007522715,0.03542384862595187,5725,Brsc,0,50,60,2,3,5,female_Brsc
61,female,0.0035823132208095397,6.081035207757659e-4,0.0026816415007522715,0.03542384862595187,5725,Brsc,0,50,60,2,3,5,female_Brsc
62,female,0.0035823132208095397,6.081035207757659e-4,0.0026816415007522715,0.03542384862595187,5725,Brsc,0,50,60,2,3,5,female_Brsc
63,female,0.0035823132208095397,6.081035207757659e-4,0.0026816415007522715,0.03542384862595187,5725,Brsc,0,50,60,2,3,5,female_Brsc
64,female,0.0035823132208095397,6.081035207757659e-4,0.0026816415007522715,0.03542384862595187,5725,Brsc,0,50,60,2,3,5,female_Brsc
65,female,0.004090824133809951,7.910375738547692e-4,0.0030419492288211152,0.04028762969683448,5670,Brsc,0,50,65,2,4,5,female_Brsc
66,female,0.004090824133809951,7.910375738547692e-4,0.0030419492288211152,0.04028762969683448,5670,Brsc,0,50,65,2,4,5,female_Brsc
67,female,0.004090824133809951,7.910375738547692e-4,0.0030419492288211152,0.04028762969683448,5670,Brsc,0,50,65,2,4,5,female_Brsc
68,female,0.004090824133809951,7.910375738547692e-4,0.0030419492288211152,0.04028762969683448,5670,Brsc,0,50,65,2,4,5,female_Brsc
69,female,0.004090824133809951,7.910375738547692e-4,0.0030419492288211152,0.04028762969683448,5670,Brsc,0,50,65,2,4,5,female_Brsc
70,female,0.004113580290793106,9.8672465248275e-4,0.0030408628179740054,0.04020022618421445,5104,Brsc,0,50,70,2,5,5,female_Brsc
71,female,0.004113580290793106,9.8672465248275e-4,0.0030408628179740054,0.04020022618421445,5104,Brsc,0,50,70,2,5,5,female_Brsc
72,female,0.004113580290793106,9.8672465248275e-4,0.0030408628179740054,0.04020022618421445,5104,Brsc,0,50,70,2,5,5,female_Brsc
73,female,0.004113580290793106,9.8672465248275e-4,0.0030408628179740054,0.04020022618421445,5104,Brsc,0,50,70,2,5,5,female_Brsc
74,female,0.004113580290793106,9.8672465248275e-4,0.0030408628179740054,0.04020022618421445,5104,Brsc,0,50,70,2,5,5,female_Brsc
75,female,0.004799852752810919,0.0014063064721357645,0.0035098788892833042,0.04453938426968747,3792,Brsc,0,50,75,2,5,5,female_Brsc
76,female,0.004799852752810919,0.0014063064721357645,0.0035098788892833042,0.04453938426968747,3792,Brsc,0,50,75,2,5,5,female_Brsc
77,female,0.004799852752810919,0.0014063064721357645,0.0035098788892833042,0.04453938426968747,3792,Brsc,0,50,75,2,5,5,female_Brsc
78,female,0.004799852752810919,0.0014063064721357645,0.0035098788892833042,0.04453938426968747,3792,Brsc,0,50,75,2,5,5,female_Brsc
79,female,0.004799852752810919,0.0014063064721357645,0.0035098788892833042,0.04453938426968747,3792,Brsc,0,50,75,2,5,5,female_Brsc
80,female,0.004704538657423548,0.0020024152471355577,0.0032837013672496404,0.04022856996672283,2983,Brsc,0,20,80,1,6,5,female_Brsc
81,female,0.004704538657423548,0.0020024152471355577,0.0032837013672496404,0.04022856996672283,2983,Brsc,0,20,80,1,6,5,female_Brsc
82,female,0.004704538657423548,0.0020024152471355577,0.0032837013672496404,0.04022856996672283,2983,Brsc,0,20,80,1,6,5,female_Brsc
83,female,0.004704538657423548,0.0020024152471355577,0.0032837013672496404,0.04022856996672283,2983,Brsc,0,20,80,1,6,5,female_Brsc
