age,sex,inc,mort,ylds..years.lived.with.disability._rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
50,male,9.330958477663185e-6,2.744940144968918e-6,7.808404844884339e-6,8.355990992208527e-5,7605,Brsc,0,50,50,0,0,5,male_Brsc
51,male,9.330958477663185e-6,2.744940144968918e-6,7.808404844884339e-6,8.355990992208527e-5,7605,Brsc,0,50,50,0,0,5,male_Brsc
52,male,9.330958477663185e-6,2.744940144968918e-6,7.808404844884339e-6,8.355990992208527e-5,7605,Brsc,0,50,50,0,0,5,male_Brsc
53,male,9.330958477663185e-6,2.744940144968918e-6,7.808404844884339e-6,8.355990992208527e-5,7605,Brsc,0,50,50,0,0,5,male_Brsc
54,male,9.330958477663185e-6,2.744940144968918e-6,7.808404844884339e-6,8.355990992208527e-5,7605,Brsc,0,50,50,0,0,5,male_Brsc
55,male,1.3837510719070806e-5,4.602927280127514e-6,1.166027633394439e-5,1.239739495164804e-4,6479,Brsc,0,50,55,0,0,5,male_Brsc
56,male,1.3837510719070806e-5,4.602927280127514e-6,1.166027633394439e-5,1.239739495164804e-4,6479,Brsc,0,50,55,0,0,5,male_Brsc
57,male,1.3837510719070806e-5,4.602927280127514e-6,1.166027633394439e-5,1.239739495164804e-4,6479,Brsc,0,50,55,0,0,5,male_Brsc
58,male,1.3837510719070806e-5,4.602927280127514e-6,1.166027633394439e-5,1.239739495164804e-4,6479,Brsc,0,50,55,0,0,5,male_Brsc
59,male,1.3837510719070806e-5,4.602927280127514e-6,1.166027633394439e-5,1.239739495164804e-4,6479,Brsc,0,50,55,0,0,5,male_Brsc
60,male,2.8193056266059736e-5,9.4064210631882e-6,2.289928273520262e-5,2.4494252347779947e-4,5560,Brsc,0,50,60,0,0,5,male_Brsc
61,male,2.8193056266059736e-5,9.4064210631882e-6,2.289928273520262e-5,2.4494252347779947e-4,5560,Brsc,0,50,60,0,0,5,male_Brsc
62,male,2.8193056266059736e-5,9.4064210631882e-6,2.289928273520262e-5,2.4494252347779947e-4,5560,Brsc,0,50,60,0,0,5,male_Brsc
