age,sex,inc,mort,ylds..years.lived.with.disability._rate_mvri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
18,male,0.003457594051388327,3.3186291806591976e-5,1.5127421183713845e-4,0.0020184576917218833,6436,Mvri,0,50,15,0,0,5,male_Mvri
19,male,0.003457594051388327,3.3186291806591976e-5,1.5127421183713845e-4,0.0020184576917218833,6436,Mvri,0,50,15,0,0,5,male_Mvri
20,male,0.004049991005747044,4.801046323254067e-5,2.3285045295553993e-4,0.003232706101754713,7845,Mvri,0,50,20,0,0,5,male_Mvri
21,male,0.004049991005747044,4.801046323254067e-5,2.3285045295553993e-4,0.003232706101754713,7845,Mvri,0,50,20,0,0,5,male_Mvri
22,male,0.004049991005747044,4.801046323254067e-5,2.3285045295553993e-4,0.003232706101754713,7845,Mvri,0,50,20,0,0,5,male_Mvri
23,male,0.004049991005747044,4.801046323254067e-5,2.3285045295553993e-4,0.003232706101754713,7845,Mvri,0,50,20,0,0,5,male_Mvri
24,male,0.004049991005747044,4.801046323254067e-5,2.3285045295553993e-4,0.003232706101754713,7845,Mvri,0,50,20,0,0,5,male_Mvri
25,male,0.0033998857423689563,3.500463099692561e-5,3.0763308503943337e-4,0.004495980461382071,9023,Mvri,0,50,25,0,0,5,male_Mvri
26,male,0.0033998857423689563,3.500463099692561e-5,3.0763308503943337e-4,0.004495980461382071,9023,Mvri,0,50,25,0,0,5,male_Mvri
27,male,0.0033998857423689563,3.500463099692561e-5,3.0763308503943337e-4,0.004495980461382071,9023,Mvri,0,50,25,0,0,5,male_Mvri
28,male,0.0033998857423689563,3.500463099692561e-5,3.0763308503943337e-4,0.004495980461382071,9023,Mvri,0,50,25,0,0,5,male_Mvri
29,male,0.0033998857423689563,3.500463099692561e-5,3.0763308503943337e-4,0.004495980461382071,9023,Mvri,0,50,25,0,0,5,male_Mvri
30,male,0.0026186905858205938,2.4578061982369003e-5,3.705502166765629e-4,0.005605753066291933,8448,Mvri,0,50,30,0,0,5,male_Mvri
31,male,0.0026186905858205938,2.4578061982369003e-5,3.705502166765629e-4,0.005605753066291933,8448,Mvri,0,50,30,0,0,5,male_Mvri
32,male,0.0026186905858205938,2.4578061982369003e-5,3.705502166765629e-4,0.005605753066291933,8448,Mvri,0,50,30,0,0,5,male_Mvri
33,male,0.0026186905858205938,2.4578061982369003e-5,3.705502166765629e-4,0.005605753066291933,8448,Mvri,0,50,30,0,0,5,male_Mvri
34,male,0.0026186905858205938,2.4578061982369003e-5,3.705502166765629e-4,0.005605753066291933,8448,Mvri,0,50,30,0,0,5,male_Mvri
35,male,0.0021144423111821575,1.9651315261368015e-5,4.2327255793858296e-4,0.006541085240327379,7997,Mvri,0,50,35,0,0,5,male_Mvri
36,male,0.0021144423111821575,1.9651315261368015e-5,4.2327255793858296e-4,0.006541085240327379,7997,Mvri,0,50,35,0,0,5,male_Mvri
37,male,0.0021144423111821575,1.9651315261368015e-5,4.2327255793858296e-4,0.006541085240327379,7997,Mvri,0,50,35,0,0,5,male_Mvri
38,male,0.0021144423111821575,1.9651315261368015e-5,4.2327255793858296e-4,0.006541085240327379,7997,Mvri,0,50,35,0,0,5,male_Mvri
39,male,0.0021144423111821575,1.9651315261368015e-5,4.2327255793858296e-4,0.006541085240327379,7997,Mvri,0,50,35,0,0,5,male_Mvri
40,male,0.0018178488334713112,2.189416289435212e-5,4.7348239699334884e-4,0.007394171228556549,7179,Mvri,0,50,40,0,0,5,male_Mvri
41,male,0.0018178488334713112,2.189416289435212e-5,4.7348239699334884e-4,0.007394171228556549,7179,Mvri,0,50,40,0,0,5,male_Mvri
42,male,0.0018178488334713112,2.189416289435212e-5,4.7348239699334884e-4,0.007394171228556549,7179,Mvri,0,50,40,0,0,5,male_Mvri
43,male,0.0018178488334713112,2.189416289435212e-5,4.7348239699334884e-4,0.007394171228556549,7179,Mvri,0,50,40,0,0,5,male_Mvri
44,male,0.0018178488334713112,2.189416289435212e-5,4.7348239699334884e-4,0.007394171228556549,7179,Mvri,0,50,40,0,0,5,male_Mvri
45,male,0.0016812964446750753,2.0070377954035943e-5,5.221655863306581e-4,0.00828445049857041,7628,Mvri,0,50,45,0,0,5,male_Mvri
46,male,0.0016812964446750753,2.0070377954035943e-5,5.221655863306581e-4,0.00828445049857041,7628,Mvri,0,50,45,0,0,5,male_Mvri
47,male,0.0016812964446750753,2.0070377954035943e-5,5.221655863306581e-4,0.00828445049857041,7628,Mvri,0,50,45,0,0,5,male_Mvri
48,male,0.0016812964446750753,2.0070377954035943e-5,5.221655863306581e-4,0.00828445049857041,7628,Mvri,0,50,45,0,0,5,male_Mvri
49,male,0.0016812964446750753,2.0070377954035943e-5,5.221655863306581e-4,0.00828445049857041,7628,Mvri,0,50,45,0,0,5,male_Mvri
50,male,0.0014981119627535933,1.9561561194208083e-5,5.676910157050453e-4,0.009153108498948613,7605,Mvri,0,50,50,0,0,5,male_Mvri
51,male,0.0014981119627535933,1.9561561194208083e-5,5.676910157050453e-4,0.009153108498948613,7605,Mvri,0,50,50,0,0,5,male_Mvri
52,male,0.0014981119627535933,1.9561561194208083e-5,5.676910157050453e-4,0.009153108498948613,7605,Mvri,0,50,50,0,0,5,male_Mvri
53,male,0.0014981119627535933,1.9561561194208083e-5,5.676910157050453e-4,0.009153108498948613,7605,Mvri,0,50,50,0,0,5,male_Mvri
54,male,0.0014981119627535933,1.9561561194208083e-5,5.676910157050453e-4,0.009153108498948613,7605,Mvri,0,50,50,0,0,5,male_Mvri
55,male,0.0012583634317255969,1.8870602979817736e-5,5.975475549771468e-4,0.009821216048081515,6479,Mvri,0,50,55,0,0,5,male_Mvri
56,male,0.0012583634317255969,1.8870602979817736e-5,5.975475549771468e-4,0.009821216048081515,6479,Mvri,0,50,55,0,0,5,male_Mvri
57,male,0.0012583634317255969,1.8870602979817736e-5,5.975475549771468e-4,0.009821216048081515,6479,Mvri,0,50,55,0,0,5,male_Mvri
58,male,0.0012583634317255969,1.8870602979817736e-5,5.975475549771468e-4,0.009821216048081515,6479,Mvri,0,50,55,0,0,5,male_Mvri
59,male,0.0012583634317255969,1.8870602979817736e-5,5.975475549771468e-4,0.009821216048081515,6479,Mvri,0,50,55,0,0,5,male_Mvri
60,male,0.0010786170093272478,2.184750300861365e-5,6.197121489250084e-4,0.01044454118825592,5560,Mvri,0,50,60,1,0,5,male_Mvri
61,male,0.0010786170093272478,2.184750300861365e-5,6.197121489250084e-4,0.01044454118825592,5560,Mvri,0,50,60,1,0,5,male_Mvri
62,male,0.0010786170093272478,2.184750300861365e-5,6.197121489250084e-4,0.01044454118825592,5560,Mvri,0,50,60,1,0,5,male_Mvri
63,male,0.0010786170093272478,2.184750300861365e-5,6.197121489250084e-4,0.01044454118825592,5560,Mvri,0,50,60,1,0,5,male_Mvri
64,male,0.0010786170093272478,2.184750300861365e-5,6.197121489250084e-4,0.01044454118825592,5560,Mvri,0,50,60,1,0,5,male_Mvri
65,male,9.274569275654682e-4,2.3063433586062856e-5,6.350513825147616e-4,0.011042193421349399,5418,Mvri,0,50,65,1,0,5,male_Mvri
66,male,9.274569275654682e-4,2.3063433586062856e-5,6.350513825147616e-4,0.011042193421349399,5418,Mvri,0,50,65,1,0,5,male_Mvri
67,male,9.274569275654682e-4,2.3063433586062856e-5,6.350513825147616e-4,0.011042193421349399,5418,Mvri,0,50,65,1,0,5,male_Mvri
68,male,9.274569275654682e-4,2.3063433586062856e-5,6.350513825147616e-4,0.011042193421349399,5418,Mvri,0,50,65,1,0,5,male_Mvri
69,male,9.274569275654682e-4,2.3063433586062856e-5,6.350513825147616e-4,0.011042193421349399,5418,Mvri,0,50,65,1,0,5,male_Mvri
70,male,9.022691943080047e-4,2.520324201148601e-5,6.403628943600788e-4,0.011522910972341038,4800,Mvri,0,50,70,1,0,5,male_Mvri
71,male,9.022691943080047e-4,2.520324201148601e-5,6.403628943600788e-4,0.011522910972341038,4800,Mvri,0,50,70,1,0,5,male_Mvri
72,male,9.022691943080047e-4,2.520324201148601e-5,6.403628943600788e-4,0.011522910972341038,4800,Mvri,0,50,70,1,0,5,male_Mvri
73,male,9.022691943080047e-4,2.520324201148601e-5,6.403628943600788e-4,0.011522910972341038,4800,Mvri,0,50,70,1,0,5,male_Mvri
74,male,9.022691943080047e-4,2.520324201148601e-5,6.403628943600788e-4,0.011522910972341038,4800,Mvri,0,50,70,1,0,5,male_Mvri
75,male,0.0012007829819614786,3.883736479044608e-5,6.39186722614187e-4,0.012094712467078416,3332,Mvri,0,50,75,1,0,5,male_Mvri
76,male,0.0012007829819614786,3.883736479044608e-5,6.39186722614187e-4,0.012094712467078416,3332,Mvri,0,50,75,1,0,5,male_Mvri
77,male,0.0012007829819614786,3.883736479044608e-5,6.39186722614187e-4,0.012094712467078416,3332,Mvri,0,50,75,1,0,5,male_Mvri
78,male,0.0012007829819614786,3.883736479044608e-5,6.39186722614187e-4,0.012094712467078416,3332,Mvri,0,50,75,1,0,5,male_Mvri
79,male,0.0012007829819614786,3.883736479044608e-5,6.39186722614187e-4,0.012094712467078416,3332,Mvri,0,50,75,1,0,5,male_Mvri
80,male,0.001720833205913232,6.38893776617305e-5,6.468233150444902e-4,0.012963669461804809,2291,Mvri,0,20,80,0,0,5,male_Mvri
81,male,0.001720833205913232,6.38893776617305e-5,6.468233150444902e-4,0.012963669461804809,2291,Mvri,0,20,80,0,0,5,male_Mvri
82,male,0.001720833205913232,6.38893776617305e-5,6.468233150444902e-4,0.012963669461804809,2291,Mvri,0,20,80,0,0,5,male_Mvri
83,male,0.001720833205913232,6.38893776617305e-5,6.468233150444902e-4,0.012963669461804809,2291,Mvri,0,20,80,0,0,5,male_Mvri
84,male,0.001720833205913232,6.38893776617305e-5,6.468233150444902e-4,0.012963669461804809,2291,Mvri,0,20,80,0,0,5,male_Mvri
85,male,0.002196357981853396,1.0003506534206773e-4,6.458665388952838e-4,0.014026150868493485,1276,Mvri,0,20,85,0,0,5,male_Mvri
86,male,0.002196357981853396,1.0003506534206773e-4,6.458665388952838e-4,0.014026150868493485,1276,Mvri,0,20,85,0,0,5,male_Mvri
87,male,0.002196357981853396,1.0003506534206773e-4,6.458665388952838e-4,0.014026150868493485,1276,Mvri,0,20,85,0,0,5,male_Mvri
88,male,0.002196357981853396,1.0003506534206773e-4,6.458665388952838e-4,0.014026150868493485,1276,Mvri,0,20,85,0,0,5,male_Mvri
89,male,0.002196357981853396,1.0003506534206773e-4,6.458665388952838e-4,0.014026150868493485,1276,Mvri,0,20,85,0,0,5,male_Mvri
90,male,0.0026127045146207297,1.2545009510282542e-4,6.717943764418646e-4,0.015529289032835531,506,Mvri,0,10,90,0,0,5,male_Mvri
91,male,0.0026127045146207297,1.2545009510282542e-4,6.717943764418646e-4,0.015529289032835531,506,Mvri,0,10,90,0,0,5,male_Mvri
92,male,0.0026127045146207297,1.2545009510282542e-4,6.717943764418646e-4,0.015529289032835531,506,Mvri,0,10,90,0,0,5,male_Mvri
93,male,0.0026127045146207297,1.2545009510282542e-4,6.717943764418646e-4,0.015529289032835531,506,Mvri,0,10,90,0,0,5,male_Mvri
94,male,0.0026127045146207297,1.2545009510282542e-4,6.717943764418646e-4,0.015529289032835531,506,Mvri,0,10,90,0,0,5,male_Mvri
95,male,0.0029145836880018323,1.9158588228056212e-4,7.441796153205938e-4,0.017707809576609834,91,Mvri,0,10,95,0,0,6,male_Mvri
96,male,0.0029145836880018323,1.9158588228056212e-4,7.441796153205938e-4,0.017707809576609834,91,Mvri,0,10,95,0,0,6,male_Mvri
97,male,0.0029145836880018323,1.9158588228056212e-4,7.441796153205938e-4,0.017707809576609834,91,Mvri,0,10,95,0,0,6,male_Mvri
98,male,0.0029145836880018323,1.9158588228056212e-4,7.441796153205938e-4,0.017707809576609834,91,Mvri,0,10,95,0,0,6,male_Mvri
99,male,0.0029145836880018323,1.9158588228056212e-4,7.441796153205938e-4,0.017707809576609834,91,Mvri,0,10,95,0,0,6,male_Mvri
100,male,0.0029145836880018323,1.9158588228056212e-4,7.441796153205938e-4,0.017707809576609834,91,Mvri,0,10,95,0,0,6,male_Mvri
