age,sex,inc,mort,ylds..years.lived.with.disability._rate_cyri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
70,female,0.0015341400525353361,1.1718485496985942e-6,5.974891001774468e-4,0.012321338602422127,5104,Cyri,0,50,70,1,0,5,female_Cyri
71,female,0.0015341400525353361,1.1718485496985942e-6,5.974891001774468e-4,0.012321338602422127,5104,Cyri,0,50,70,1,0,5,female_Cyri
72,female,0.0015341400525353361,1.1718485496985942e-6,5.974891001774468e-4,0.012321338602422127,5104,Cyri,0,50,70,1,0,5,female_Cyri
73,female,0.0015341400525353361,1.1718485496985942e-6,5.974891001774468e-4,0.012321338602422127,5104,Cyri,0,50,70,1,0,5,female_Cyri
74,female,0.0015341400525353361,1.1718485496985942e-6,5.974891001774468e-4,0.012321338602422127,5104,Cyri,0,50,70,1,0,5,female_Cyri
75,female,0.0016142326867239077,7.07484611540451e-7,6.281684988810966e-4,0.013363191563300332,3792,Cyri,0,50,75,1,0,5,female_Cyri
76,female,0.0016142326867239077,7.07484611540451e-7,6.281684988810966e-4,0.013363191563300332,3792,Cyri,0,50,75,1,0,5,female_Cyri
77,female,0.0016142326867239077,7.07484611540451e-7,6.281684988810966e-4,0.013363191563300332,3792,Cyri,0,50,75,1,0,5,female_Cyri
78,female,0.0016142326867239077,7.07484611540451e-7,6.281684988810966e-4,0.013363191563300332,3792,Cyri,0,50,75,1,0,5,female_Cyri
79,female,0.0016142326867239077,7.07484611540451e-7,6.281684988810966e-4,0.013363191563300332,3792,Cyri,0,50,75,1,0,5,female_Cyri
80,female,0.0014753254207987578,6.614992111233666e-7,6.439130803271503e-4,0.01441835300952827,2983,Cyri,0,20,80,0,0,5,female_Cyri
81,female,0.0014753254207987578,6.614992111233666e-7,6.439130803271503e-4,0.01441835300952827,2983,Cyri,0,20,80,0,0,5,female_Cyri
82,female,0.0014753254207987578,6.614992111233666e-7,6.439130803271503e-4,0.01441835300952827,2983,Cyri,0,20,80,0,0,5,female_Cyri
83,female,0.0014753254207987578,6.614992111233666e-7,6.439130803271503e-4,0.01441835300952827,2983,Cyri,0,20,80,0,0,5,female_Cyri
84,female,0.0014753254207987578,6.614992111233666e-7,6.439130803271503e-4,0.01441835300952827,2983,Cyri,0,20,80,0,0,5,female_Cyri
85,female,0.0011587631936874117,8.681865563745093e-7,6.149758290168841e-4,0.014919979310701019,2001,Cyri,0,20,85,0,0,5,female_Cyri
86,female,0.0011587631936874117,8.681865563745093e-7,6.149758290168841e-4,0.014919979310701019,2001,Cyri,0,20,85,0,0,5,female_Cyri
87,female,0.0011587631936874117,8.681865563745093e-7,6.149758290168841e-4,0.014919979310701019,2001,Cyri,0,20,85,0,0,5,female_Cyri
88,female,0.0011587631936874117,8.681865563745093e-7,6.149758290168841e-4,0.014919979310701019,2001,Cyri,0,20,85,0,0,5,female_Cyri
89,female,0.0011587631936874117,8.681865563745093e-7,6.149758290168841e-4,0.014919979310701019,2001,Cyri,0,20,85,0,0,5,female_Cyri
90,female,9.990513046088732e-4,2.156308363041489e-6,5.750701508527741e-4,0.015075374812786696,1019,Cyri,0,10,90,0,0,5,female_Cyri
91,female,9.990513046088732e-4,2.156308363041489e-6,5.750701508527741e-4,0.015075374812786696,1019,Cyri,0,10,90,0,0,5,female_Cyri
92,female,9.990513046088732e-4,2.156308363041489e-6,5.750701508527741e-4,0.015075374812786696,1019,Cyri,0,10,90,0,0,5,female_Cyri
93,female,9.990513046088732e-4,2.156308363041489e-6,5.750701508527741e-4,0.015075374812786696,1019,Cyri,0,10,90,0,0,5,female_Cyri
94,female,9.990513046088732e-4,2.156308363041489e-6,5.750701508527741e-4,0.015075374812786696,1019,Cyri,0,10,90,0,0,5,female_Cyri
95,female,9.980695822637427e-4,2.3210807021330277e-7,5.62515642156233e-4,0.015494400910869172,275,Cyri,0,10,95,0,0,6,female_Cyri
96,female,9.980695822637427e-4,2.3210807021330277e-7,5.62515642156233e-4,0.015494400910869172,275,Cyri,0,10,95,0,0,6,female_Cyri
97,female,9.980695822637427e-4,2.3210807021330277e-7,5.62515642156233e-4,0.015494400910869172,275,Cyri,0,10,95,0,0,6,female_Cyri
98,female,9.980695822637427e-4,2.3210807021330277e-7,5.62515642156233e-4,0.015494400910869172,275,Cyri,0,10,95,0,0,6,female_Cyri
99,female,9.980695822637427e-4,2.3210807021330277e-7,5.62515642156233e-4,0.015494400910869172,275,Cyri,0,10,95,0,0,6,female_Cyri
100,female,9.980695822637427e-4,2.3210807021330277e-7,5.62515642156233e-4,0.015494400910869172,275,Cyri,0,10,95,0,0,6,female_Cyri
