age,sex,inc,mort,ylds..years.lived.with.disability._rate_allc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
55,female,4.44126781500482,0.003561664054425015,0.17645732395154698,0.995071223312111,6580,Allc,0,50,55,50,23,5,female_Allc
56,female,4.44126781500482,0.003561664054425015,0.17645732395154698,0.995071223312111,6580,Allc,0,50,55,50,23,5,female_Allc
57,female,4.44126781500482,0.003561664054425015,0.17645732395154698,0.995071223312111,6580,Allc,0,50,55,50,23,5,female_Allc
58,female,4.44126781500482,0.003561664054425015,0.17645732395154698,0.995071223312111,6580,Allc,0,50,55,50,23,5,female_Allc
59,female,4.44126781500482,0.003561664054425015,0.17645732395154698,0.995071223312111,6580,Allc,0,50,55,50,23,5,female_Allc
60,female,4.414527573339179,0.00606199045315152,0.1895226906433835,0.996517846746896,5725,Allc,0,50,60,50,35,5,female_Allc
61,female,4.414527573339179,0.00606199045315152,0.1895226906433835,0.996517846746896,5725,Allc,0,50,60,50,35,5,female_Allc
62,female,4.414527573339179,0.00606199045315152,0.1895226906433835,0.996517846746896,5725,Allc,0,50,60,50,35,5,female_Allc
63,female,4.414527573339179,0.00606199045315152,0.1895226906433835,0.996517846746896,5725,Allc,0,50,60,50,35,5,female_Allc
64,female,4.414527573339179,0.00606199045315152,0.1895226906433835,0.996517846746896,5725,Allc,0,50,60,50,35,5,female_Allc
65,female,4.721851640409448,0.009736747062175014,0.20774470651549604,0.9978985758929377,5670,Allc,0,50,65,50,55,5,female_Allc
66,female,4.721851640409448,0.009736747062175014,0.20774470651549604,0.9978985758929377,5670,Allc,0,50,65,50,55,5,female_Allc
67,female,4.721851640409448,0.009736747062175014,0.20774470651549604,0.9978985758929377,5670,Allc,0,50,65,50,55,5,female_Allc
68,female,4.721851640409448,0.009736747062175014,0.20774470651549604,0.9978985758929377,5670,Allc,0,50,65,50,55,5,female_Allc
69,female,4.721851640409448,0.009736747062175014,0.20774470651549604,0.9978985758929377,5670,Allc,0,50,65,50,55,5,female_Allc
70,female,5.032410995352203,0.015754308677012163,0.22695984065628513,0.9988297250241458,5104,Allc,0,50,70,50,80,5,female_Allc
71,female,5.032410995352203,0.015754308677012163,0.22695984065628513,0.9988297250241458,5104,Allc,0,50,70,50,80,5,female_Allc
72,female,5.032410995352203,0.015754308677012163,0.22695984065628513,0.9988297250241458,5104,Allc,0,50,70,50,80,5,female_Allc
73,female,5.032410995352203,0.015754308677012163,0.22695984065628513,0.9988297250241458,5104,Allc,0,50,70,50,80,5,female_Allc
74,female,5.032410995352203,0.015754308677012163,0.22695984065628513,0.9988297250241458,5104,Allc,0,50,70,50,80,5,female_Allc
75,female,5.32943560396558,0.028658431877523156,0.2519330081249585,0.9993395322410326,3792,Allc,0,50,75,50,107,5,female_Allc
76,female,5.32943560396558,0.028658431877523156,0.2519330081249585,0.9993395322410326,3792,Allc,0,50,75,50,107,5,female_Allc
77,female,5.32943560396558,0.028658431877523156,0.2519330081249585,0.9993395322410326,3792,Allc,0,50,75,50,107,5,female_Allc
78,female,5.32943560396558,0.028658431877523156,0.2519330081249585,0.9993395322410326,3792,Allc,0,50,75,50,107,5,female_Allc
79,female,5.32943560396558,0.028658431877523156,0.2519330081249585,0.9993395322410326,3792,Allc,0,50,75,50,107,5,female_Allc
80,female,5.983670752148558,0.054201522021220756,0.2882428383245594,0.999669432842582,2983,Allc,0,20,80,20,157,5,female_Allc
81,female,5.983670752148558,0.054201522021220756,0.2882428383245594,0.999669432842582,2983,Allc,0,20,80,20,157,5,female_Allc
82,female,5.983670752148558,0.054201522021220756,0.2882428383245594,0.999669432842582,2983,Allc,0,20,80,20,157,5,female_Allc
83,female,5.983670752148558,0.054201522021220756,0.2882428383245594,0.999669432842582,2983,Allc,0,20,80,20,157,5,female_Allc
84,female,5.983670752148558,0.054201522021220756,0.2882428383245594,0.999669432842582,2983,Allc,0,20,80,20,157,5,female_Allc
85,female,6.840292374856005,0.11206794451062048,0.33068596203374695,0.9998171852463479,2001,Allc,0,20,85,20,212,5,female_Allc
86,female,6.840292374856005,0.11206794451062048,0.33068596203374695,0.9998171852463479,2001,Allc,0,20,85,20,212,5,female_Allc
87,female,6.840292374856005,0.11206794451062048,0.33068596203374695,0.9998171852463479,2001,Allc,0,20,85,20,212,5,female_Allc
88,female,6.840292374856005,0.11206794451062048,0.33068596203374695,0.9998171852463479,2001,Allc,0,20,85,20,212,5,female_Allc
89,female,6.840292374856005,0.11206794451062048,0.33068596203374695,0.9998171852463479,2001,Allc,0,20,85,20,212,5,female_Allc
90,female,7.700877431885603,0.19257503728301573,0.3669089286212864,0.9998890154069432,1019,Allc,0,10,90,10,178,5,female_Allc
91,female,7.700877431885603,0.19257503728301573,0.3669089286212864,0.9998890154069432,1019,Allc,0,10,90,10,178,5,female_Allc
92,female,7.700877431885603,0.19257503728301573,0.3669089286212864,0.9998890154069432,1019,Allc,0,10,90,10,178,5,female_Allc
93,female,7.700877431885603,0.19257503728301573,0.3669089286212864,0.9998890154069432,1019,Allc,0,10,90,10,178,5,female_Allc
94,female,7.700877431885603,0.19257503728301573,0.3669089286212864,0.9998890154069432,1019,Allc,0,10,90,10,178,5,female_Allc
95,female,8.52000038842996,0.3392604455719341,0.39529650989608417,0.9999279336171771,275,Allc,0,10,95,10,79,6,female_Allc
96,female,8.52000038842996,0.3392604455719341,0.39529650989608417,0.9999279336171771,275,Allc,0,10,95,10,79,6,female_Allc
97,female,8.52000038842996,0.3392604455719341,0.39529650989608417,0.9999279336171771,275,Allc,0,10,95,10,79,6,female_Allc
98,female,8.52000038842996,0.3392604455719341,0.39529650989608417,0.9999279336171771,275,Allc,0,10,95,10,79,6,female_Allc
99,female,8.52000038842996,0.3392604455719341,0.39529650989608417,0.9999279336171771,275,Allc,0,10,95,10,79,6,female_Allc
100,female,8.52000038842996,0.3392604455719341,0.39529650989608417,0.9999279336171771,275,Allc,0,10,95,10,79,6,female_Allc
