age,sex,inc,mort,ylds..years.lived.with.disability._rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
68,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,Iscs,0,50,65,2,1,5,male_Iscs
69,male,0.00245547681591106,1.7493312694627026e-4,0.003690751143948669,0.030236699331523047,5418,Iscs,0,50,65,2,1,5,male_Iscs
70,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,Iscs,0,50,70,2,2,5,male_Iscs
71,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,Iscs,0,50,70,2,2,5,male_Iscs
72,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,Iscs,0,50,70,2,2,5,male_Iscs
73,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,Iscs,0,50,70,2,2,5,male_Iscs
74,male,0.0030260640391747357,4.2753366299279653e-4,0.005882698647606102,0.042339613863030374,4800,Iscs,0,50,70,2,2,5,male_Iscs
75,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,Iscs,0,50,75,3,3,5,male_Iscs
76,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,Iscs,0,50,75,3,3,5,male_Iscs
77,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,Iscs,0,50,75,3,3,5,male_Iscs
78,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,Iscs,0,50,75,3,3,5,male_Iscs
79,male,0.0037439361667043953,9.503323143582487e-4,0.008752069809824308,0.05653980855206905,3332,Iscs,0,50,75,3,3,5,male_Iscs
80,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,Iscs,0,20,80,1,6,5,male_Iscs
81,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,Iscs,0,20,80,1,6,5,male_Iscs
82,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,Iscs,0,20,80,1,6,5,male_Iscs
83,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,Iscs,0,20,80,1,6,5,male_Iscs
84,male,0.0056765382710070285,0.0027668547902742705,0.012333237157543756,0.07222684983584134,2291,Iscs,0,20,80,1,6,5,male_Iscs
85,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,Iscs,0,20,85,2,9,5,male_Iscs
86,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,Iscs,0,20,85,2,9,5,male_Iscs
87,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,Iscs,0,20,85,2,9,5,male_Iscs
88,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,Iscs,0,20,85,2,9,5,male_Iscs
89,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,Iscs,0,20,85,2,9,5,male_Iscs
90,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,Iscs,0,10,90,1,6,5,male_Iscs
91,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,Iscs,0,10,90,1,6,5,male_Iscs
92,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,Iscs,0,10,90,1,6,5,male_Iscs
93,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,Iscs,0,10,90,1,6,5,male_Iscs
94,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,Iscs,0,10,90,1,6,5,male_Iscs
95,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,Iscs,0,10,95,1,2,6,male_Iscs
96,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,Iscs,0,10,95,1,2,6,male_Iscs
97,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,Iscs,0,10,95,1,2,6,male_Iscs
98,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,Iscs,0,10,95,1,2,6,male_Iscs
99,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,Iscs,0,10,95,1,2,6,male_Iscs
100,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,Iscs,0,10,95,1,2,6,male_Iscs
