age,sex,age_cat,sex_age_cat,population_number,dw_adj_crdd,dw_adj_tbalc,dw_adj_brsc,dw_adj_utrc,dw_adj_carc,dw_adj_ishd,dw_adj_strk,dw_adj_iscs,dw_adj_copd,dw_adj_adaod,dw_adj_stmc,dw_adj_lvrc,dw_adj_dmt2,deaths_rate_pedestrian,ylds_rate_pedestrian,deaths_rate_cyclist,ylds_rate_cyclist,deaths_rate_motorcyclist,ylds_rate_motorcyclist,deaths_rate_motor,ylds_rate_motor,deaths_rate_other,ylds_rate_other,mx,pyld_rate,deaths_rate_lri,ylds_rate_lri,case_fatality_adaod,case_fatality_brsc,case_fatality_carc,case_fatality_copd,case_fatality_crdd,case_fatality_dmt2,case_fatality_iscs,case_fatality_ishd,case_fatality_lvrc,case_fatality_stmc,case_fatality_strk,case_fatality_tbalc,case_fatality_utrc,incidence_adaod,incidence_brsc,incidence_carc,incidence_copd,incidence_crdd,incidence_dmt2,incidence_iscs,incidence_ishd,incidence_lvrc,incidence_stmc,incidence_strk,incidence_tbalc,incidence_utrc,prevalence_adaod,prevalence_brsc,prevalence_carc,prevalence_copd,prevalence_crdd,prevalence_dmt2,prevalence_iscs,prevalence_ishd,prevalence_lvrc,prevalence_stmc,prevalence_strk,prevalence_tbalc,prevalence_utrc
4,female,NA,female_4,NA,0.45854383843004065,0,0,0,0,0,0,0.14606885206606865,0.07556439315055377,0,0,0,0,1.4831941435193173e-6,7.1083677721639856e-6,1.7749892618514104e-7,7.1083677721639856e-6,1.5929620184947676e-7,7.1083677721639856e-6,1.9278702300690484e-6,7.1083677721639856e-6,1.3054353574044459e-7,7.1083677721639856e-6,1.8722539423490667e-4,7.1083677721639856e-6,7.1083677721639856e-6,7.1083677721639856e-6,0.6638509944871326,0.6808700855708214,0.6717191291216649,0.692585099995306,0.6704530302293998,0.6841244184022555,0.6856036843810794,0.6667399537776417,0.6800630101853375,0.6822321465802565,0.7024883719264452,0.6936081603178236,0.6832828630323063,1e-8,1e-8,1e-8,1.2965192313971663e-4,3.069264505494289e-4,1e-8,4.528417573177724e-5,1e-8,1e-8,1e-8,6.979771388210714e-5,1e-8,1e-8,3.44355467310673e-4,3.4112338597994693e-4,3.43222754973266e-4,3.455583303924939e-4,3.4864364923961914e-4,3.4314580319702353e-4,3.432700255685675e-4,3.414044790889907e-4,3.398065459342867e-4,3.4430517112468397e-4,3.415301198299367e-4,3.4467735102054764e-4,3.4158891756535056e-4
5,female,NA,female_5,NA,0.5408373076331312,0,0,0,0,0,0,0.14611011362740156,0.07540743524863662,0,0,0,0,1.3759027625068193e-6,4.0081441994231986e-6,2.0194894002985757e-7,4.0081441994231986e-6,1.5014027349607176e-7,4.0081441994231986e-6,1.707806115072911e-6,4.0081441994231986e-6,1.3227170336423549e-7,4.0081441994231986e-6,1.0143919064816226e-4,4.0081441994231986e-6,4.0081441994231986e-6,4.0081441994231986e-6,0.7061141790994878,0.6854530877587106,0.6793419996700284,0.7114430287138394,0.7007516222159803,0.6729366920014814,0.6988541120792677,0.6888842558914069,0.7110135737754597,0.6756291652326039,0.6872401728625434,0.6949812214958094,0.6876369717319601,1e-8,1e-8,1e-8,0.00016285664429124139,2.6714534181908e-4,1e-8,3.529477985164631e-5,1e-8,6.471470036821557e-7,1e-8,6.17201282854553e-5,1e-8,1e-8,3.5145882929508813e-4,3.5349860392669007e-4,3.518302647255551e-4,3.50110016198471e-4,3.5053166677382946e-4,3.506056618648103e-4,3.5053287494750016e-4,3.5157527394543466e-4,3.469608248216336e-4,3.5324326848400005e-4,3.473926605979509e-4,3.4624224858553456e-4,3.515957438939462e-4
6,female,NA,female_6,NA,0.6014044432888372,0,0,0,0,0,0,0.14619362072775022,0.07526898989975087,0,0,0,0,1.3142619979780983e-6,2.4652263361439426e-6,2.314599730552933e-7,2.4652263361439426e-6,1.4449778399005997e-7,2.4652263361439426e-6,1.5586048675736499e-6,2.4652263361439426e-6,1.355060855282921e-7,2.4652263361439426e-6,6.0695467070244834e-5,2.4652263361439426e-6,2.4652263361439426e-6,2.4652263361439426e-6,0.6679871594712592,0.6640614399522533,0.7105469054541617,0.7106045167319766,0.6778266802420708,0.6679722641789552,0.6748315553707646,0.6643269406437948,0.6701868850958292,0.7168500561483322,0.6683055089671488,0.7069947993250882,0.7051835587574333,1e-8,1e-8,1e-8,0.00016285664429124139,2.6714534181908e-4,1e-8,3.529477985164631e-5,1e-8,6.471470036821557e-7,1e-8,6.17201282854553e-5,1e-8,1e-8,3.1358345470567685e-4,3.1731525633112037e-4,3.144594648912486e-4,3.100242180296159e-4,3.156741967060893e-4,3.1808360997437535e-4,3.1391695104099863e-4,3.1243123158950436e-4,3.1347952004917405e-4,3.152376182476912e-4,3.1388832338124915e-4,3.1148114011140545e-4,3.158158876936138e-4
7,female,7,female_7,33012.78728207312,0.6032418881482459,0,0,0,0,0,0,0.1463412715269593,0.07516257728312835,0,0,0,0,1.3213229420400877e-6,1.7652868335634792e-6,2.687138459662313e-7,1.7652868335634792e-6,1.4424525151190816e-7,1.7652868335634792e-6,1.4985550840392355e-6,1.7652868335634792e-6,1.415194525781581e-7,1.7652868335634792e-6,4.320642131901065e-5,1.7652868335634792e-6,1.7652868335634792e-6,1.7652868335634792e-6,0.6774883055532646,0.6583178497889975,0.693623878091857,0.6839178786550852,0.6642660134694816,0.6927965747083789,0.6860688764336688,0.6595583902334954,0.6915422287181445,0.7063575856225617,0.6888548122580125,0.6694636162679495,0.6980330783692862,1e-8,1e-8,1e-8,0.00016285664429124139,2.6714534181908e-4,1e-8,3.529477985164631e-5,1e-8,6.471470036821557e-7,1e-8,6.17201282854553e-5,1e-8,1e-8,3.035538370402708e-4,3.05972780905676e-4,2.950033763092412e-4,2.9487731309295654e-4,2.9584099673827884e-4,3.007416315534916e-4,2.972828495382173e-4,2.9860027281653455e-4,3.001733446829321e-4,2.946296833728629e-4,2.946814905835102e-4,2.974820982013563e-4,2.9667462041812955e-4
8,female,NA,female_8,NA,0.5251254604076792,0,0,0,0,0,0,0.14673731245781155,0.07508676144307493,0,0,0,0,1.4163154219735958e-6,1.5262521220043244e-6,3.17796620634243e-7,1.5262521220043244e-6,1.4693841552668e-7,1.5262521220043244e-6,1.500377831789587e-6,1.5262521220043244e-6,1.496588052401088e-7,1.5262521220043244e-6,3.804759055101649e-5,1.5262521220043244e-6,1.5262521220043244e-6,1.5262521220043244e-6,0.6770840972275262,0.6631740314927058,0.657486551448823,0.6556317507035105,0.6453069017727265,0.668166017319597,0.678116148842407,0.6466146488409199,0.6940852750714651,0.6732645580582426,0.672375893556383,0.65126417197393,0.6823803958525052,1e-8,1e-8,1e-8,0.00016285664429124139,2.6714534181908e-4,1e-8,3.529477985164631e-5,1e-8,6.471470036821557e-7,1e-8,6.17201282854553e-5,1e-8,1e-8,2.957261376304079e-4,2.988651941949178e-4,2.9461832177766063e-4,2.909708811420594e-4,2.962356791660814e-4,2.9421536951234527e-4,2.9593621672614507e-4,2.9889788513454645e-4,2.8977624200137337e-4,2.914034503214889e-4,2.892598643065131e-4,2.948712687473982e-4,2.915583203171949e-4
9,female,NA,female_9,NA,0.408577344445472,0,0,0,0,0,0,0.14745130338401036,0.07503238371583677,0,0,0,0,1.5950810009304999e-6,1.5255266136289636e-6,3.814690886818375e-7,1.5255266136289636e-6,1.5115640939497597e-7,1.5255266136289636e-6,1.5411732485157364e-006,1.5255266136289636e-6,1.5937751903900324e-7,1.5255266136289636e-6,3.944010991565148e-5,1.5255266136289636e-6,1.5255266136289636e-6,1.5255266136289636e-6,0.6337178546317933,0.6187974081579203,0.6172983884641303,0.6081133378562585,0.6338797637828145,0.6461689320612781,0.613552474059712,0.6485914761406992,0.628666959673525,0.6267343880509859,0.5930933790712882,0.6207651784931016,0.6237727114288998,1e-8,1e-8,1e-8,0.00016285664429124139,2.6714534181908e-4,1e-8,3.529477985164631e-5,1e-8,6.471470036821557e-7,1e-8,6.17201282854553e-5,1e-8,1e-8,2.944452673916124e-4,2.9502522956887853e-4,2.953767555265302e-4,2.9489870884113437e-4,2.985752813534215e-4,2.9213547399004313e-4,2.9459678942431167e-4,2.961672398437521e-4,2.9070009117349005e-4,2.946355175933239e-4,2.9178014903167584e-4,3.004210692130455e-4,2.914446771875818e-4
10,female,NA,female_10,NA,0.301087219454353,0,0,0,0,0,0,0.14833260677229648,0.07500134642298656,0,0,0,0,1.8513584015907525e-6,1.6691084878780212e-6,4.6081052591386216e-7,1.6691084878780212e-6,1.6091608855917588e-7,1.6691084878780212e-6,1.6527118598884611e-6,1.6691084878780212e-6,1.7266151405853702e-7,1.6691084878780212e-6,4.539032219074585e-5,1.6691084878780212e-6,1.6691084878780212e-6,1.6691084878780212e-6,0.7396994460957707,0.7226540477327847,0.713410974826239,0.7292660587411035,0.711550074048221,0.7002606735740905,0.692647629308122,0.7154523460404362,0.7245349494862344,0.6871515931660661,0.7135165701023874,0.6867091955793528,0.6937892954182702,1e-8,1e-8,1e-8,3.3321925685389205e-4,2.3540189407796996e-4,0.001598040135635244,3.2199930180634816e-5,1e-8,1.1357331271804313e-6,1e-8,5.644226369602504e-5,1e-8,1e-8,2.996818424727477e-4,3.044938417202869e-4,3.0270305410318323e-4,3.043155267684864e-4,2.9820595940686933e-4,2.969800593346162e-4,3.0373793957897224e-4,3.016046725273674e-4,3.035344403878182e-4,3.051302112288039e-4,3.0336991630268895e-4,3.086503615087261e-4,3.00911559109943e-4
11,female,NA,female_11,NA,0.2226816374603731,0,0,0,0,0,0,0.14922797276096486,0.07499556927974879,0,0,0,0,2.172183512462596e-6,1.8928202450348734e-6,5.554442894099664e-7,1.8928202450348734e-6,1.81667965341898e-7,1.8928202450348734e-6,1.8828236564497817e-6,1.8928202450348734e-6,1.9222628046159288e-7,1.8928202450348734e-6,5.4699669615827616e-5,1.8928202450348734e-6,1.8928202450348734e-6,1.8928202450348734e-6,0.6887141156229872,0.6961409629484896,0.7049798409348159,0.689262899305739,0.7198811403695812,0.6947432007959677,0.6787710090358304,0.7093248934260079,0.6942795310944135,0.703449577427667,0.6916987759100824,0.7150771172974543,0.7407531427892371,1e-8,1e-8,1e-8,3.3321925685389205e-4,2.3540189407796996e-4,0.001598040135635244,3.2199930180634816e-5,1e-8,1.1357331271804313e-6,1e-8,5.644226369602504e-5,1e-8,1e-8,2.92277692293587e-4,2.9399862499364013e-4,2.9837059863085913e-4,2.9527622233386505e-4,2.942865548643912e-4,2.9600630855084614e-4,2.9985282354259726e-4,2.943975885183591e-4,2.920124736527667e-4,2.979924225075169e-4,2.94747720801128e-4,2.9942187560530735e-4,2.935547618872879e-4
12,female,12,female_12,30256.231001951597,0.17515306809363287,0,0,0,0,0,0.38406398333677993,0.14998059957796783,0.07501699566329667,0,0,0,0,2.5270511270646898e-6,2.106604313248449e-6,6.623931192061559e-7,2.106604313248449e-6,2.228884271114894e-7,2.106604313248449e-6,2.318787404566286e-6,2.106604313248449e-6,2.2216915086067843e-7,2.106604313248449e-6,6.510053042869127e-5,2.106604313248449e-6,2.106604313248449e-6,2.106604313248449e-6,0.7146819179501844,0.6929754940684121,0.6987037104614058,0.7166927530057365,0.7002422062910871,0.7111877654904453,0.7175451492228967,0.7114269258474379,0.7084534097254278,0.7036818363049513,0.6863874061949111,0.6930112667840085,0.7231225570193506,1e-8,1e-8,1e-8,3.3321925685389205e-4,2.3540189407796996e-4,0.001598040135635244,3.2199930180634816e-5,1e-8,1.1357331271804313e-6,1e-8,5.644226369602504e-5,1e-8,1e-8,2.91381192977479e-4,2.953231862160533e-4,2.974162604962178e-4,2.9247559390462637e-4,2.9267956727124767e-4,2.942216055866366e-4,2.9744141176859596e-4,2.9221716380077546e-4,2.937022628176155e-4,2.9843269591671093e-4,2.995101900061949e-4,2.911122083420545e-4,2.883309660537658e-4
13,female,NA,female_13,NA,0.14625622666334967,0,0,0,0,0,0.36106778273426604,0.1505586550216897,0.07506238787347472,0,0,0,0,2.988930328448939e-6,2.351509593081781e-6,7.947681156465877e-7,2.351509593081781e-6,3.1683839201202905e-7,2.351509593081781e-6,3.292192040724582e-6,2.351509593081781e-6,2.76293181383731e-7,2.351509593081781e-6,7.986673468607009e-5,2.351509593081781e-6,2.351509593081781e-6,2.351509593081781e-6,0.7162483507115653,0.6929064403173674,0.7070985531136897,0.723325764960314,0.7012285871333295,0.6915806449381259,0.6944473394333244,0.7102401726888152,0.6795927348124422,0.7124139252797912,0.7151137098025369,0.6983966189198033,0.7251434118630747,1e-8,1e-8,1e-8,3.3321925685389205e-4,2.3540189407796996e-4,0.001598040135635244,3.2199930180634816e-5,1e-8,1.1357331271804313e-6,1e-8,5.644226369602504e-5,1e-8,1e-8,2.9316856441160367e-4,2.9311419368854656e-4,2.9164459732833586e-4,2.909247597573935e-4,2.937675063890473e-4,2.928805551490741e-4,2.9022633345987656e-4,2.898048717250868e-4,2.893371954726363e-4,2.9175591620635155e-4,2.97108581607622e-4,2.953397813613952e-4,2.890675228830425e-4
14,female,NA,female_14,NA,0.12473723455000203,0,0,0,0,0,0.3336195705288726,0.15106542243422497,0.07513048793796295,0,0,0,0,3.6407676888168253e-6,2.730286506621583e-6,9.648940608526252e-7,2.730286506621583e-6,5.13388728832902e-7,2.730286506621583e-6,5.326407080183292e-6,2.730286506621583e-6,3.6722759211062826e-7,2.730286506621583e-6,1.0502052302894013e-4,2.730286506621583e-6,2.730286506621583e-6,2.730286506621583e-6,0.7145957221531976,0.7060838644122102,0.6997283824234084,0.718389715709646,0.7404805709478008,0.7108026710914843,0.7363401059237485,0.7221215811782458,0.7119726693173879,0.7138962551781324,0.6883419550915002,0.7457013003993385,0.7062524929885062,1e-8,1e-8,1e-8,3.3321925685389205e-4,2.3540189407796996e-4,0.001598040135635244,3.2199930180634816e-5,1e-8,1.1357331271804313e-6,1e-8,5.644226369602504e-5,1e-8,1e-8,2.901965663759901e-4,2.936701792380325e-4,2.918668840140991e-4,2.8761513888344155e-4,2.896474744927876e-4,2.938953168577321e-4,2.9258547114848865e-4,2.9000647534716743e-4,2.9170490408412554e-4,2.8803201646126835e-4,2.920835407653288e-4,2.9291620087755526e-4,2.877696557010685e-4
