sex,age_cat,dem_index,scen_pif_pa_ac,pif_ihd,scen_pif_pa_neo,pif_lc,pif_copd,pif_stroke,pif_t2d,pif_breast,pif_colon,pif_endo,pif_motor_deaths,pif_motor_ylds,pif_cyclist_deaths,pif_cyclist_ylds,pif_motorcyclist_deaths,pif_motorcyclist_ylds,pif_pedestrian_deaths,pif_pedestrian_ylds,age
male,35-39,5,0.00643419289839133,0.0062135918655899375,0.003115474247421825,0.0026342229104112896,-1.3671376960646312e-4,0.008326664168877947,0.007740448461924062,0.001727675254378437,0.0033126007092305204,0.0035313810263662595,0.80371936045702,10.163010252600865,0.2070516611758342,2.894126419238305,0.015200238240680394,0.1977067776532735,0.08502822362121654,1.1669789352712368,39
male,35-39,5,0.00643419289839133,0.0062135918655899375,0.003115474247421825,0.0026342229104112896,-1.3671376960646312e-4,0.008326664168877947,0.007740448461924062,0.001727675254378437,0.0033126007092305204,0.0035313810263662595,0.80371936045702,10.163010252600865,0.2070516611758342,2.894126419238305,0.015200238240680394,0.1977067776532735,0.08502822362121654,1.1669789352712368,40
male,35-39,5,0.00643419289839133,0.0062135918655899375,0.003115474247421825,0.0026342229104112896,-1.3671376960646312e-4,0.008326664168877947,0.007740448461924062,0.001727675254378437,0.0033126007092305204,0.0035313810263662595,0.80371936045702,10.163010252600865,0.2070516611758342,2.894126419238305,0.015200238240680394,0.1977067776532735,0.08502822362121654,1.1669789352712368,41
male,40-44,6,0.006157276845194153,0.006165212710190681,0.003100358881718839,0.0024419769353727252,-1.904061367824796e-4,0.008428790096915972,0.00785848878208985,0.0018331690135934074,0.003414241930963956,0.0034794258821028365,0.8569650204202323,10.900339789071799,0.1723573455530747,2.421649651176858,0.2990465405667764,3.910402981243453,0.07162807433196514,0.9879272483714837,42
male,40-44,6,0.006157276845194153,0.006165212710190681,0.003100358881718839,0.0024419769353727252,-1.904061367824796e-4,0.008428790096915972,0.00785848878208985,0.0018331690135934074,0.003414241930963956,0.0034794258821028365,0.8569650204202323,10.900339789071799,0.1723573455530747,2.421649651176858,0.2990465405667764,3.910402981243453,0.07162807433196514,0.9879272483714837,43
male,40-44,6,0.006157276845194153,0.006165212710190681,0.003100358881718839,0.0024419769353727252,-1.904061367824796e-4,0.008428790096915972,0.00785848878208985,0.0018331690135934074,0.003414241930963956,0.0034794258821028365,0.8569650204202323,10.900339789071799,0.1723573455530747,2.421649651176858,0.2990465405667764,3.910402981243453,0.07162807433196514,0.9879272483714837,44
male,40-44,6,0.006157276845194153,0.006165212710190681,0.003100358881718839,0.0024419769353727252,-1.904061367824796e-4,0.008428790096915972,0.00785848878208985,0.0018331690135934074,0.003414241930963956,0.0034794258821028365,0.8569650204202323,10.900339789071799,0.1723573455530747,2.421649651176858,0.2990465405667764,3.910402981243453,0.07162807433196514,0.9879272483714837,45
male,40-44,6,0.006157276845194153,0.006165212710190681,0.003100358881718839,0.0024419769353727252,-1.904061367824796e-4,0.008428790096915972,0.00785848878208985,0.0018331690135934074,0.003414241930963956,0.0034794258821028365,0.8569650204202323,10.900339789071799,0.1723573455530747,2.421649651176858,0.2990465405667764,3.910402981243453,0.07162807433196514,0.9879272483714837,46
male,45-49,7,0.0061306546376298935,0.006099473836338066,0.003044429004789931,0.0024199212356210854,-1.821398259352545e-4,0.008326053354715745,0.007719480233301112,0.0017647719929408054,0.0033225326181612683,0.003418735276528396,0.6551708268268243,8.351051786757997,0.1658935014398627,2.335098432160264,1.34781075189494e-13,1.34781075189494e-13,0.07232189841274106,0.9992400937895372,47
male,45-49,7,0.0061306546376298935,0.006099473836338066,0.003044429004789931,0.0024199212356210854,-1.821398259352545e-4,0.008326053354715745,0.007719480233301112,0.0017647719929408054,0.0033225326181612683,0.003418735276528396,0.6551708268268243,8.351051786757997,0.1658935014398627,2.335098432160264,1.34781075189494e-13,1.34781075189494e-13,0.07232189841274106,0.9992400937895372,48
male,45-49,7,0.0061306546376298935,0.006099473836338066,0.003044429004789931,0.0024199212356210854,-1.821398259352545e-4,0.008326053354715745,0.007719480233301112,0.0017647719929408054,0.0033225326181612683,0.003418735276528396,0.6551708268268243,8.351051786757997,0.1658935014398627,2.335098432160264,1.34781075189494e-13,1.34781075189494e-13,0.07232189841274106,0.9992400937895372,49
male,45-49,7,0.0061306546376298935,0.006099473836338066,0.003044429004789931,0.0024199212356210854,-1.821398259352545e-4,0.008326053354715745,0.007719480233301112,0.0017647719929408054,0.0033225326181612683,0.003418735276528396,0.6551708268268243,8.351051786757997,0.1658935014398627,2.335098432160264,1.34781075189494e-13,1.34781075189494e-13,0.07232189841274106,0.9992400937895372,50
male,45-49,7,0.0061306546376298935,0.006099473836338066,0.003044429004789931,0.0024199212356210854,-1.821398259352545e-4,0.008326053354715745,0.007719480233301112,0.0017647719929408054,0.0033225326181612683,0.003418735276528396,0.6551708268268243,8.351051786757997,0.1658935014398627,2.335098432160264,1.34781075189494e-13,1.34781075189494e-13,0.07232189841274106,0.9992400937895372,51
male,50-54,8,0.006058318894170845,0.005889073960196862,0.0029370131532859807,0.002616746391216173,-8.888531718610715e-5,0.007813209638387745,0.006982784724235389,0.0015823619253604968,0.0030593010478248807,0.003320016709021183,0.44189538796756966,5.630561151243572,0.0862838163997833,1.2141446871739638,0.026209257396220834,0.3432561391176253,0.03713069197500638,0.5128666533975333,52
male,50-54,8,0.006058318894170845,0.005889073960196862,0.0029370131532859807,0.002616746391216173,-8.888531718610715e-5,0.007813209638387745,0.006982784724235389,0.0015823619253604968,0.0030593010478248807,0.003320016709021183,0.44189538796756966,5.630561151243572,0.0862838163997833,1.2141446871739638,0.026209257396220834,0.3432561391176253,0.03713069197500638,0.5128666533975333,53
