age,sex,inc,mort,ylds (years lived with disability)_rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
85,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,iscs,0,20,85,2,9,5,male_iscs
86,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,iscs,0,20,85,2,9,5,male_iscs
87,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,iscs,0,20,85,2,9,5,male_iscs
88,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,iscs,0,20,85,2,9,5,male_iscs
89,male,0.008825222879072728,0.006735939024907757,0.015850257725668355,0.08790165302573527,1276,iscs,0,20,85,2,9,5,male_iscs
90,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,iscs,0,10,90,1,6,5,male_iscs
91,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,iscs,0,10,90,1,6,5,male_iscs
92,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,iscs,0,10,90,1,6,5,male_iscs
93,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,iscs,0,10,90,1,6,5,male_iscs
94,male,0.011983042488565096,0.011461806965139317,0.018835544940143386,0.10012227934398847,506,iscs,0,10,90,1,6,5,male_iscs
95,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,iscs,0,10,95,1,2,6,male_iscs
96,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,iscs,0,10,95,1,2,6,male_iscs
97,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,iscs,0,10,95,1,2,6,male_iscs
98,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,iscs,0,10,95,1,2,6,male_iscs
99,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,iscs,0,10,95,1,2,6,male_iscs
100,male,0.015152273484365642,0.020652997524254216,0.02138135685934498,0.10730820862307013,91,iscs,0,10,95,1,2,6,male_iscs
