age,sex,inc,mort,ylds (years lived with disability)_rate_utrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
85,female,0.0011586497178119805,4.6648285951308e-4,5.29012273190168e-4,0.005783163559140031,2001,utrc,0,20,85,0,1,5,female_utrc
86,female,0.0011586497178119805,4.6648285951308e-4,5.29012273190168e-4,0.005783163559140031,2001,utrc,0,20,85,0,1,5,female_utrc
87,female,0.0011586497178119805,4.6648285951308e-4,5.29012273190168e-4,0.005783163559140031,2001,utrc,0,20,85,0,1,5,female_utrc
88,female,0.0011586497178119805,4.6648285951308e-4,5.29012273190168e-4,0.005783163559140031,2001,utrc,0,20,85,0,1,5,female_utrc
89,female,0.0011586497178119805,4.6648285951308e-4,5.29012273190168e-4,0.005783163559140031,2001,utrc,0,20,85,0,1,5,female_utrc
90,female,0.0012954936784246218,5.228443915032078e-4,5.682388208677529e-4,0.005015413043601711,1019,utrc,0,10,90,0,1,5,female_utrc
91,female,0.0012954936784246218,5.228443915032078e-4,5.682388208677529e-4,0.005015413043601711,1019,utrc,0,10,90,0,1,5,female_utrc
92,female,0.0012954936784246218,5.228443915032078e-4,5.682388208677529e-4,0.005015413043601711,1019,utrc,0,10,90,0,1,5,female_utrc
93,female,0.0012954936784246218,5.228443915032078e-4,5.682388208677529e-4,0.005015413043601711,1019,utrc,0,10,90,0,1,5,female_utrc
94,female,0.0012954936784246218,5.228443915032078e-4,5.682388208677529e-4,0.005015413043601711,1019,utrc,0,10,90,0,1,5,female_utrc
95,female,0.00151296767255389,6.1242330027147e-4,3.4317000477179625e-4,0.0011280750262245942,275,utrc,0,10,95,0,0,6,female_utrc
96,female,0.00151296767255389,6.1242330027147e-4,3.4317000477179625e-4,0.0011280750262245942,275,utrc,0,10,95,0,0,6,female_utrc
97,female,0.00151296767255389,6.1242330027147e-4,3.4317000477179625e-4,0.0011280750262245942,275,utrc,0,10,95,0,0,6,female_utrc
98,female,0.00151296767255389,6.1242330027147e-4,3.4317000477179625e-4,0.0011280750262245942,275,utrc,0,10,95,0,0,6,female_utrc
99,female,0.00151296767255389,6.1242330027147e-4,3.4317000477179625e-4,0.0011280750262245942,275,utrc,0,10,95,0,0,6,female_utrc
100,female,0.00151296767255389,6.1242330027147e-4,3.4317000477179625e-4,0.0011280750262245942,275,utrc,0,10,95,0,0,6,female_utrc
