age,sex,inc,mort,ylds (years lived with disability)_rate_carc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
63,female,0.0010219003723887247,2.8098408941331905e-4,5.723716843137809e-4,0.006896777988551826,5725,carc,0,50,60,0,2,5,female_carc
64,female,0.0010219003723887247,2.8098408941331905e-4,5.723716843137809e-4,0.006896777988551826,5725,carc,0,50,60,0,2,5,female_carc
65,female,0.0015717920082157129,4.4492433820996646e-4,8.688122880660127e-4,0.010430718212652844,5670,carc,0,50,65,1,3,5,female_carc
66,female,0.0015717920082157129,4.4492433820996646e-4,8.688122880660127e-4,0.010430718212652844,5670,carc,0,50,65,1,3,5,female_carc
67,female,0.0015717920082157129,4.4492433820996646e-4,8.688122880660127e-4,0.010430718212652844,5670,carc,0,50,65,1,3,5,female_carc
68,female,0.0015717920082157129,4.4492433820996646e-4,8.688122880660127e-4,0.010430718212652844,5670,carc,0,50,65,1,3,5,female_carc
69,female,0.0015717920082157129,4.4492433820996646e-4,8.688122880660127e-4,0.010430718212652844,5670,carc,0,50,65,1,3,5,female_carc
70,female,0.0021320190322723326,6.720885267181467e-4,0.0011532622146395186,0.01356981639627239,5104,carc,0,50,70,1,3,5,female_carc
71,female,0.0021320190322723326,6.720885267181467e-4,0.0011532622146395186,0.01356981639627239,5104,carc,0,50,70,1,3,5,female_carc
72,female,0.0021320190322723326,6.720885267181467e-4,0.0011532622146395186,0.01356981639627239,5104,carc,0,50,70,1,3,5,female_carc
73,female,0.0021320190322723326,6.720885267181467e-4,0.0011532622146395186,0.01356981639627239,5104,carc,0,50,70,1,3,5,female_carc
74,female,0.0021320190322723326,6.720885267181467e-4,0.0011532622146395186,0.01356981639627239,5104,carc,0,50,70,1,3,5,female_carc
75,female,0.0030747248897532568,0.0010985278204300297,0.0016106190560251008,0.018194253889942634,3792,carc,0,50,75,1,4,5,female_carc
76,female,0.0030747248897532568,0.0010985278204300297,0.0016106190560251008,0.018194253889942634,3792,carc,0,50,75,1,4,5,female_carc
77,female,0.0030747248897532568,0.0010985278204300297,0.0016106190560251008,0.018194253889942634,3792,carc,0,50,75,1,4,5,female_carc
78,female,0.0030747248897532568,0.0010985278204300297,0.0016106190560251008,0.018194253889942634,3792,carc,0,50,75,1,4,5,female_carc
79,female,0.0030747248897532568,0.0010985278204300297,0.0016106190560251008,0.018194253889942634,3792,carc,0,50,75,1,4,5,female_carc
80,female,0.0036773288016662075,0.0018675882167321254,0.0017088367955427368,0.017205935142347018,2983,carc,0,20,80,0,6,5,female_carc
81,female,0.0036773288016662075,0.0018675882167321254,0.0017088367955427368,0.017205935142347018,2983,carc,0,20,80,0,6,5,female_carc
82,female,0.0036773288016662075,0.0018675882167321254,0.0017088367955427368,0.017205935142347018,2983,carc,0,20,80,0,6,5,female_carc
83,female,0.0036773288016662075,0.0018675882167321254,0.0017088367955427368,0.017205935142347018,2983,carc,0,20,80,0,6,5,female_carc
84,female,0.0036773288016662075,0.0018675882167321254,0.0017088367955427368,0.017205935142347018,2983,carc,0,20,80,0,6,5,female_carc
85,female,0.006159344091048432,0.0031276172089940327,0.0027199611661848327,0.024777368857219203,2001,carc,0,20,85,0,6,5,female_carc
86,female,0.006159344091048432,0.0031276172089940327,0.0027199611661848327,0.024777368857219203,2001,carc,0,20,85,0,6,5,female_carc
