sex,age_group_2,pif_all-cause-mortality,pif_all-cause-mortality_se,pif_coronary-heart-disease,pif_coronary-heart-disease_se,pif_all-cause-cancer,pif_all-cause-cancer_se,pif_lung-cancer,pif_lung-cancer_se,pif_stroke,pif_stroke_se,pif_diabetes,pif_diabetes_se,pif_breast-cancer,pif_breast-cancer_se,pif_colon-cancer,pif_colon-cancer_se,pif_endometrial-cancer,pif_endometrial-cancer_se,pif_head-and-neck-cancer,pif_head-and-neck-cancer_se,pif_depression,pif_depression_se,pif_myeloma,pif_myeloma_se,pif_myeloid-leukemia,pif_myeloid-leukemia_se,pif_gastric-cardia-cancer,pif_gastric-cardia-cancer_se,pif_liver-cancer,pif_liver-cancer_se,pif_parkinson's-disease,pif_parkinson's-disease_se,pif_all-cause-dementia,pif_all-cause-dementia_se
male,32,0.056756122,0.009455455,0.05676848,0.009112578,0.033793656,0.005434856,0.047067781,0.007511922,0.047513336,0.007796592,0.096567844,0.014767128,0.032150119,0.004661613,0.041458886,0.006597094,0.050904372,0.007933439,0.181302274,0.028167023,0.070097847,0.011349719,0.100745152,0.017954091,0.08381491,0.014701216,0.099266622,0.015815204,0.094405714,0.014404109,0.104986884,0.017062124,0.06313664,0.010885066
male,37,0.080007112,0.011960651,0.076044933,0.010731387,0.04548239,0.00644157,0.063159832,0.008869412,0.065701528,0.009589051,0.120020398,0.015649078,0.038537865,0.004976894,0.054551468,0.007564312,0.065722698,0.008993633,0.223452222,0.028787914,0.094354416,0.013394688,0.13873539,0.019715151,0.119036726,0.018508912,0.128649575,0.017519935,0.118354512,0.015734438,0.137807245,0.019212666,0.090699433,0.01402526
male,42,0.069623441,0.010264751,0.068792267,0.009631286,0.041112824,0.005763436,0.057362776,0.007953552,0.058148391,0.00837645,0.11585192,0.015122739,0.03818533,0.004734998,0.050092269,0.006910686,0.061015904,0.008275799,0.210811848,0.02819828,0.084827508,0.011986552,0.122031018,0.018329291,0.10224055,0.015814435,0.118730642,0.016324596,0.112094786,0.014830444,0.12496159,0.017660816,0.077833333,0.011876276
male,47,0.070600381,0.010329724,0.068978865,0.009358901,0.041221026,0.005615059,0.057427797,0.007747954,0.058676639,0.008316321,0.113770278,0.014011961,0.037010069,0.004409627,0.049968854,0.006628958,0.060506762,0.007887819,0.210501573,0.026052242,0.085264835,0.011681974,0.125342734,0.017438617,0.103707997,0.015957456,0.118633692,0.015466517,0.110490718,0.013928005,0.125461686,0.016873541,0.079028567,0.012081704
male,52,0.086323515,0.011521824,0.083108541,0.010647314,0.049773622,0.006392609,0.069052576,0.008828255,0.071287468,0.00934625,0.13369407,0.016388991,0.043893911,0.005278957,0.060026868,0.007608754,0.072588708,0.009100648,0.243368713,0.02982313,0.102743138,0.013220385,0.149986238,0.019730118,0.12713523,0.01770121,0.141016088,0.017711048,0.131006064,0.016122892,0.150411336,0.019150673,0.097314979,0.013391095
male,57,0.050082732,0.008929869,0.049620612,0.008342575,0.029598094,0.004994271,0.0413236,0.006884758,0.04181157,0.007275988,0.0837851,0.012917512,0.027775119,0.004193974,0.036139886,0.005975239,0.044119801,0.00717039,0.15585744,0.023570376,0.061266687,0.010379866,0.088970434,0.015523212,0.074159686,0.013961092,0.086135754,0.013986806,0.081243787,0.012757539,0.090850786,0.01520457,0.055977507,0.010400292
male,62,0.097271884,0.012950273,0.091204027,0.011146086,0.05451036,0.006668701,0.076400673,0.009195304,0.079308303,0.010186438,0.146171348,0.015698192,0.047727567,0.004985183,0.065098563,0.007722463,0.078980897,0.009159415,0.266391862,0.0292792,0.112918801,0.014013637,0.157220109,0.02037282,0.146519644,0.020649548,0.152232235,0.01782421,0.142566219,0.01587014,0.161777387,0.019896261,0.111613688,0.015561227
male,67,0.067376332,0.011279837,0.066870975,0.010329496,0.040057917,0.006208476,0.056342337,0.008570662,0.056363688,0.009109546,0.114758995,0.016019843,0.037887109,0.005189459,0.048877711,0.007372277,0.059806422,0.008847168,0.206536658,0.028818507,0.082170144,0.012817589,0.116187968,0.018864712,0.09782465,0.017363622,0.114993253,0.017059609,0.109736656,0.015670387,0.119604474,0.018459037,0.075035119,0.013159933
male,72,0.077572783,0.012914085,0.075749585,0.011783832,0.045216132,0.007072289,0.062650414,0.009788288,0.064388987,0.010411445,0.128212018,0.018066924,0.041747092,0.005688151,0.054912919,0.008386121,0.067079991,0.009978746,0.224578841,0.033986739,0.093104504,0.014685962,0.129841133,0.022775318,0.115190624,0.01998968,0.12923782,0.01963188,0.122945707,0.017660274,0.136395475,0.021300575,0.087806111,0.01510139
male,77,0.104077174,0.01677695,0.098136132,0.014463625,0.058658911,0.008658761,0.082771426,0.011974259,0.084969709,0.013186111,0.160702844,0.020848156,0.052219687,0.006579128,0.07027582,0.010056115,0.085652714,0.011905123,0.287852014,0.038445598,0.121291697,0.018184289,0.164341976,0.026892937,0.158767182,0.026843149,0.163845519,0.023222406,0.155351352,0.020694314,0.172921585,0.025890028,0.119635387,0.020188455
male,82,0.139955541,0.020696073,0.135194113,0.018850789,0.080682654,0.011299294,0.11225193,0.015562566,0.115833181,0.016660848,0.217063601,0.028871544,0.067392104,0.009122841,0.097336233,0.013429391,0.116615815,0.016017339,0.408311411,0.053821254,0.167978458,0.023506046,0.25735639,0.035657354,0.207178513,0.032961752,0.232218872,0.031484268,0.211054676,0.02838194,0.248501691,0.034294908,0.157647838,0.024527587
male,87,0.081389598,0.022946487,0.082057031,0.021917259,0.048781524,0.013070021,0.06856366,0.018309971,0.068454205,0.018645384,0.139781895,0.039711368,0.042182112,0.011864896,0.059743764,0.016067063,0.072344888,0.01951678,0.276124135,0.079724607,0.101636636,0.027118214,0.158453019,0.04271555,0.112174532,0.036892672,0.145994071,0.03949265,0.134674501,0.037019778,0.153053347,0.040819468,0.087828256,0.027255739
male,92,0.122972747,0.04950005,0.105872678,0.042588283,0.063048642,0.025381045,0.0864435,0.034814839,0.096831049,0.038945261,0.142707859,0.057828709,0.044162995,0.018279117,0.072717457,0.02930946,0.086043391,0.034712886,0.276997992,0.111703926,0.133545052,0.053708474,0.193778506,0.07791209,0.19586304,0.07926837,0.169621928,0.068224225,0.148968842,0.060067696,0.191394268,0.077032048,0.147216085,0.059424328
male,97,0.083728943,0.07472603,0.066656189,0.059489015,0.038848682,0.034671497,0.052510862,0.046864657,0.063699217,0.056849991,0.078626697,0.070172401,0.022081662,0.019707342,0.04330575,0.038649321,0.050929294,0.045453147,0.181434872,0.161926178,0.085954522,0.076712305,0.124819268,0.111398138,0.138092644,0.123244301,0.105018691,0.093726608,0.08813545,0.07865873,0.124860414,0.11143486,0.103791187,0.092631091
