"","age","sex","sex_age_cat","case_fatality_adaod","case_fatality_brsc","case_fatality_carc","case_fatality_copd","case_fatality_crdd","case_fatality_dmt2","case_fatality_iscs","case_fatality_ishd","case_fatality_lvrc","case_fatality_stmc","case_fatality_strk","case_fatality_tbalc","case_fatality_utrc","incidence_adaod","incidence_brsc","incidence_carc","incidence_copd","incidence_crdd","incidence_dmt2","incidence_iscs","incidence_ishd","incidence_lvrc","incidence_stmc","incidence_strk","incidence_tbalc","incidence_utrc"
"28",27,"male","male_27",0.999359273003795,0.983141747355618,0.997062222766567,0.0181629644137935,0.0251239843870649,0.00346858352388499,1.02557346886575,0.991639430856511,0.998140588116732,1.00321211767047,0.989303464784397,0.977221697496301,0.992559660213962,1e-08,1.02995847445252e-06,1.93728256573714e-05,0.00100078547353094,0.00119999960596089,0.00125741379061364,2.96869869513082e-05,0.000100852412452007,4.98161356493261e-06,3.99583119584952e-06,8.34506037171651e-05,1.90089215765115e-06,1e-08
"29",28,"male","male_28",0.984188267078561,1.00450599754595,1.02578666374527,0.0159404709909418,0.0204382029504644,0.00343499919128725,1.00965080129785,1.00161578919107,1.00419017167662,1.00064272507228,0.992638466018656,0.978997720602938,0.991974490587694,1e-08,1.02995847445252e-06,1.93728256573714e-05,0.00100078547353094,0.00119999960596089,0.00125741379061364,2.96869869513082e-05,0.000100852412452007,4.98161356493261e-06,3.99583119584952e-06,8.34506037171651e-05,1.90089215765115e-06,1e-08
"30",29,"male","male_29",0.99186576420399,0.989554402862675,0.992274010581961,0.0140622966219081,0.0172796952139846,0.0032885116598655,1.00198095000003,0.944516189670731,0.999857489312845,1.02177122115684,0.981715430302807,0.985814936662312,0.982949240115062,1e-08,1.02995847445252e-06,1.93728256573714e-05,0.00100078547353094,0.00119999960596089,0.00125741379061364,2.96869869513082e-05,0.000100852412452007,4.98161356493261e-06,3.99583119584952e-06,8.34506037171651e-05,1.90089215765115e-06,1e-08
"31",30,"male","male_30",1.00243636818965,0.996324854769711,1.00783046500633,0.0132887799510936,0.0308883439788602,0.0033103031882389,1.00511435532652,0.956657719694309,1.00424838759521,1.00097701959915,1.02247966389031,0.981224003585061,0.986739813635241,1e-08,1.07432182708934e-06,5.0048986444989e-05,0.0013322415312354,0.00215828901466279,0.000921618006511341,5.53645689038283e-05,0.000280847637345221,1.05594073370511e-05,1.00808962737289e-05,0.000156566239112064,5.84126652234565e-06,1e-08
"32",31,"male","male_31",1.0150566923349,1.01860639966217,0.993588360221479,0.0117172940055342,0.0253395506890729,0.00328406322159094,1.01169639369409,0.925620231576991,0.993007466739047,1.01103414821202,0.988423238126798,0.992697871232029,0.998737185459427,1e-08,1.07432182708934e-06,5.0048986444989e-05,0.0013322415312354,0.00215828901466279,0.000921618006511341,5.53645689038283e-05,0.000280847637345221,1.05594073370511e-05,1.00808962737289e-05,0.000156566239112064,5.84126652234565e-06,1e-08
"33",32,"male","male_32",0.984145490115507,1.02526343473735,1.00121906495341,0.010303290481458,0.0213273370604908,0.0031780345347825,0.987157129930741,0.855979674146075,1.00902870734107,0.990863641658716,1.00704981949466,0.988465240460063,1.01345467642234,1e-08,1.07432182708934e-06,5.0048986444989e-05,0.0013322415312354,0.00215828901466279,0.000921618006511341,5.53645689038283e-05,0.000280847637345221,1.05594073370511e-05,1.00808962737289e-05,0.000156566239112064,5.84126652234565e-06,1e-08
"34",33,"male","male_33",0.976965899417592,0.997705689703905,0.974475843281972,0.00941888630163621,0.0189237437227847,0.00314707748837488,0.99511031368113,0.731041439571997,0.999135017466883,0.997555839793491,0.995535162597793,1.00484495852671,0.999626556976741,1e-08,1.07432182708934e-06,5.0048986444989e-05,0.0013322415312354,0.00215828901466279,0.000921618006511341,5.53645689038283e-05,0.000280847637345221,1.05594073370511e-05,1.00808962737289e-05,0.000156566239112064,5.84126652234565e-06,1e-08
"35",34,"male","male_34",0.98713381733958,0.987426614391706,0.997117676744017,0.00879002462648621,0.0163122650351343,0.00307858473547126,0.979054223768916,0.590503318280418,0.997808027189332,1.00054430777232,0.946470633217736,0.995961188418929,1.00914556702467,1e-08,1.07432182708934e-06,5.0048986444989e-05,0.0013322415312354,0.00215828901466279,0.000921618006511341,5.53645689038283e-05,0.000280847637345221,1.05594073370511e-05,1.00808962737289e-05,0.000156566239112064,5.84126652234565e-06,1e-08
"36",35,"male","male_35",0.998051435582653,1.01594311356136,0.984511051604916,0.00816819789645214,0.0150250170497439,0.00321369451605243,0.983409309873474,0.432629675087696,0.992667472803842,0.996790071147727,1.01447347642457,1.00256851123944,1.00366586682772,1e-08,2.20100761546517e-06,8.51740769865585e-05,0.00196597173209552,0.00348504285156904,0.00116753061285137,0.000101654324714178,0.000600722606450637,9.81309746967317e-06,2.27996124149971e-05,0.000277281809955151,1.60765564380697e-05,1e-08
"37",36,"male","male_36",0.996553380460634,1.02702892403815,1.02005941887233,0.00736193137656391,0.0129114428548477,0.00316748186234865,1.01753084608281,0.257452053544177,0.991603817389676,0.991909953258215,0.987881942617881,1.01179440557698,0.991679748643897,1e-08,2.20100761546517e-06,8.51740769865585e-05,0.00196597173209552,0.00348504285156904,0.00116753061285137,0.000101654324714178,0.000600722606450637,9.81309746967317e-06,2.27996124149971e-05,0.000277281809955151,1.60765564380697e-05,1e-08
"38",37,"male","male_37",1.01719261070086,0.990732548977766,1.01225158110251,0.00658790687548895,0.0114463074683946,0.00302804256137409,1.00396824549752,0.166056628443961,1.01624715087034,0.991687955565485,0.940216766928718,0.977050082371905,1.01054016284614,1e-08,2.20100761546517e-06,8.51740769865585e-05,0.00196597173209552,0.00348504285156904,0.00116753061285137,0.000101654324714178,0.000600722606450637,9.81309746967317e-06,2.27996124149971e-05,0.000277281809955151,1.60765564380697e-05,1e-08
"39",38,"male","male_38",1.00123903303164,1.01553306341344,0.9876992241792,0.00607138493256355,0.00998278730239871,0.00291928964357864,0.999426332012472,0.107541887201993,0.98501212310672,0.979058841269302,0.880958399083532,1.00066230470448,1.0088888391823,1e-08,2.20100761546517e-06,8.51740769865585e-05,0.00196597173209552,0.00348504285156904,0.00116753061285137,0.000101654324714178,0.000600722606450637,9.81309746967317e-06,2.27996124149971e-05,0.000277281809955151,1.60765564380697e-05,1e-08
"40",39,"male","male_39",1.00538243297026,0.998754684125516,0.940886198256122,0.00545582779590468,0.00902852468409996,0.00288065869630487,0.957243369152778,0.0753285589439849,1.00339117207217,0.986606476482988,0.778065129236052,0.997446575371899,1.04113322130709,1e-08,2.20100761546517e-06,8.51740769865585e-05,0.00196597173209552,0.00348504285156904,0.00116753061285137,0.000101654324714178,0.000600722606450637,9.81309746967317e-06,2.27996124149971e-05,0.000277281809955151,1.60765564380697e-05,1e-08
"41",40,"male","male_40",0.978453438310443,0.973603237623659,1.00735204244838,0.00547626854237382,0.0130515806685199,0.00315127727830417,1.02446836289379,0.124124394019861,0.99582971315097,0.992647470440317,0.756881822059859,1.0124538210908,1.00152218117743,3.54010530755691e-05,4.63464894879493e-06,0.000188645378085238,0.00283654265645614,0.00698792460612372,0.00274565426835669,0.00023983919005041,0.00124746198874583,2.38764655968484e-05,5.1134034090206e-05,0.000527316093446115,5.29425069915022e-05,1e-08
"42",41,"male","male_41",0.997762539858525,1.00784722725898,0.976887986493514,0.00499288169144248,0.0110653835743284,0.00292045997012896,0.97912096268369,0.0887492924150691,0.998329790532722,0.978519934102239,0.586260698106659,0.955737553792584,0.979902080360852,3.54010530755691e-05,4.63464894879493e-06,0.000188645378085238,0.00283654265645614,0.00698792460612372,0.00274565426835669,0.00023983919005041,0.00124746198874583,2.38764655968484e-05,5.1134034090206e-05,0.000527316093446115,5.29425069915022e-05,1e-08
"43",42,"male","male_42",0.99788577755804,1.01455488786237,0.913694465858258,0.00446750753861335,0.00957930311144754,0.00276299959988842,0.980041324909202,0.0687259868653158,1.00181126966224,0.998199888214297,0.442602362452675,0.92067960319162,1.00383620286212,3.54010530755691e-05,4.63464894879493e-06,0.000188645378085238,0.00283654265645614,0.00698792460612372,0.00274565426835669,0.00023983919005041,0.00124746198874583,2.38764655968484e-05,5.1134034090206e-05,0.000527316093446115,5.29425069915022e-05,1e-08
"44",43,"male","male_43",1.00937464473409,1.01018017210187,0.827869070577609,0.00420406489471018,0.00846134289556544,0.0026032862222354,0.938978930123242,0.0551834781080012,0.986716874691929,1.0100821370113,0.310201650058858,0.861398815061304,1.01094936640416,3.54010530755691e-05,4.63464894879493e-06,0.000188645378085238,0.00283654265645614,0.00698792460612372,0.00274565426835669,0.00023983919005041,0.00124746198874583,2.38764655968484e-05,5.1134034090206e-05,0.000527316093446115,5.29425069915022e-05,1e-08
"45",44,"male","male_44",1.0140538549532,0.993483144988019,0.703766883210661,0.00393276112926886,0.00763331082787802,0.00252344297292411,0.934632113258345,0.0452467067713493,0.986597497698892,0.993456183838998,0.202798212468134,0.725998745446172,1.00618070128453,3.54010530755691e-05,4.63464894879493e-06,0.000188645378085238,0.00283654265645614,0.00698792460612372,0.00274565426835669,0.00023983919005041,0.00124746198874583,2.38764655968484e-05,5.1134034090206e-05,0.000527316093446115,5.29425069915022e-05,1e-08
"46",45,"male","male_45",1.01530874305896,0.994983575815824,1.1066688143189,0.00336050781350415,0.0106926162731944,0.00222932749130983,0.731235593735038,0.0529068453274723,1.00489363082331,0.983943370402933,0.245304206662063,1.19197955885413,0.999029704953611,0.000117766347403066,7.01004133761198e-06,0.000287282705100087,0.00395047518799184,0.010334638854922,0.00555149205818362,0.000470571651218629,0.00222256747098661,4.23514039057007e-05,8.724666696994e-05,0.000907050246090638,0.000122512958023541,1e-08
"47",46,"male","male_46",1.00740795711134,0.971985719638372,1.12964920503867,0.00304876467861418,0.0094043424649479,0.00207909048218803,0.557029918147555,0.0424165926566861,1.01338496146262,1.00337360098819,0.166170732293674,1.11482700428673,1.00069875718619,0.000117766347403066,7.01004133761198e-06,0.000287282705100087,0.00395047518799184,0.010334638854922,0.00555149205818362,0.000470571651218629,0.00222256747098661,4.23514039057007e-05,8.724666696994e-05,0.000907050246090638,0.000122512958023541,1e-08
"48",47,"male","male_47",1.0026312775408,0.992316019565322,1.12579164962488,0.00280704182057548,0.00840517532997651,0.00191450163846518,0.407784766196257,0.0358885649300045,0.9949352302447,0.993900203256333,0.123542261496982,1.10965054195255,1.002867246692,0.000117766347403066,7.01004133761198e-06,0.000287282705100087,0.00395047518799184,0.010334638854922,0.00555149205818362,0.000470571651218629,0.00222256747098661,4.23514039057007e-05,8.724666696994e-05,0.000907050246090638,0.000122512958023541,1e-08
"49",48,"male","male_48",1.00721933149645,1.01470241985784,1.14508585028432,0.00256073903399341,0.00753268227001554,0.0017770990801104,0.274775339879593,0.0311129441140908,1.00381366393742,0.979147260692249,0.093035308553398,1.08894382330446,1.00302669296183,0.000117766347403066,7.01004133761198e-06,0.000287282705100087,0.00395047518799184,0.010334638854922,0.00555149205818362,0.000470571651218629,0.00222256747098661,4.23514039057007e-05,8.724666696994e-05,0.000907050246090638,0.000122512958023541,1e-08
"50",49,"male","male_49",0.992770483775426,0.98346373242021,1.20885494283443,0.00244255301925566,0.0069095967719585,0.00161967126332752,0.179914839149031,0.0266447144815503,1.01407014945843,0.981170185417572,0.0773090462829416,1.06266447415373,0.988481560143198,0.000117766347403066,7.01004133761198e-06,0.000287282705100087,0.00395047518799184,0.010334638854922,0.00555149205818362,0.000470571651218629,0.00222256747098661,4.23514039057007e-05,8.724666696994e-05,0.000907050246090638,0.000122512958023541,1e-08
"51",50,"male","male_50",0.99577779331641,0.995088915157891,1.15383198291581,0.00223925543309647,0.00873050671716193,0.00153447438322764,0.109088231686655,0.0388641192779309,0.960791715783864,0.965399872509354,0.0616768756346066,1.33059375527365,1.00444408043717,0.000203505975480778,9.33095847766318e-06,0.000530573808625586,0.00538292386843245,0.0166783781608947,0.00669814794838514,0.00089723647303769,0.003930588524485,7.76025043467931e-05,0.000138618591689101,0.00147218732925341,0.00029235049213727,1e-08
"52",51,"male","male_51",0.976471577271252,0.99818763241271,1.04670197990151,0.00207335214229863,0.00777868849599021,0.00144827268228618,0.0693779022720426,0.0328364021390024,0.95073253909611,0.940878860473041,0.0494793765784469,1.2477403240186,1.00483188281047,0.000203505975480778,9.33095847766318e-06,0.000530573808625586,0.00538292386843245,0.0166783781608947,0.00669814794838514,0.00089723647303769,0.003930588524485,7.76025043467931e-05,0.000138618591689101,0.00147218732925341,0.00029235049213727,1e-08
