age,sex,inc,mort,ylds (years lived with disability)_rate_adaod,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
46,female,1.3331982278115415e-4,6.5236189413114766e-6,6.456249819477796e-5,4.993365843694635e-4,7531,adaod,0,50,45,0,0,5,female_adaod
47,female,1.3331982278115415e-4,6.5236189413114766e-6,6.456249819477796e-5,4.993365843694635e-4,7531,adaod,0,50,45,0,0,5,female_adaod
48,female,1.3331982278115415e-4,6.5236189413114766e-6,6.456249819477796e-5,4.993365843694635e-4,7531,adaod,0,50,45,0,0,5,female_adaod
49,female,1.3331982278115415e-4,6.5236189413114766e-6,6.456249819477796e-5,4.993365843694635e-4,7531,adaod,0,50,45,0,0,5,female_adaod
50,female,2.1196210302537472e-4,1.5000157155170181e-5,1.650891700076307e-4,0.0013310284559045974,7629,adaod,0,50,50,0,0,5,female_adaod
51,female,2.1196210302537472e-4,1.5000157155170181e-5,1.650891700076307e-4,0.0013310284559045974,7629,adaod,0,50,50,0,0,5,female_adaod
52,female,2.1196210302537472e-4,1.5000157155170181e-5,1.650891700076307e-4,0.0013310284559045974,7629,adaod,0,50,50,0,0,5,female_adaod
53,female,2.1196210302537472e-4,1.5000157155170181e-5,1.650891700076307e-4,0.0013310284559045974,7629,adaod,0,50,50,0,0,5,female_adaod
54,female,2.1196210302537472e-4,1.5000157155170181e-5,1.650891700076307e-4,0.0013310284559045974,7629,adaod,0,50,50,0,0,5,female_adaod
55,female,3.93020539403676e-4,3.90607878561259e-5,3.203498148269738e-4,0.0026475297656105247,6580,adaod,0,50,55,0,0,5,female_adaod
56,female,3.93020539403676e-4,3.90607878561259e-5,3.203498148269738e-4,0.0026475297656105247,6580,adaod,0,50,55,0,0,5,female_adaod
57,female,3.93020539403676e-4,3.90607878561259e-5,3.203498148269738e-4,0.0026475297656105247,6580,adaod,0,50,55,0,0,5,female_adaod
58,female,3.93020539403676e-4,3.90607878561259e-5,3.203498148269738e-4,0.0026475297656105247,6580,adaod,0,50,55,0,0,5,female_adaod
59,female,3.93020539403676e-4,3.90607878561259e-5,3.203498148269738e-4,0.0026475297656105247,6580,adaod,0,50,55,0,0,5,female_adaod
60,female,9.323742884298668e-4,1.1027961850131714e-4,6.572197102376104e-4,0.005482113249320634,5725,adaod,0,50,60,0,1,5,female_adaod
61,female,9.323742884298668e-4,1.1027961850131714e-4,6.572197102376104e-4,0.005482113249320634,5725,adaod,0,50,60,0,1,5,female_adaod
62,female,9.323742884298668e-4,1.1027961850131714e-4,6.572197102376104e-4,0.005482113249320634,5725,adaod,0,50,60,0,1,5,female_adaod
63,female,9.323742884298668e-4,1.1027961850131714e-4,6.572197102376104e-4,0.005482113249320634,5725,adaod,0,50,60,0,1,5,female_adaod
64,female,9.323742884298668e-4,1.1027961850131714e-4,6.572197102376104e-4,0.005482113249320634,5725,adaod,0,50,60,0,1,5,female_adaod
65,female,0.0021390600412940796,2.8224112433395136e-4,0.0014098448908014976,0.011976961764385115,5670,adaod,0,50,65,1,2,5,female_adaod
66,female,0.0021390600412940796,2.8224112433395136e-4,0.0014098448908014976,0.011976961764385115,5670,adaod,0,50,65,1,2,5,female_adaod
67,female,0.0021390600412940796,2.8224112433395136e-4,0.0014098448908014976,0.011976961764385115,5670,adaod,0,50,65,1,2,5,female_adaod
68,female,0.0021390600412940796,2.8224112433395136e-4,0.0014098448908014976,0.011976961764385115,5670,adaod,0,50,65,1,2,5,female_adaod
69,female,0.0021390600412940796,2.8224112433395136e-4,0.0014098448908014976,0.011976961764385115,5670,adaod,0,50,65,1,2,5,female_adaod
70,female,0.005072887454091371,8.11504201645189e-4,0.0036681361037528386,0.02668926950114868,5104,adaod,0,50,70,1,4,5,female_adaod
71,female,0.005072887454091371,8.11504201645189e-4,0.0036681361037528386,0.02668926950114868,5104,adaod,0,50,70,1,4,5,female_adaod
72,female,0.005072887454091371,8.11504201645189e-4,0.0036681361037528386,0.02668926950114868,5104,adaod,0,50,70,1,4,5,female_adaod
73,female,0.005072887454091371,8.11504201645189e-4,0.0036681361037528386,0.02668926950114868,5104,adaod,0,50,70,1,4,5,female_adaod
74,female,0.005072887454091371,8.11504201645189e-4,0.0036681361037528386,0.02668926950114868,5104,adaod,0,50,70,1,4,5,female_adaod
75,female,0.011454157010524076,0.002731850791294303,0.008022601423337472,0.05946052449839553,3792,adaod,0,50,75,3,10,5,female_adaod
76,female,0.011454157010524076,0.002731850791294303,0.008022601423337472,0.05946052449839553,3792,adaod,0,50,75,3,10,5,female_adaod
77,female,0.011454157010524076,0.002731850791294303,0.008022601423337472,0.05946052449839553,3792,adaod,0,50,75,3,10,5,female_adaod
78,female,0.011454157010524076,0.002731850791294303,0.008022601423337472,0.05946052449839553,3792,adaod,0,50,75,3,10,5,female_adaod
79,female,0.011454157010524076,0.002731850791294303,0.008022601423337472,0.05946052449839553,3792,adaod,0,50,75,3,10,5,female_adaod
80,female,0.02077395746307186,0.007838042997273859,0.01967725607809751,0.12013267936156909,2983,adaod,0,20,80,2,23,5,female_adaod
81,female,0.02077395746307186,0.007838042997273859,0.01967725607809751,0.12013267936156909,2983,adaod,0,20,80,2,23,5,female_adaod
82,female,0.02077395746307186,0.007838042997273859,0.01967725607809751,0.12013267936156909,2983,adaod,0,20,80,2,23,5,female_adaod
83,female,0.02077395746307186,0.007838042997273859,0.01967725607809751,0.12013267936156909,2983,adaod,0,20,80,2,23,5,female_adaod
84,female,0.02077395746307186,0.007838042997273859,0.01967725607809751,0.12013267936156909,2983,adaod,0,20,80,2,23,5,female_adaod
85,female,0.03134287219107628,0.020733873491309885,0.032764908716285276,0.20578230711804713,2001,adaod,0,20,85,4,41,5,female_adaod
86,female,0.03134287219107628,0.020733873491309885,0.032764908716285276,0.20578230711804713,2001,adaod,0,20,85,4,41,5,female_adaod
87,female,0.03134287219107628,0.020733873491309885,0.032764908716285276,0.20578230711804713,2001,adaod,0,20,85,4,41,5,female_adaod
88,female,0.03134287219107628,0.020733873491309885,0.032764908716285276,0.20578230711804713,2001,adaod,0,20,85,4,41,5,female_adaod
89,female,0.03134287219107628,0.020733873491309885,0.032764908716285276,0.20578230711804713,2001,adaod,0,20,85,4,41,5,female_adaod
90,female,0.04182301454507014,0.04623554509871741,0.045932455513228616,0.294854474660027,1019,adaod,0,10,90,3,46,5,female_adaod
91,female,0.04182301454507014,0.04623554509871741,0.045932455513228616,0.294854474660027,1019,adaod,0,10,90,3,46,5,female_adaod
92,female,0.04182301454507014,0.04623554509871741,0.045932455513228616,0.294854474660027,1019,adaod,0,10,90,3,46,5,female_adaod
93,female,0.04182301454507014,0.04623554509871741,0.045932455513228616,0.294854474660027,1019,adaod,0,10,90,3,46,5,female_adaod
94,female,0.04182301454507014,0.04623554509871741,0.045932455513228616,0.294854474660027,1019,adaod,0,10,90,3,46,5,female_adaod
95,female,0.05002220350812042,0.08495536376423751,0.055268206787064636,0.3608280716610222,275,adaod,0,10,95,4,22,6,female_adaod
96,female,0.05002220350812042,0.08495536376423751,0.055268206787064636,0.3608280716610222,275,adaod,0,10,95,4,22,6,female_adaod
97,female,0.05002220350812042,0.08495536376423751,0.055268206787064636,0.3608280716610222,275,adaod,0,10,95,4,22,6,female_adaod
98,female,0.05002220350812042,0.08495536376423751,0.055268206787064636,0.3608280716610222,275,adaod,0,10,95,4,22,6,female_adaod
99,female,0.05002220350812042,0.08495536376423751,0.055268206787064636,0.3608280716610222,275,adaod,0,10,95,4,22,6,female_adaod
100,female,0.05002220350812042,0.08495536376423751,0.055268206787064636,0.3608280716610222,275,adaod,0,10,95,4,22,6,female_adaod
