age,sex,inc,mort,ylds (years lived with disability)_rate_stmc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
91,male,0.0038785794310898904,0.0025224113711175785,9.08800035532515e-4,0.0064178447192874705,506,stmc,0,10,90,0,1,5,male_stmc
92,male,0.0038785794310898904,0.0025224113711175785,9.08800035532515e-4,0.0064178447192874705,506,stmc,0,10,90,0,1,5,male_stmc
93,male,0.0038785794310898904,0.0025224113711175785,9.08800035532515e-4,0.0064178447192874705,506,stmc,0,10,90,0,1,5,male_stmc
94,male,0.0038785794310898904,0.0025224113711175785,9.08800035532515e-4,0.0064178447192874705,506,stmc,0,10,90,0,1,5,male_stmc
95,male,0.005205469852397819,0.003386569206691538,9.145092211015022e-4,0.0032085058104627923,91,stmc,0,10,95,0,0,6,male_stmc
96,male,0.005205469852397819,0.003386569206691538,9.145092211015022e-4,0.0032085058104627923,91,stmc,0,10,95,0,0,6,male_stmc
97,male,0.005205469852397819,0.003386569206691538,9.145092211015022e-4,0.0032085058104627923,91,stmc,0,10,95,0,0,6,male_stmc
98,male,0.005205469852397819,0.003386569206691538,9.145092211015022e-4,0.0032085058104627923,91,stmc,0,10,95,0,0,6,male_stmc
99,male,0.005205469852397819,0.003386569206691538,9.145092211015022e-4,0.0032085058104627923,91,stmc,0,10,95,0,0,6,male_stmc
100,male,0.005205469852397819,0.003386569206691538,9.145092211015022e-4,0.0032085058104627923,91,stmc,0,10,95,0,0,6,male_stmc
