age,sex,inc,mort,ylds (years lived with disability)_rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
81,female,0.005758039115337054,0.0027998352017267335,0.01154905333248765,0.06335332609001364,2983,iscs,0,20,80,1,8,5,female_iscs
82,female,0.005758039115337054,0.0027998352017267335,0.01154905333248765,0.06335332609001364,2983,iscs,0,20,80,1,8,5,female_iscs
83,female,0.005758039115337054,0.0027998352017267335,0.01154905333248765,0.06335332609001364,2983,iscs,0,20,80,1,8,5,female_iscs
84,female,0.005758039115337054,0.0027998352017267335,0.01154905333248765,0.06335332609001364,2983,iscs,0,20,80,1,8,5,female_iscs
85,female,0.009472593342668718,0.0072113405122942245,0.01579411619364961,0.08179181819860117,2001,iscs,0,20,85,2,14,5,female_iscs
86,female,0.009472593342668718,0.0072113405122942245,0.01579411619364961,0.08179181819860117,2001,iscs,0,20,85,2,14,5,female_iscs
87,female,0.009472593342668718,0.0072113405122942245,0.01579411619364961,0.08179181819860117,2001,iscs,0,20,85,2,14,5,female_iscs
88,female,0.009472593342668718,0.0072113405122942245,0.01579411619364961,0.08179181819860117,2001,iscs,0,20,85,2,14,5,female_iscs
89,female,0.009472593342668718,0.0072113405122942245,0.01579411619364961,0.08179181819860117,2001,iscs,0,20,85,2,14,5,female_iscs
90,female,0.01318081866347026,0.012778806501381447,0.01956100175857051,0.09775729780036374,1019,iscs,0,10,90,1,13,5,female_iscs
91,female,0.01318081866347026,0.012778806501381447,0.01956100175857051,0.09775729780036374,1019,iscs,0,10,90,1,13,5,female_iscs
92,female,0.01318081866347026,0.012778806501381447,0.01956100175857051,0.09775729780036374,1019,iscs,0,10,90,1,13,5,female_iscs
93,female,0.01318081866347026,0.012778806501381447,0.01956100175857051,0.09775729780036374,1019,iscs,0,10,90,1,13,5,female_iscs
94,female,0.01318081866347026,0.012778806501381447,0.01956100175857051,0.09775729780036374,1019,iscs,0,10,90,1,13,5,female_iscs
95,female,0.01688032370421343,0.024385124657122833,0.022732575305066026,0.10842050237205075,275,iscs,0,10,95,1,7,6,female_iscs
96,female,0.01688032370421343,0.024385124657122833,0.022732575305066026,0.10842050237205075,275,iscs,0,10,95,1,7,6,female_iscs
97,female,0.01688032370421343,0.024385124657122833,0.022732575305066026,0.10842050237205075,275,iscs,0,10,95,1,7,6,female_iscs
98,female,0.01688032370421343,0.024385124657122833,0.022732575305066026,0.10842050237205075,275,iscs,0,10,95,1,7,6,female_iscs
99,female,0.01688032370421343,0.024385124657122833,0.022732575305066026,0.10842050237205075,275,iscs,0,10,95,1,7,6,female_iscs
100,female,0.01688032370421343,0.024385124657122833,0.022732575305066026,0.10842050237205075,275,iscs,0,10,95,1,7,6,female_iscs
